Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																
Дата голосования: 07.12.2003 0:00:00																
																
Наименование Избирательной комиссии:    Светлогорская																
																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																
																
		Сумма	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450					
1	"Число избирателей, внесенных в списки"	17263	2551	2632	1383	1287	1124	785	2495	2397	2609					
2	"Число бюллетеней, полученных участковыми комиссиями"	14768	2227	2277	1205	1027	919	646	2138	2124	2205					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	8410	1307	1090	567	681	516	398	1268	1167	1416					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	116	16	17	17	13	10	2	10	14	17					
6	Число погашенных бюллетеней	6241	904	1170	621	333	392	246	860	943	772					
7	Число бюллетеней в переносных ящиках для голосования	116	16	17	17	13	10	2	10	14	17					
8	Число бюллетеней в стационарных ящиках для голосования	8391	1307	1089	567	680	516	398	1267	1153	1414					
9	Число недействительных бюллетеней	134	18	25	7	5	15	4	11	15	34					
10	Число действительных бюллетеней	8373	1305	1081	577	688	511	396	1266	1152	1397					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	70	5	10	5	10	5	5	10	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	38	2	7	3	4	1	2	8	4	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	196	9	4	6	118	46	4	6	3	0					
14	Число погашенных открепительных удостоверений	32	3	3	2	6	4	3	2	6	3					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	1	0	0	0	0	1	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0					
																
18	"1. ""ЕДИНЕНИЕ"""	106	13	10	2	8	8	8	16	13	28					
		1.24%	0.98%	0.90%	0.34%	1.15%	1.52%	2.0%	1.25%	1.11%	1.95%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	290	51	67	30	26	18	17	27	24	30					
		3.40%	3.85%	6.05%	5.13%	3.75%	3.42%	4.25%	2.11%	2.05%	2.09%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	224	32	18	27	17	15	7	30	30	48					
		2.63%	2.41%	1.62%	4.62%	2.45%	2.85%	1.75%	2.34%	2.57%	3.35%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	382	80	66	36	54	18	11	40	32	45					
		4.49%	6.04%	5.96%	6.16%	7.79%	3.42%	2.75%	3.13%	2.74%	3.14%					
22	"5. ""За Русь Святую"""	40	4	3	3	6	1	2	4	8	9					
		0.47%	0.30%	0.27%	0.51%	0.86%	0.19%	0.5%	0.31%	0.68%	0.62%					
23	"6. ""Объединенная Российская партия ""Русь"""	19	5	1	2	1	1	3	2	1	3					
		0.22%	0.37%	0.09%	0.34%	0.14%	0.19%	0.75%	0.15%	0.08%	0.20%					
24	"7. ""Новый курс - Автомобильная Россия"""	95	20	16	3	5	2	9	17	17	6					
		1.11%	1.51%	1.44%	0.51%	0.72%	0.38%	2.25%	1.33%	1.45%	0.41%					
25	"8. ""Народно-республиканская партия России"""	13	3	0	1	1	0	1	1	1	5					
		0.15%	0.22%	0.0%	0.17%	0.14%	0.0%	0.25%	0.07%	0.08%	0.34%					
26	"9. ""Российская экологическая партия ""Зеленые"""	24	3	2	1	2	2	2	3	5	4					
		0.28%	0.22%	0.18%	0.17%	0.28%	0.38%	0.5%	0.23%	0.42%	0.27%					
27	"10. ""Аграрная партия России"""	168	26	27	17	15	6	2	21	26	28					
		1.97%	1.96%	2.44%	2.91%	2.16%	1.14%	0.5%	1.64%	2.22%	1.95%					
28	"11. ""Истинные патриоты России"""	6	1	0	0	1	1	0	0	2	1					
		0.07%	0.07%	0.0%	0.0%	0.14%	0.19%	0.0%	0.0%	0.17%	0.06%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	82	14	11	5	7	2	8	9	11	15					
		0.96%	1.05%	0.99%	0.85%	1.01%	0.38%	2.0%	0.70%	0.94%	1.04%					
30	"13. ""Демократическая партия России"""	126	22	18	9	5	3	7	18	14	30					
		1.48%	1.66%	1.62%	1.54%	0.72%	0.57%	1.75%	1.40%	1.19%	2.09%					
31	"14. ""Великая Россия - Евразийский Союз"""	18	2	4	2	2	0	1	2	3	2					
		0.21%	0.15%	0.36%	0.34%	0.28%	0.0%	0.25%	0.15%	0.25%	0.13%					
32	"15. ""Партия СЛОН"""	10	0	4	2	0	1	2	0	0	1					
		0.11%	0.0%	0.36%	0.34%	0.0%	0.19%	0.5%	0.0%	0.0%	0.06%					
33	"16. ""Родина"" (народно-патриотический союз)"""	704	116	91	52	80	39	28	140	72	86					
		8.27%	8.76%	8.22%	8.90%	11.54%	7.41%	7.0%	10.96%	6.16%	6.00%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	14	0	6	1	0	1	1	0	3	2					
		0.16%	0.0%	0.54%	0.17%	0.0%	0.19%	0.25%	0.0%	0.25%	0.13%					
35	"18. ""ЛДПР"""	1421	198	174	75	90	70	79	205	222	308					
		16.70%	14.96%	15.73%	12.84%	12.98%	13.30%	19.75%	16.05%	19.02%	21.52%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	196	29	29	8	14	17	11	22	31	35					
