Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																			
Дата голосования: 02.12.2007																																			
																																			
Наименование Избирательной комиссии:    ТИК Юрлинского МР																																			
																																			
Сводная таблица результатов выборов																																			
																																			
		Сумма	УИК №5301	УИК №5302	УИК №5303	УИК №5304	УИК №5305	УИК №5306	УИК №5307	УИК №5308	УИК №5309	УИК №5310	УИК №5311	УИК №5312	УИК №5313	УИК №5314	УИК №5315	УИК №5316	УИК №5317	УИК №5318	УИК №5319	УИК №5320	УИК №5321	УИК №5322	УИК №5323	УИК №5324	УИК №5325	УИК №5326	УИК №5327	УИК №5328					
1	"Число избирателей, внесенных в списки избирателей"	7639	438	2793	60	126	58	269	66	172	115	416	83	345	43	292	50	192	163	309	128	286	169	54	107	170	464	83	124	64					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	7630	447	2752	55	127	57	252	64	170	117	426	97	345	40	293	52	194	171	308	128	276	168	49	113	160	506	81	121	61					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	4078	166	1372	53	79	46	162	44	100	60	233	58	200	32	138	41	120	108	153	80	140	92	36	38	88	263	52	81	43					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	645	81	88	2	9	5	25	3	10	23	63	5	28	4	43	2	14	9	42	15	78	4	3	27	6	39	10	7	0					
6	Число погашенных избирательных бюллетеней	2907	200	1292	0	39	6	65	17	60	34	130	34	117	4	112	9	60	54	113	33	58	72	10	48	66	204	19	33	18					
7	Число избирательных бюллетеней в переносных ящиках для голосования	645	81	88	2	9	5	25	3	10	23	63	5	28	4	43	2	14	9	42	15	78	4	3	27	6	39	10	7	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4078	166	1372	53	79	46	162	44	100	60	233	58	200	32	138	41	120	108	153	80	140	92	36	38	88	263	52	81	43					
9	Число недействительных избирательных бюллетеней	92	9	34	0	2	0	7	0	2	3	5	1	4	0	1	0	1	5	6	4	3	0	0	0	1	3	0	0	1					
10	Число действительных избирательных бюллетеней	4631	238	1426	55	86	51	180	47	108	80	291	62	224	36	180	43	133	112	189	91	215	96	39	65	93	299	62	88	42					
