Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва													
Дата голосования: 07.12.2003 0:00:00													
													
Наименование Избирательной комиссии:    Верхнетагильская городская													
													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)													
													
		Сумма	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220					
1	"Число избирателей, внесенных в списки"	12058	278	2906	2988	3021	1598	1267					
2	"Число бюллетеней, полученных участковыми комиссиями"	10782	252	2620	2670	2700	1410	1130					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	5629	110	1374	1585	1379	587	594					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	380	30	58	55	70	116	51					
6	Число погашенных бюллетеней	4773	112	1188	1030	1251	707	485					
7	Число бюллетеней в переносных ящиках для голосования	380	30	58	55	70	116	51					
8	Число бюллетеней в стационарных ящиках для голосования	5629	110	1374	1585	1379	587	594					
9	Число недействительных бюллетеней	61	0	21	16	8	9	7					
10	Число действительных бюллетеней	5948	140	1411	1624	1441	694	638					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	200	10	50	50	50	20	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	22	0	7	7	3	4	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	16	4	3	5	0	2	2					
14	Число погашенных открепительных удостоверений	178	10	43	43	47	16	19					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0					
													
18	"1. ""ЕДИНЕНИЕ"""	62	1	15	18	16	4	8					
		1.03%	0.71%	1.04%	1.09%	1.10%	0.56%	1.24%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	406	1	98	113	127	38	29					
		6.75%	0.71%	6.84%	6.89%	8.76%	5.40%	4.49%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	457	8	97	164	100	64	24					
		7.60%	5.71%	6.77%	10.0%	6.90%	9.10%	3.72%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	310	1	67	112	69	42	19					
		5.15%	0.71%	4.67%	6.82%	4.76%	5.97%	2.94%					
22	"5. ""За Русь Святую"""	17	1	3	2	6	4	1					
		0.28%	0.71%	0.20%	0.12%	0.41%	0.56%	0.15%					
23	"6. ""Объединенная Российская партия ""Русь"""	16	0	2	3	8	3	0					
		0.26%	0.0%	0.13%	0.18%	0.55%	0.42%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	43	1	7	12	18	2	3					
		0.71%	0.71%	0.48%	0.73%	1.24%	0.28%	0.46%					
25	"8. ""Народно-республиканская партия России"""	4	0	3	0	0	0	1					
		0.06%	0.0%	0.20%	0.0%	0.0%	0.0%	0.15%					
26	"9. ""Российская экологическая партия ""Зеленые"""	22	0	5	9	2	1	5					
		0.36%	0.0%	0.34%	0.54%	0.13%	0.14%	0.77%					
27	"10. ""Аграрная партия России"""	209	3	29	29	30	22	96					
		3.47%	2.14%	2.02%	1.76%	2.07%	3.12%	14.88%					
28	"11. ""Истинные патриоты России"""	8	0	1	1	2	2	2					
		0.13%	0.0%	0.06%	0.06%	0.13%	0.28%	0.31%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	66	1	14	28	7	12	4					
		1.09%	0.71%	0.97%	1.70%	0.48%	1.70%	0.62%					
30	"13. ""Демократическая партия России"""	15	0	3	7	4	1	0					
		0.24%	0.0%	0.20%	0.42%	0.27%	0.14%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	14	1	5	2	3	2	1					
		0.23%	0.71%	0.34%	0.12%	0.20%	0.28%	0.15%					
32	"15. ""Партия СЛОН"""	7	0	1	1	4	1	0					
		0.11%	0.0%	0.06%	0.06%	0.27%	0.14%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	283	2	76	79	80	30	16					
		4.70%	1.42%	5.30%	4.81%	5.52%	4.26%	2.48%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	19	0	5	3	5	1	5					
		0.31%	0.0%	0.34%	0.18%	0.34%	0.14%	0.77%					
35	"18. ""ЛДПР"""	751	16	163	172	231	72	97					
		12.49%	11.42%	11.38%	10.48%	15.94%	10.24%	15.03%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	141	3	35	36	37	14	16					
		2.34%	2.14%	2.44%	2.19%	2.55%	1.99%	2.48%					
37	"20. ""Политическая партия ""Единая Россия"""	2491	95	648	653	564	294	237					
		41.45%	67.85%	45.25%	39.81%	38.92%	41.82%	36.74%					
38	"21. ""Российская Конституционно-демократическая партия"""	18	2	2	6	4	2	2					
		0.29%	1.42%	0.13%	0.36%	0.27%	0.28%	0.31%					
39	"22. ""Развитие предпринимательства"""	19	0	5	7	6	1	0					
		0.31%	0.0%	0.34%	0.42%	0.41%	0.14%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	388	2	89	124	74	53	46					
		6.45%	1.42%	6.21%	7.56%	5.10%	7.53%	7.13%					
													
41	Против всех	182	2	38	43	44	29	26					
		3.02%	1.42%	2.65%	2.62%	3.03%	4.12%	4.03%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
