Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																
Дата голосования: 04.12.2011																																
																																
Наименование Избирательной комиссии:    Приволжская																																
																																
Сводная таблица результатов выборов																																
																																
		Сумма	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384					
1	"Число избирателей, внесенных в список избирателей"	17236	172	1197	1988	967	135	171	115	394	1387	471	589	964	259	1086	323	88	1929	640	1869	488	773	315	172	135	609					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17624	173	1230	2025	985	135	155	110	400	1415	475	625	985	300	1140	333	88	1975	660	1875	500	790	310	180	140	620					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	9289	70	566	857	475	72	87	61	197	893	330	341	481	166	678	192	68	1044	376	1037	222	374	152	99	91	360					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	838	28	43	35	17	9	27	24	46	52	14	23	103	20	62	29	3	25	15	60	29	53	39	30	15	37					
6	Число погашенных избирательных бюллетеней	7497	75	621	1133	493	54	41	25	157	470	131	261	401	114	400	112	17	906	269	778	249	363	119	51	34	223					
7	Число избирательных бюллетеней в переносных ящиках для голосования	839	28	43	35	17	9	27	24	46	52	14	23	103	20	62	29	3	25	15	61	29	53	39	30	15	37					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9284	70	566	857	474	72	87	61	197	892	330	341	481	166	678	192	68	1043	375	1036	222	374	152	99	91	360					
9	Число недействительных избирательных бюллетеней	283	2	17	18	15	3	2	2	1	20	7	6	15	8	4	2	0	26	13	93	5	17	4	1	0	2					
10	Число действительных избирательных бюллетеней	9840	96	592	874	476	78	112	83	242	924	337	358	569	178	736	219	71	1042	377	1004	246	410	187	128	106	395					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	496	5	30	40	20	5	5	5	10	56	10	25	20	45	35	5	5	40	20	40	20	20	5	5	5	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	360	2	30	9	3	0	0	0	10	54	5	25	20	45	35	5	0	39	17	22	11	13	5	5	5	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	93	2	5	5	4	4	2	5	4	6	1	3	1	4	5	3	0	4	4	10	5	4	3	1	2	6					
14	Число погашенных неиспользованных открепительных удостоверений	136	3	0	31	17	5	5	5	0	2	5	0	0	0	0	0	5	1	3	18	9	7	0	0	0	20					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1646	9	90	109	71	9	12	13	49	175	48	94	80	18	85	35	9	207	71	208	40	63	25	32	11	83					
		16.26%	9.18%	14.78%	12.22%	14.46%	11.11%	10.53%	15.29%	20.16%	18.54%	13.95%	25.82%	13.70%	9.68%	11.49%	15.84%	12.68%	19.38%	18.21%	18.96%	15.94%	14.75%	13.09%	24.81%	10.38%	20.91%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1280	9	81	120	87	11	22	10	35	131	56	64	86	7	53	36	8	131	46	118	39	52	23	13	7	35					
		12.64%	9.18%	13.30%	13.45%	17.72%	13.58%	19.30%	11.76%	14.40%	13.88%	16.28%	17.58%	14.73%	3.76%	7.16%	16.29%	11.27%	12.27%	11.79%	10.76%	15.54%	12.18%	12.04%	10.08%	6.60%	8.82%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	92	2	5	4	5	2	0	0	4	13	2	3	11	1	5	0	0	10	4	10	3	3	0	0	1	4					
		0.91%	2.04%	0.82%	0.45%	1.02%	2.47%	0.00%	0.00%	1.65%	1.38%	0.58%	0.82%	1.88%	0.54%	0.68%	0.00%	0.00%	0.94%	1.03%	0.91%	1.20%	0.70%	0.00%	0.00%	0.94%	1.01%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1923	27	178	274	140	17	14	10	28	183	13	69	62	22	128	16	6	176	54	224	45	66	26	16	18	111					
		18.99%	27.55%	29.23%	30.72%	28.51%	20.99%	12.28%	11.76%	11.52%	19.39%	3.78%	18.96%	10.62%	11.83%	17.30%	7.24%	8.45%	16.48%	13.85%	20.42%	17.93%	15.46%	13.61%	12.40%	16.98%	27.96%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	83	0	8	5	4	0	1	1	2	6	3	3	6	1	1	2	0	15	7	9	4	4	1	0	0	0					
		0.82%	0.00%	1.31%	0.56%	0.81%	0.00%	0.88%	1.18%	0.82%	0.64%	0.87%	0.82%	1.03%	0.54%	0.14%	0.90%	0.00%	1.40%	1.79%	0.82%	1.59%	0.94%	0.52%	0.00%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4778	49	230	360	169	39	63	49	122	410	215	124	322	129	457	128	47	496	191	435	114	222	111	66	69	161					
		47.20%	50.00%	37.77%	40.36%	34.42%	48.15%	55.26%	57.65%	50.21%	43.43%	62.50%	34.07%	55.14%	69.35%	61.76%	57.92%	66.20%	46.44%	48.97%	39.65%	45.42%	51.99%	58.12%	51.16%	65.09%	40.55%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	38	0	0	2	0	0	0	0	2	6	0	1	2	0	7	2	1	7	4	0	1	0	1	1	0	1					
		0.38%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.82%	0.64%	0.00%	0.27%	0.34%	0.00%	0.95%	0.90%	1.41%	0.66%	1.03%	0.00%	0.40%	0.00%	0.52%	0.78%	0.00%	0.25%					
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
