Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																										
Дата голосования: 18.09.2016																										
																										
Наименование Избирательной комиссии:    Опаpинская																										
																										
Сводная таблица итогов голосования по федеральному избирательному округу																										
																										
		Сумма	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	8465	1446	1382	1014	158	68	1167	863	354	499	199	672	53	189	267	134									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7420	1300	1200	900	150	80	1000	750	300	400	200	600	50	180	200	110									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2767	557	387	278	62	22	373	242	116	170	75	194	14	124	101	52									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	317	16	15	35	0	0	46	31	20	28	19	22	14	0	56	15									
6	Число погашенных избирательных бюллетеней	4336	727	798	587	88	58	581	477	164	202	106	384	22	56	43	43									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	317	16	15	35	0	0	46	31	20	28	19	22	14	0	56	15									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2767	557	387	278	62	22	373	242	116	170	75	194	14	124	101	52									
9	Число недействительных избирательных бюллетеней	72	19	8	6	3	0	8	7	5	2	4	1	0	1	7	1									
10	Число действительных избирательных бюллетеней	3012	554	394	307	59	22	411	266	131	196	90	215	28	123	150	66									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	320	30	25	25	40	20	20	20	17	20	15	14	20	21	20	13									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	86	7	4	6	2	20	12	1	5	3	5	1	0	18	1	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	60	11	6	6	2	2	7	3	3	2	1	4	1	11	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	234	23	21	19	38	0	8	19	12	17	10	13	20	3	19	12									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	20	6	4	6	1	0	0	0	1	0	0	0	0	2	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	36	3	9	3	0	0	1	5	1	1	1	3	0	2	3	4									
