Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																	
Дата голосования: 07.12.2003 0:00:00																																																																																	
																																																																																	
"Наименование Избирательной комиссии:    Магнитогорск, Орджоникидзевская"																																																																																	
																																																																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																	
																																																																																	
		Сумма	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463					
1	"Число избирателей, внесенных в списки"	144088	1352	1289	1432	550	873	1557	1363	1282	1914	2005	1213	1121	1592	1181	882	1817	1344	1146	1667	938	871	1204	300	164	754	611	910	580	725	2004	2430	2067	2363	2675	2337	1852	2110	2315	3043	3224	2687	3054	3035	2897	3022	3143	2759	2574	2953	2089	2485	2693	1685	2116	2042	2498	2044	1676	2489	2612	2414	2361	2122	1445	2558	2522	2780	2846	2853	2890	3004	3180	2915	588					
2	"Число бюллетеней, полученных участковыми комиссиями"	126371	1268	1198	1273	537	796	1376	1174	1360	1750	1739	1125	966	1392	1060	768	1516	1190	1034	1389	840	792	1113	290	164	625	545	855	544	699	1764	2133	1838	2113	2383	2100	1646	1871	2019	2566	2655	2259	2525	2587	2536	2623	2688	2355	2209	2606	1839	2178	2406	1521	1916	1763	2218	1821	1462	2227	2358	2119	2061	1801	1220	2272	2208	2441	2409	2457	2520	2529	2522	2619	630					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	70710	360	460	630	208	266	624	548	573	825	906	505	455	663	424	358	632	487	443	713	475	360	589	117	76	232	293	353	265	246	1074	1266	1139	1218	1525	1272	877	1070	1148	1623	1682	1353	1585	1502	1399	1591	1672	1392	1243	1439	1184	1260	1330	966	1085	1181	1357	1094	893	1140	1395	1145	1186	1128	720	1413	1380	1229	1484	1352	1467	1447	1609	1521	588					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2136	140	66	65	76	3	30	20	33	35	8	20	130	8	7	13	12	13	24	12	33	18	12	5	0	50	36	46	29	42	21	17	11	18	12	28	20	17	23	63	154	115	12	17	11	10	20	8	4	20	29	72	30	29	46	23	17	18	22	27	29	37	13	33	13	21	22	8	8	18	10	3	12	9	0					
6	Число погашенных бюллетеней	53516	768	672	577	253	527	722	606	754	890	825	600	381	721	629	397	872	690	567	664	332	414	512	168	88	343	216	456	250	411	669	850	688	875	846	800	749	784	848	880	819	791	928	1068	1126	1022	996	955	959	1147	626	846	1046	526	785	559	844	709	547	1060	932	936	862	640	487	838	806	1204	917	1087	1043	1079	901	1089	42					
7	Число бюллетеней в переносных ящиках для голосования	2136	140	66	65	76	3	30	20	33	35	8	20	130	8	7	13	12	13	24	12	33	18	12	5	0	50	36	46	29	42	21	17	11	18	12	28	20	17	23	63	154	115	12	17	11	10	20	8	4	20	29	72	30	29	46	23	17	18	22	27	29	37	13	33	13	21	22	8	8	18	10	3	12	9	0					
8	Число бюллетеней в стационарных ящиках для голосования	70664	355	460	629	208	263	624	548	573	825	898	505	455	663	424	358	632	487	443	711	475	360	588	117	76	232	293	353	265	246	1074	1266	1137	1219	1525	1270	875	1070	1148	1621	1676	1353	1585	1500	1399	1591	1671	1392	1243	1439	1184	1256	1330	966	1085	1181	1357	1094	893	1140	1395	1145	1186	1128	720	1413	1380	1227	1484	1352	1467	1447	1609	1518	587					
9	Число недействительных бюллетеней	794	0	7	16	2	3	9	3	16	12	7	7	16	7	10	3	3	0	0	15	3	8	7	2	3	6	3	0	4	6	5	26	16	20	13	16	11	10	11	14	14	15	14	21	11	16	10	17	22	19	28	6	21	12	7	16	15	6	16	15	29	11	14	11	5	13	11	4	14	12	16	5	5	7	16					
10	Число действительных бюллетеней	72006	495	519	678	282	263	645	565	590	848	899	518	569	664	421	368	641	500	467	708	505	370	593	120	73	276	326	399	290	282	1090	1257	1132	1217	1524	1282	884	1077	1160	1670	1816	1453	1583	1496	1399	1585	1681	1383	1225	1440	1185	1322	1339	983	1124	1188	1359	1106	899	1152	1395	1171	1185	1150	728	1421	1391	1231	1478	1358	1461	1445	1616	1520	571					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1730	20	20	20	10	10	20	20	20	20	30	20	20	20	20	10	20	20	20	20	10	10	20	10	10	10	10	10	10	10	20	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	20	30	20	30	20	20	30	30	30	30	30	20	30	30	30	30	30	30	30	30	30	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	744	3	2	4	1	2	8	6	7	9	29	4	0	12	1	6	2	0	1	1	1	2	4	0	0	0	0	0	1	3	8	13	12	8	19	13	10	12	11	19	16	17	24	15	11	11	24	13	13	16	9	10	12	9	6	14	21	11	8	16	16	14	6	6	9	19	18	18	21	11	17	30	29	20	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	608	5	3	20	3	0	2	6	2	5	5	10	3	4	0	1	2	3	0	20	1	3	7	5	0	18	1	1	0	5	4	3	3	2	4	1	6	4	2	7	4	8	4	3	6	3	9	3	2	0	7	10	4	3	7	0	7	4	3	1	7	8	2	10	4	2	2	2	4	3	3	1	11	3	287					
14	Число погашенных открепительных удостоверений	986	17	18	16	9	8	12	14	13	11	1	16	20	8	19	4	18	20	19	19	9	8	16	10	10	10	10	10	9	7	12	17	18	22	11	17	20	18	19	11	14	13	6	15	19	19	6	17	17	14	21	20	18	11	24	6	9	9	12	14	14	16	24	24	11	11	12	12	9	19	13	0	1	10	0					
15	Число открепительных удостоверений выданных ТИК	68	1	2	0	0	1	0	1	1	0	1	0	1	2	3	1	0	1	1	2	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	2	1	2	0	2	1	0	3	2	3	0	2	0	1	1	3	0	0	1	0	0	1	0	1	1	3	2	1	0	2	3	2	0	1	2	3	0	0	0					
16	Число утраченных бюллетеней	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																	
18	"1. ""ЕДИНЕНИЕ"""	860	4	5	6	2	3	6	12	10	6	12	6	7	5	8	10	4	4	10	10	13	4	11	2	3	7	2	7	2	4	15	22	13	12	19	12	16	12	14	24	17	15	9	17	15	25	24	27	22	8	3	13	16	15	6	5	12	12	13	8	17	7	12	23	12	22	25	14	16	11	20	10	14	14	17					
		1.18%	0.80%	0.95%	0.86%	0.70%	1.12%	0.91%	2.11%	1.65%	0.69%	1.32%	1.14%	1.19%	0.74%	1.85%	2.69%	0.62%	0.8%	2.14%	1.38%	2.55%	1.05%	1.83%	1.63%	3.94%	2.48%	0.60%	1.75%	0.68%	1.38%	1.36%	1.71%	1.13%	0.97%	1.23%	0.92%	1.78%	1.10%	1.19%	1.42%	0.92%	1.02%	0.56%	1.12%	1.06%	1.56%	1.41%	1.92%	1.76%	0.54%	0.24%	0.97%	1.17%	1.50%	0.53%	0.41%	0.87%	1.07%	1.42%	0.68%	1.19%	0.59%	1.00%	1.98%	1.63%	1.53%	1.78%	1.13%	1.07%	0.80%	1.35%	0.68%	0.86%	0.91%	2.89%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	2899	5	24	12	7	11	28	14	16	33	25	19	11	10	8	6	17	9	15	20	17	7	14	3	0	24	12	2	10	7	54	70	67	68	72	52	29	47	66	81	85	68	45	50	61	63	76	49	59	68	28	32	61	28	43	39	37	55	42	38	65	41	43	46	39	65	65	54	75	54	63	102	62	68	38					
