Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Интинская городская																																
																																
Итоги голосования 																																
																																
		Сумма	УИК  69	УИК  70	УИК  71	УИК  72	УИК  73	УИК  74	УИК  75	УИК  76	УИК  77	Участок  №78	Участок  №79	УИК  80	УИК  81	УИК  82	УИК  83	УИК  84	УИК  85	УИК  86	УИК  87	УИК  88	УИК  89	Участок  №90	УИК  91	УИК  92	УИК  93					
1	"Число избирателей, внесенных в список"	38272	1676	116	264	452	799	1811	1660	1557	1612	3149	3111	1692	1604	1654	1493	1564	1469	1545	1548	1533	1738	2974	1489	1060	702					
2	Число полученных избирательных бюллетеней	34422	1500	112	260	420	720	1650	1500	1420	1450	2810	2800	1520	1450	1450	1350	1410	1320	1390	1380	1380	1560	2680	1310	950	630					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	16864	475	90	120	219	264	681	703	721	618	1493	1452	795	849	822	763	754	701	781	704	730	719	1296	591	281	242					
5	"Число избирательных бюллетеней, выданных вне помещения"	717	9	6	80	40	249	12	16	16	13	13	23	7	11	16	17	11	17	22	14	17	15	39	30	10	14					
6	Число погашенных избирательных бюллетеней	16840	1016	16	60	161	207	957	781	683	819	1304	1325	718	590	612	570	645	602	587	662	633	826	1344	689	659	374					
7	Число избирательных бюллетеней в переносных ящиках	717	9	6	80	40	249	12	16	16	13	13	23	7	11	16	17	11	17	22	14	17	15	39	30	10	14					
8	Число бюллетеней в стационарных ящиках для голосования	16863	475	90	120	219	264	681	703	721	618	1493	1452	795	849	822	763	754	701	781	704	730	719	1295	591	281	242					
9	Число недействительных избирательных бюллетеней	161	8	0	1	0	4	3	10	7	9	14	15	10	7	4	9	7	10	5	7	5	1	9	12	1	3					
10	Число действительных избирательных бюллетеней	17419	476	96	199	259	509	690	709	730	622	1492	1460	792	853	834	771	758	708	798	711	742	733	1325	609	290	253					
11	Число полученных открепительных  удостоверений	630	25	10	15	10	10	25	25	25	25	50	50	25	25	25	25	25	25	25	25	25	25	50	25	25	10					
12	Число выданных открепительных удостоверений	148	3	8	15	0	5	6	5	12	8	6	9	7	10	4	3	3	5	2	3	4	7	10	3	2	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	84	2	17	1	1	1	2	3	4	1	1	0	0	2	7	0	4	2	1	7	0	2	6	16	1	3					
14	Число неиспользованных открепительных удостоверений	482	22	2	0	10	5	19	20	13	17	44	41	18	15	21	22	22	20	23	22	21	18	40	22	23	2					
15	"Число открепительных удостоверений, выданных в ТИК"	66	3	0	0	1	0	1	2	2	3	7	5	2	0	2	4	2	0	5	3	4	5	11	0	2	2					
16	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																
18	. Глазьев Сергей Юрьевич	793	13	0	1	1	4	27	32	32	30	69	92	53	43	43	31	44	36	30	31	39	31	70	23	15	3					
		4.51%	2.69%	0.00%	0.50%	0.39%	0.78%	3.90%	4.45%	4.34%	4.75%	4.58%	6.24%	6.61%	5.00%	5.13%	3.97%	5.75%	5.01%	3.74%	4.32%	5.22%	4.22%	5.25%	3.70%	5.15%	1.17%					
19	. Малышкин Олег Александрович	497	14	2	4	2	13	16	21	32	31	57	43	18	19	16	23	26	17	22	26	18	24	16	22	12	3					
		2.83%	2.89%	2.08%	2.00%	0.77%	2.53%	2.31%	2.92%	4.34%	4.91%	3.78%	2.92%	2.24%	2.21%	1.91%	2.95%	3.40%	2.37%	2.74%	3.62%	2.41%	3.27%	1.20%	3.54%	4.12%	1.17%					
20	. Миронов Сергей Михайлович	170	4	3	3	1	0	6	8	4	4	12	12	11	11	10	11	13	5	6	6	9	6	11	7	6	1					
		0.97%	0.83%	3.12%	1.50%	0.39%	0.00%	0.87%	1.11%	0.54%	0.63%	0.80%	0.81%	1.37%	1.28%	1.19%	1.41%	1.70%	0.70%	0.75%	0.84%	1.20%	0.82%	0.82%	1.13%	2.06%	0.39%					
21	. Путин Владимир Владимирович	11960	329	87	161	232	420	511	482	490	408	1015	973	523	549	568	516	466	490	550	478	510	508	865	428	199	202					
		68.03%	67.98%	90.62%	80.50%	89.58%	81.87%	73.74%	67.04%	66.49%	64.66%	67.40%	65.97%	65.21%	63.84%	67.78%	66.15%	60.92%	68.25%	68.49%	66.57%	68.27%	69.21%	64.84%	68.92%	68.38%	78.91%					
22	. Хакамада Ирина Муцуовна	588	16	1	0	4	11	19	12	28	21	59	46	39	32	32	25	29	14	37	15	29	24	60	26	6	3					
		3.34%	3.31%	1.04%	0.00%	1.54%	2.14%	2.74%	1.67%	3.80%	3.33%	3.92%	3.12%	4.86%	3.72%	3.82%	3.21%	3.79%	1.95%	4.61%	2.09%	3.88%	3.27%	4.50%	4.19%	2.06%	1.17%					
23	. Харитонов Николай Михайлович	2392	79	1	23	18	55	93	109	116	91	173	186	108	139	118	99	110	105	114	111	95	86	225	70	36	32					
		13.61%	16.32%	1.04%	11.50%	6.95%	10.72%	13.42%	15.16%	15.74%	14.42%	11.49%	12.61%	13.47%	16.16%	14.08%	12.69%	14.38%	14.62%	14.20%	15.46%	12.72%	11.72%	16.87%	11.27%	12.37%	12.50%					
																																
24	Против всех	1019	21	2	7	1	6	18	45	28	37	107	108	40	60	47	66	70	41	39	44	42	54	78	33	16	9					
		5.80%	4.34%	2.08%	3.50%	0.39%	1.17%	2.60%	6.26%	3.80%	5.86%	7.10%	7.32%	4.99%	6.98%	5.61%	8.46%	9.15%	5.71%	4.86%	6.13%	5.62%	7.36%	5.85%	5.31%	5.50%	3.52%					
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
