Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																									
Дата голосования: 07.12.2003 0:00:00																																																																									
																																																																									
"Наименование Избирательной комиссии:    Новосибирск, Заельцовская"																																																																									
																																																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																									
																																																																									
		Сумма	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587					
1	"Число избирателей, внесенных в списки"	109494	2115	2359	2956	1877	1225	1909	1876	1799	2506	2199	2141	1552	2433	1984	2693	2212	2335	1312	2390	1521	2120	370	438	1982	1770	1360	2229	2604	2225	1615	1478	1914	1929	1863	1784	1457	1525	1186	1533	2182	46	682	1535	1316	1467	1329	1540	1592	25	2610	1375	1584	1653	1317	396	1561	1270	2235	1037	2048	1281	1497	1493	2517	663	467					
2	"Число бюллетеней, полученных участковыми комиссиями"	109680	2100	2370	2900	1900	1200	1880	1880	1780	2500	2170	2150	1550	2400	1950	2650	2220	2300	1280	2430	1500	2050	350	420	1940	1770	1340	2240	2610	2200	1590	1490	1930	1910	1850	1800	1450	1520	1160	1420	1920	300	1480	1490	1300	1430	1340	1500	1580	300	2550	1300	1580	1630	1320	500	1540	1260	2250	1050	2070	1250	1470	1610	2500	650	360					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	56374	1115	1201	1609	1066	664	1116	1120	1019	1510	1316	1163	899	1294	1013	1291	1094	1345	741	1196	809	1143	116	144	775	1069	671	1153	1307	1175	702	780	1072	1058	950	948	862	842	607	818	1090	19	662	440	489	435	424	796	836	22	1293	758	927	842	650	237	841	744	1160	507	1130	532	489	637	1241	257	143					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2236	13	28	19	18	31	20	19	53	16	29	37	23	53	42	27	24	23	20	36	18	15	24	9	23	24	27	92	65	45	17	33	36	38	47	19	28	20	47	1	29	26	20	22	46	149	38	18	29	3	13	11	39	19	34	159	26	17	36	31	14	44	92	44	31	20	67					
6	Число погашенных бюллетеней	51070	972	1141	1272	816	505	744	741	708	974	825	950	628	1053	895	1332	1102	932	519	1198	673	892	210	267	1142	677	642	995	1238	980	871	677	822	814	853	833	560	658	506	601	801	255	798	1028	765	846	878	686	715	275	1244	531	614	769	636	104	673	499	1054	512	926	674	889	929	1228	373	150					
7	Число бюллетеней в переносных ящиках для голосования	2233	13	27	19	18	31	20	19	53	16	29	37	23	53	42	27	24	23	20	36	18	15	24	9	23	24	27	92	65	45	17	33	36	38	47	19	28	20	47	1	29	26	20	22	46	149	38	18	29	3	13	11	39	19	34	157	26	17	36	31	14	44	92	44	31	20	67					
8	Число бюллетеней в стационарных ящиках для голосования	56315	1113	1189	1609	1066	664	1116	1120	1011	1507	1312	1163	899	1293	1011	1287	1094	1345	740	1196	809	1143	116	144	775	1069	671	1152	1306	1175	701	780	1072	1058	950	946	862	842	607	817	1090	19	660	440	489	434	424	795	833	22	1292	756	927	841	650	236	841	743	1160	507	1129	532	489	637	1240	257	142					
9	Число недействительных бюллетеней	1014	8	17	15	16	8	27	16	22	19	28	23	16	16	25	23	0	9	9	29	12	24	3	5	21	17	13	14	14	18	30	14	14	32	19	20	11	17	8	5	19	0	13	9	6	4	12	17	17	0	9	13	4	10	7	34	21	15	31	15	11	6	15	30	41	14	4					
10	Число действительных бюллетеней	57534	1118	1199	1613	1068	687	1109	1123	1042	1504	1313	1177	906	1330	1028	1291	1118	1359	751	1203	815	1134	137	148	777	1076	685	1230	1357	1202	688	799	1094	1064	978	945	879	845	646	813	1100	45	667	453	529	579	450	796	845	25	1296	754	962	850	677	359	846	745	1165	523	1132	570	566	651	1230	263	205					
