Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																	
Дата голосования: 02.12.2007																																																																																																	
																																																																																																	
Наименование Избирательной комиссии:    Псковская городская																																																																																																	
																																																																																																	
Сводная таблица результатов выборов																																																																																																	
																																																																																																	
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90					
1	"Число избирателей, внесенных в списки избирателей"	173911	1648	1815	2017	2126	1888	2399	1757	1186	2162	1846	2369	1691	1648	1825	1414	1121	2716	1878	1646	1038	3044	2037	1206	1587	1954	2233	1975	2635	2065	1642	1730	2055	1108	2475	1260	2330	2124	1540	1713	1579	2124	2775	1624	2446	2405	2815	2054	2128	2607	2362	1922	1341	2521	2432	1315	2194	2128	2108	2049	2337	2460	2721	2600	2018	1988	2102	1517	2092	2004	2263	1341	2937	2192	2477	2405	1757	1216	1743	1727	1021	2189	1711	1734	1385	1228	1920	2344	1717	617	316					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	168000	1500	1800	2000	2000	1800	2300	1600	1100	2100	1800	2300	1600	1600	1800	1300	1100	2700	1800	1500	1000	2900	1900	1200	1400	1900	2200	1900	2200	2000	1600	1600	1800	1000	2400	1200	2300	2000	2200	1600	1500	2000	2700	1500	2400	2300	2700	2000	2000	2600	2300	1900	1300	2500	2400	1200	2000	2000	2000	2000	2300	2400	2700	2500	1900	2000	2000	1500	2000	1900	2200	1300	2800	2000	2400	2300	1700	1200	1700	1700	1600	2100	1600	1700	1300	1200	1900	2300	1600	600	300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	108379	742	1060	1077	1031	1153	1521	1052	781	1360	1029	1537	1015	812	1128	887	680	1553	1058	905	515	1947	997	691	744	1117	1311	986	1773	1385	958	983	1215	695	1485	829	1525	1242	1513	1114	1091	1432	1866	1451	1607	1587	1738	1333	1420	1725	1595	1315	887	1705	1526	873	1436	1384	1299	1383	1504	1615	1755	1653	1290	1347	1377	992	1262	1163	1313	645	1740	1338	1526	1495	1157	754	1138	1066	1009	1276	1095	1044	895	789	1151	1422	941	335	233					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2799	49	31	324	34	26	34	28	6	18	20	26	29	32	12	15	40	20	16	4	62	15	50	101	21	35	11	31	47	23	26	89	150	13	15	10	17	6	27	16	17	15	4	21	24	20	20	29	10	14	16	14	12	10	55	18	22	25	35	14	41	21	33	34	10	15	18	11	9	11	39	42	19	33	26	31	20	13	25	28	12	25	28	11	12	11	14	28	14	190	51					
6	Число погашенных избирательных бюллетеней	56822	709	709	599	935	621	745	520	313	722	751	737	556	756	660	398	380	1127	726	591	423	938	853	408	635	748	878	883	380	592	616	528	435	292	900	361	758	752	660	470	392	553	830	28	769	693	942	638	570	861	689	571	401	785	819	309	542	591	666	603	755	764	912	813	600	638	605	497	729	726	848	613	1041	629	848	774	523	433	537	606	579	799	477	645	393	400	735	850	645	75	16					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2797	49	31	323	34	26	34	28	6	18	20	26	29	31	12	15	40	20	16	4	62	15	50	101	21	35	11	31	47	23	26	89	150	13	15	10	17	6	27	16	17	15	4	21	24	20	20	29	10	14	16	14	12	10	55	18	22	25	35	14	41	21	33	34	10	15	18	11	9	11	39	42	19	33	26	31	20	13	25	28	12	25	28	11	12	11	14	28	14	190	51					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	108327	742	1059	1076	1031	1152	1517	1052	781	1360	1029	1537	1015	812	1128	886	680	1553	1058	903	515	1947	997	691	744	1117	1311	986	1773	1383	958	981	1215	695	1485	828	1525	1242	1513	1114	1091	1432	1866	1451	1605	1587	1730	1333	1419	1724	1593	1315	886	1702	1524	873	1436	1383	1299	1383	1504	1614	1753	1652	1289	1347	1377	992	1262	1163	1312	645	1740	1338	1526	1495	1157	754	1137	1066	1009	1276	1095	1044	895	789	1151	1415	941	335	231					
9	Число недействительных избирательных бюллетеней	1022	7	13	17	11	6	15	15	5	10	9	14	9	8	10	19	8	15	10	6	6	21	6	14	4	10	7	17	15	13	6	15	12	5	13	8	6	14	13	17	8	13	21	16	10	20	17	10	13	19	19	14	11	10	12	6	25	8	13	13	19	11	17	14	15	13	22	11	6	11	10	4	14	11	15	16	8	3	12	3	9	8	11	8	5	2	10	14	11	2	0					
10	Число действительных избирательных бюллетеней	110102	784	1077	1382	1054	1172	1536	1065	782	1368	1040	1549	1035	835	1130	882	712	1558	1064	901	571	1941	1041	778	761	1142	1315	1000	1805	1393	978	1055	1353	703	1487	830	1536	1234	1527	1113	1100	1434	1849	1456	1619	1587	1733	1352	1416	1719	1590	1315	887	1702	1567	885	1433	1400	1321	1384	1526	1624	1769	1672	1284	1349	1373	992	1265	1163	1341	683	1745	1360	1537	1510	1169	764	1150	1091	1012	1293	1112	1047	902	798	1155	1429	944	523	282					
