Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																								
Дата голосования: 18.09.2016																								
																								
Наименование Избирательной комиссии:    Большесельская																								
																								
Сводная таблица итогов голосования по федеральному избирательному округу																								
																								
		Сумма	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	8036	520	294	226	2106	1606	483	297	140	324	640	297	846	257									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7646	512	278	205	1972	1521	468	281	136	310	614	310	792	247									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2849	181	106	81	847	575	208	93	59	86	214	55	300	44									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	680	68	38	25	58	45	18	53	19	70	87	80	69	50									
6	Число погашенных избирательных бюллетеней	4117	263	134	99	1067	901	242	135	58	154	313	175	423	153									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	680	68	38	25	58	45	18	53	19	70	87	80	69	50									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2849	181	106	81	847	575	208	93	59	86	214	55	300	44									
9	Число недействительных избирательных бюллетеней	78	11	3	0	16	11	0	4	2	9	7	2	11	2									
10	Число действительных избирательных бюллетеней	3451	238	141	106	889	609	226	142	76	147	294	133	358	92									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	144	7	12	9	20	20	7	5	5	5	15	9	25	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	81	7	12	7	13	13	5	3	0	3	5	5	3	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	66	2	3	3	18	9	4	2	1	3	9	1	10	1									
14	Число погашенных неиспользованных открепительных удостоверений	63	0	0	2	7	7	2	2	5	2	10	4	22	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	0	0	0	3	0	0	0	0	0	2	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	31	2	2	2	8	6	4	2	0	1	1	0	1	2									
		0.88%	0.80%	1.39%	1.89%	0.88%	0.97%	1.77%	1.37%	0.00%	0.64%	0.33%	0.00%	0.27%	2.13%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	79	3	8	2	21	8	11	1	2	2	9	1	9	2									
		2.24%	1.20%	5.56%	1.89%	2.32%	1.29%	4.87%	0.68%	2.56%	1.28%	2.99%	0.74%	2.44%	2.13%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	89	4	5	1	16	19	10	10	0	2	10	1	9	2									
		2.52%	1.61%	3.47%	0.94%	1.77%	3.06%	4.42%	6.85%	0.00%	1.28%	3.32%	0.74%	2.44%	2.13%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1667	137	75	57	402	262	86	62	42	74	128	73	219	50									
		47.24%	55.02%	52.08%	53.77%	44.42%	42.26%	38.05%	42.47%	53.85%	47.44%	42.52%	54.07%	59.35%	53.19%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	39	5	2	1	9	5	4	1	0	1	7	0	3	1									
		1.11%	2.01%	1.39%	0.94%	0.99%	0.81%	1.77%	0.68%	0.00%	0.64%	2.33%	0.00%	0.81%	1.06%									
24	"6. Политическая партия ""Гражданская Платформа"""	4	0	0	0	1	0	2	0	0	0	0	0	1	0									
		0.11%	0.00%	0.00%	0.00%	0.11%	0.00%	0.88%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	784	53	25	24	189	151	53	40	22	38	77	42	54	16									
		22.22%	21.29%	17.36%	22.64%	20.88%	24.35%	23.45%	27.40%	28.21%	24.36%	25.58%	31.11%	14.63%	17.02%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	15	2	0	0	4	7	0	0	0	0	0	0	1	1									
		0.43%	0.80%	0.00%	0.00%	0.44%	1.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	1.06%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	24	1	1	1	9	6	2	0	1	2	1	0	0	0									
		0.68%	0.40%	0.69%	0.94%	0.99%	0.97%	0.88%	0.00%	1.28%	1.28%	0.33%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	4	0	0	0	2	1	0	0	0	0	0	0	1	0									
		0.11%	0.00%	0.00%	0.00%	0.22%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	36	1	0	2	11	6	1	5	0	1	5	0	3	1									
		1.02%	0.40%	0.00%	1.89%	1.22%	0.97%	0.44%	3.42%	0.00%	0.64%	1.66%	0.00%	0.81%	1.06%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	355	21	19	4	102	60	33	14	6	14	30	10	32	10									
		10.06%	8.43%	13.19%	3.77%	11.27%	9.68%	14.60%	9.59%	7.69%	8.97%	9.97%	7.41%	8.67%	10.64%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	19	0	0	2	9	1	0	0	0	0	2	1	4	0									
		0.54%	0.00%	0.00%	1.89%	0.99%	0.16%	0.00%	0.00%	0.00%	0.00%	0.66%	0.74%	1.08%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	305	9	4	10	106	77	20	7	3	12	24	5	21	7									
		8.64%	3.61%	2.78%	9.43%	11.71%	12.42%	8.85%	4.79%	3.85%	7.69%	7.97%	3.70%	5.69%	7.45%									
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
