Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																							
Дата голосования: 18.09.2016																							
																							
Наименование Избирательной комиссии:    Райчихинская городская																							
																							
Сводная таблица итогов голосования по федеральному избирательному округу																							
																							
		Сумма	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	17497	1821	1153	2046	2245	1799	1799	1567	451	959	1356	1292	1009									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13600	1400	1000	1600	1800	1300	1400	1200	400	700	1000	1000	800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6065	710	444	733	940	617	715	420	149	310	337	391	299									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	470	28	15	35	80	21	25	148	3	19	21	17	58									
6	Число погашенных избирательных бюллетеней	7065	662	541	832	780	662	660	632	248	371	642	592	443									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	470	28	15	35	80	21	25	148	3	19	21	17	58									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6059	705	444	732	940	617	715	420	149	310	337	391	299									
9	Число недействительных избирательных бюллетеней	184	18	17	16	29	23	19	9	2	11	11	14	15									
10	Число действительных избирательных бюллетеней	6345	715	442	751	991	615	721	559	150	318	347	394	342									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	255	20	20	30	30	20	25	20	10	20	20	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	116	13	3	14	18	14	22	6	2	8	5	10	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	56	9	0	4	6	3	8	1	19	1	1	4	0									
14	Число погашенных неиспользованных открепительных удостоверений	139	7	17	16	12	6	3	14	8	12	15	10	19									
