Выборы Президента Российской Федерации																																																									
																																																									
Наименование Избирательной комиссии:    Рыльская																																																									
																																																									
Итоги голосования 																																																									
																																																									
		Сумма	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949					
1	"Число избирателей, внесенных в список"	31201	1358	1193	1391	1671	1288	1377	2227	1417	1246	382	173	272	197	295	192	235	350	251	314	288	170	1326	445	2380	291	706	207	115	918	461	196	498	1146	523	127	715	393	257	120	261	442	544	389	228	284	133	360	743	322	384					
2	Число полученных избирательных бюллетеней	28007	1216	1066	1226	1478	1148	1214	1985	1274	1126	343	175	241	198	259	188	210	316	225	281	259	170	1193	397	2092	274	637	188	115	820	415	198	447	1034	472	126	639	355	228	120	232	392	482	349	202	253	134	331	657	284	343					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	18579	818	651	815	928	681	866	1200	686	741	226	105	178	131	173	113	129	237	153	192	206	127	734	200	1346	257	529	153	85	517	372	119	330	639	369	64	410	303	190	57	176	294	347	286	154	182	92	242	357	164	255					
5	"Число избирательных бюллетеней, выданных вне помещения"	2612	74	100	39	75	44	88	58	87	19	57	48	34	49	64	58	62	66	40	40	39	34	92	78	115	17	55	35	11	81	38	61	33	53	51	38	117	52	27	45	51	22	41	11	26	27	9	85	21	89	56					
6	Число погашенных избирательных бюллетеней	6816	324	315	372	475	423	260	727	501	366	60	22	29	18	22	17	19	13	32	49	14	9	367	119	631	0	53	0	19	222	5	18	84	342	52	24	112	0	11	18	5	76	94	52	22	44	33	4	279	31	32					
7	Число избирательных бюллетеней в переносных ящиках	2612	74	100	39	75	44	88	58	87	19	57	48	34	49	64	58	62	66	40	40	39	34	92	78	115	17	55	35	11	81	38	61	33	53	51	38	117	52	27	45	51	22	41	11	26	27	9	85	21	89	56					
8	Число бюллетеней в стационарных ящиках для голосования	18577	818	651	815	928	681	866	1200	686	741	226	105	178	131	173	113	129	237	153	192	206	127	734	200	1346	257	529	153	85	517	372	119	330	637	369	64	410	303	190	57	176	294	347	286	154	182	92	242	357	164	255					
9	Число недействительных избирательных бюллетеней	282	7	9	4	9	10	7	10	15	5	8	4	0	2	0	0	6	6	3	1	1	4	12	2	14	3	18	4	0	15	10	0	6	11	5	1	6	3	5	1	3	10	0	7	4	2	0	0	13	10	6					
10	Число действительных избирательных бюллетеней	20907	885	742	850	994	715	947	1248	758	755	275	149	212	178	237	171	185	297	190	231	244	157	814	276	1447	271	566	184	96	583	400	180	357	679	415	101	521	352	212	101	224	306	388	290	176	207	101	327	365	243	305					
