Выборы Президента Российской Федерации																																																																																																																										
Дата голосования: 18.03.2018																																																																																																																										
																																																																																																																										
"Наименование Избирательной комиссии:    Красноярск, Советская"																																																																																																																										
																																																																																																																										
Сводная таблица итогов голосования																																																																																																																										
																																																																																																																										
	Число участковых избирательных комиссий	111																																																																																																																								
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	111																																																																																																																								
																																																																																																																										
		Сумма	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №2194	УИК №2195	УИК №2196	УИК №2270	УИК №2271	УИК №2272	УИК №2299	УИК №2300	УИК №2301	УИК №2302	УИК №2303	УИК №2304	УИК №2305	УИК №2306	УИК №2307	УИК №2308	УИК №2309	УИК №2310	УИК №2311	УИК №2312	УИК №2313	УИК №2314	УИК №2316	УИК №2334	УИК №2335	УИК №2336	УИК №2337	УИК №2338	УИК №2350									
1	"Число избирателей, включенных в список избирателей"	220811	1392	1441	768	404	114	2308	640	930	1560	1895	2724	2359	2744	2528	2342	2244	2467	357	2358	2209	2176	1809	1736	1066	2024	1926	2226	1958	2141	2115	2050	2035	2262	2051	2271	2000	1945	2432	2185	2356	1563	2136	1365	1505	1784	2278	1859	2072	1843	2206	1700	1929	2015	2658	2341	2200	2310	2564	1836	1619	2052	1789	2212	1522	2378	1989	1999	2027	1528	2134	2500	2253	2286	2258	1687	1878	2064	1858	986	2408	2392	2351	2363	2024	636	2219	2004	1536	2330	1957	2342	2552	2824	2721	2074	1756	2031	1979	2431	2678	1922	1977	2262	1339	2500	1705	2654	2453	2216	1674	2770									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	214189	1250	1350	979	403	115	2150	635	900	1450	1800	2550	2200	2700	2250	2200	2150	2350	357	2200	2150	2100	1700	1650	1050	1950	1850	2100	1850	2050	2050	1900	2000	2150	2000	2250	1900	1900	2350	2100	2300	1600	2150	1300	1400	1700	2250	1800	2050	1850	2250	1700	1900	1950	2650	2250	2100	2300	2350	1800	1600	2000	1750	2100	1500	2400	2000	2000	2000	1500	2100	2300	2500	2200	2200	1700	1800	2000	1800	950	2400	2300	2250	2250	2000	600	2100	2050	1500	2200	2050	2200	2400	2850	2450	2000	1600	2000	2000	2400	2750	1850	1800	2200	1350	2400	1750	2700	2350	2100	1650	2600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	124084	889	804	478	184	114	1226	283	508	721	1046	1597	1367	1487	1389	1448	1332	1454	280	1252	1292	1296	911	997	501	1311	1116	1320	1001	1144	1053	1124	1198	1321	1234	1223	1144	1107	1250	1094	1289	495	1017	699	949	905	1347	1107	1146	1135	1359	1059	1135	1023	1258	1392	1276	1339	1446	1081	970	1253	1068	1303	941	1456	1029	1075	1114	920	1266	1369	1162	1273	1209	968	1124	1181	1053	340	961	1224	1329	1369	1215	306	1297	1203	870	1235	1184	1346	1398	1635	1518	1218	1079	1197	1115	1395	1487	1166	1160	1284	784	1335	954	1465	1445	1394	1055	1434									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2713	17	21	9	170	0	46	13	25	43	38	24	18	6	20	29	16	16	59	29	29	25	20	22	12	26	17	32	16	27	36	39	37	33	52	51	53	30	84	26	30	8	23	23	13	25	58	30	31	29	12	7	7	19	8	18	17	40	29	33	31	14	8	15	13	20	12	18	25	6	24	36	191	10	6	8	19	25	22	2	16	21	91	22	10	9	16	13	10	16	19	21	10	10	11	15	1	8	8	15	9	15	9	7	21	16	30	8	3	5	11	6									
6	Число погашенных избирательных бюллетеней	87392	344	525	492	49	1	878	339	367	686	716	929	815	1207	841	723	802	880	18	919	829	779	769	631	537	613	717	748	833	879	961	737	765	796	714	976	703	763	1016	980	981	1097	1110	578	438	770	845	663	873	686	879	634	758	908	1384	840	807	921	875	686	599	733	674	782	546	924	959	907	861	574	810	895	1147	917	985	724	657	794	725	608	1423	1055	830	859	775	285	787	834	620	949	847	833	992	1205	921	767	520	795	877	990	1254	669	631	909	545	1049	766	1227	902	701	584	1160									
