Выборы Президента Российской Федерации																																																																																																																			
Дата голосования: 04.03.2012																																																																																																																			
																																																																																																																			
Наименование Избирательной комиссии:    Красноярск, Советская																																																																																																																			
																																																																																																																			
Сводная таблица итогов голосования																																																																																																																			
																																																																																																																			
	Число участковых избирательных комиссий	104																																																																																																																	
	Число участковых избирательных комиссий, приступивших к передаче сведений	104																																																																																																																	
																																																																																																																			
		Сумма	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №2194	УИК №2195	УИК №2196	УИК №2270	УИК №2271	УИК №2272	УИК №2299	УИК №2300	УИК №2301	УИК №2302	УИК №2303	УИК №2304	УИК №2305	УИК №2306	УИК №2307	УИК №2308	УИК №2309	УИК №2310	УИК №2311	УИК №2312	УИК №2313	УИК №2314									
1	Число избирателей, включенных в список избирателей	205974	1548	1269	961	426	184	2003	742	1109	1683	1993	2323	2118	1802	1919	2269	2469	2638	180	2140	2423	2350	1792	2092	1700	2604	2140	2290	2206	2379	2251	2339	2201	2628	2427	2590	2742	2565	2479	2472	2470	1676	1831	1472	1508	1929	2466	1996	2266	2042	2183	1780	1691	2094	2640	2544	2090	2345	2271	1983	1679	1971	1874	2218	1577	2341	1883	2048	2097	1776	2278	2159	2529	2288	1829	1877	1947	1474	2665	1029	2443	2226	2415	2356	1991	624	2132	1372	1834	1808	2254	2348	2149	2679	2175	2568	1794	1758	1936	1756	2166	1249	1565	1642	1472									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	194214	1500	1150	810	428	201	1850	700	1000	1600	1900	2250	2000	1750	1750	2250	2250	2550	175	2050	2350	2150	1750	1950	1450	2550	2050	2150	2050	2250	2050	2150	2150	2550	2350	2500	2500	2500	2450	2350	2350	1550	1750	1350	1200	1750	2350	1850	2150	1950	2150	1750	1750	2050	2350	2350	2050	2250	2150	1950	1600	1850	1750	2150	1500	2300	1800	1950	2000	1650	2150	1950	2400	2050	1700	1750	1850	1350	2400	900	2300	2150	2350	2250	1850	500	2050	1250	1750	1650	2250	2150	2050	2500	2150	2450	1550	1650	1850	1650	1950	1100	1350	1500	1450									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	119494	1019	743	794	283	182	1043	407	635	765	1259	1337	1207	1140	1128	1526	1521	1510	147	1198	1397	1400	1060	1257	934	1623	1197	1385	1442	1288	1080	1399	1301	1601	1361	1523	1543	1523	1391	1160	1361	771	945	782	1036	1091	1443	1103	1314	1328	1278	1038	1013	1062	1177	1483	1125	1277	1280	1162	1033	1283	1149	1386	975	1400	1123	1114	1165	1079	1332	1362	1327	1359	1027	1069	1156	759	1575	531	1173	1231	1556	1374	1165	288	1225	809	1106	1062	1273	1350	1294	1584	1305	1589	1089	1032	1057	1152	1213	729	946	986	924									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	2804	11	13	13	112	2	36	10	17	48	39	20	22	4	4	23	22	13	28	14	24	23	18	22	16	34	48	29	28	41	56	65	59	53	54	36	43	35	86	54	46	4	14	12	33	31	56	27	41	36	18	16	20	19	8	11	21	64	34	20	28	16	23	15	19	35	13	16	21	14	15	29	200	21	16	19	21	19	21	0	12	38	54	19	6	27	20	8	27	14	21	13	4	20	24	22	9	4	15	18	14	11	12	5	20									
6	Число погашенных избирательных бюллетеней	71916	470	394	3	33	17	771	283	348	787	602	893	771	606	618	701	707	1027	0	838	929	727	672	671	500	893	805	736	580	921	914	686	790	896	935	941	914	942	973	1136	943	775	791	556	131	628	851	720	795	586	854	696	717	969	1165	856	904	909	836	768	539	551	578	749	506	865	664	820	814	557	803	559	873	670	657	662	673	572	804	369	1115	881	740	857	679	185	805	433	617	574	956	787	752	896	821	839	452	614	778	480	723	360	392	509	506									
