Выборы Президента Российской Федерации																																																																																															
Дата голосования: 02.03.2008																																																																																															
																																																																																															
"Наименование Избирательной комиссии:    Красноярск, Советская"																																																																																															
																																																																																															
Сводная таблица результатов выборов																																																																																															
																																																																																															
	Число участковых избирательных комиссий	88																																																																																													
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	88																																																																																													
																																																																																															
		Сумма	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №2194	УИК №2195	УИК №2196	УИК №2270	УИК №2271	УИК №2272					
1	"Число избирателей, включенных в списки избирателей"	183521	1579	449	939	480	165	2025	701	978	2199	1940	2628	2287	1537	2485	2112	2217	2475	135	1908	2530	2764	1426	2364	2714	2160	2574	2390	2068	2637	1959	2323	2318	2624	2548	2799	2561	2416	2085	2542	2451	1830	2017	1393	1420	1368	2600	2480	2637	2617	2765	2310	1913	2029	2553	2916	2292	2531	2238	2322	2427	2815	2895	2089	2485	2838	2730	1823	2665	1634	1971	2707	2225	2009	1882	1964	1823	1834	2339	1110	2379	2523	1550	2372	3009	596	2472	1076	1556					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	169722	1500	300	800	480	165	2000	800	950	2050	1800	2500	2100	1250	2200	2000	2050	2400	127	1850	2400	2650	1400	2200	2600	2050	2250	2250	1950	2400	1750	2150	2200	2500	2400	2650	2400	2300	2000	2300	2200	1650	1700	1250	1000	1300	2450	2350	2450	2500	2600	2200	1850	1850	2300	2550	2100	2400	2150	2250	2200	2600	2600	1850	2300	2650	2400	1600	2400	1500	1800	2600	2100	1900	1700	1800	1700	1700	2200	900	2250	2450	1500	2150	2700	550	2200	850	1350					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	92514	875	251	561	328	165	978	372	504	914	982	1363	1080	736	1198	1084	992	1405	109	822	1241	1351	699	1234	1515	1281	1378	1328	1243	1335	877	1166	1191	1359	1249	1378	1202	1243	1154	1101	1240	894	885	634	875	702	1340	1312	1238	1376	1392	1202	935	891	1311	1522	1106	1193	1319	1181	1206	1484	1488	1057	1243	1340	1350	923	1239	741	992	1445	969	1061	892	1021	911	841	1226	658	1062	1318	805	1143	1463	249	1287	504	804					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	2331	13	1	14	119	0	51	12	13	78	38	29	22	5	17	5	18	8	18	12	28	18	22	20	31	20	28	42	14	35	61	70	43	50	44	31	22	30	53	46	38	13	20	30	77	11	26	22	19	25	18	26	23	15	5	16	8	26	35	23	28	18	16	8	20	16	13	6	14	5	26	27	152	16	21	24	15	21	15	1	24	26	62	22	27	6	26	9	10					
6	Число погашенных избирательных бюллетеней	74877	612	48	225	33	0	971	416	433	1058	780	1108	998	509	985	911	1040	987	0	1016	1131	1281	679	946	1054	749	844	880	693	1030	812	914	966	1091	1107	1241	1176	1027	793	1153	922	743	795	586	48	587	1084	1016	1193	1099	1190	972	892	944	984	1012	986	1181	796	1046	966	1098	1096	785	1037	1294	1037	671	1147	754	782	1128	979	823	787	755	774	838	959	241	1164	1106	633	985	1210	295	887	337	536					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2331	13	1	14	119	0	51	12	13	78	38	29	22	5	17	5	18	8	18	12	28	18	22	20	31	20	28	42	14	35	61	70	43	50	44	31	22	30	53	46	38	13	20	30	77	11	26	22	19	25	18	26	23	15	5	16	8	26	35	23	28	18	16	8	20	16	13	6	14	5	26	27	152	16	21	24	15	21	15	1	24	26	62	22	27	6	26	9	10					
8	Число бюллетеней в стационарных ящиках для голосования	92442	872	251	561	328	165	978	372	504	914	982	1363	1080	736	1198	1084	992	1405	109	822	1241	1351	699	1234	1515	1281	1378	1328	1241	1335	877	1163	1191	1359	1249	1378	1202	1243	1154	1101	1240	894	885	634	875	702	1340	1303	1236	1376	1392	1202	935	891	1311	1522	1097	1193	1319	1181	1206	1484	1488	1053	1234	1340	1350	922	1239	741	990	1445	969	1061	892	1021	900	841	1219	658	1062	1318	795	1143	1463	249	1287	504	804					
9	Число недействительных избирательных бюллетеней	1714	21	7	12	5	4	23	3	8	15	20	16	24	8	29	28	11	10	0	11	21	20	13	20	28	31	36	28	22	26	24	22	24	28	18	47	19	18	19	22	19	16	5	5	21	12	19	22	30	32	19	29	18	13	28	29	30	28	0	19	16	30	24	15	29	36	16	14	34	4	21	32	24	23	11	16	11	11	23	7	25	21	17	24	22	14	30	8	21					
10	Число действительных избирательных бюллетеней	93059	864	245	563	442	161	1006	381	509	977	1000	1376	1078	733	1186	1061	999	1403	127	823	1248	1349	708	1234	1518	1270	1370	1342	1233	1344	914	1211	1210	1381	1275	1362	1205	1255	1188	1125	1259	891	900	659	931	701	1347	1303	1225	1369	1391	1199	940	893	1288	1509	1075	1191	1354	1185	1218	1472	1480	1046	1225	1320	1347	914	1219	742	995	1440	1097	1054	902	1029	904	851	1211	652	1061	1323	840	1141	1468	241	1283	505	793					
11	Число полученных открепительных  удостоверений	2480	30	10	30	0	0	20	30	30	30	30	30	30	30	30	30	30	30	0	40	40	40	30	40	30	40	30	30	40	20	20	30	20	30	30	30	30	30	20	20	20	30	20	20	20	20	20	30	30	30	40	50	20	30	50	30	40	20	30	40	40	35	35	30	30	40	30	30	30	20	20	40	30	20	20	30	30	20	20	20	30	30	20	40	40	10	30	20	40					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1794	21	0	30	0	0	14	8	12	26	24	21	21	13	20	28	24	28	0	19	22	25	21	29	23	40	18	23	32	16	14	22	13	30	20	26	25	20	19	16	16	24	13	14	13	16	16	23	18	23	28	36	19	18	47	25	29	19	25	28	28	28	31	22	21	35	25	13	24	10	14	40	30	11	6	19	19	15	16	18	22	23	11	27	25	0	20	6	22					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1521	12	11	20	23	15	22	14	16	17	30	19	13	22	42	14	29	7	10	12	6	16	9	6	22	10	7	20	17	17	17	24	13	26	12	15	18	4	12	21	31	9	35	15	0	34	17	19	11	21	22	10	9	19	32	25	21	13	0	22	10	32	12	23	15	11	36	20	22	18	18	13	6	5	16	6	12	9	9	11	9	12	17	13	14	24	21	17	85					
