Выборы Президента Российской Федерации																																																																																						
																																																																																						
"Наименование Избирательной комиссии:    Красноярск, Советская"																																																																																						
																																																																																						
Итоги голосования 																																																																																						
																																																																																						
		Сумма	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470					
1	"Число избирателей, внесенных в список"	174541	1526	609	1233	333	141	2549	1157	1271	1998	2140	2619	2282	1756	2703	2600	2190	1796	91	2592	2629	2845	2894	2849	2406	2590	2235	2514	2453	2379	2389	2818	2594	2835	2738	2628	2259	2747	2526	2752	2290	1535	380	1654	1566	2743	2646	2718	2861	3001	2941	2158	2575	2469	1186	2653	2850	2465	2482	2159	1960	2924	2929	3022	1575	3021	1908	2965	2268	2240	2032	2762	2998	1870	2352	1165	2312	2104	1682	1454					
2	Число полученных избирательных бюллетеней	171900	1500	570	1150	500	200	2450	1150	1250	1900	2150	2550	2150	1750	2700	2550	2200	1800	500	2550	2550	2800	2800	2900	2350	2550	2300	2450	2300	2300	2350	2800	2550	2800	2700	2550	2200	2750	2500	2700	2300	1500	380	1550	1750	2700	2650	2750	2800	2900	2800	2100	2700	2400	1150	2600	2800	2450	2450	2100	1900	2900	2900	2900	1550	2900	1850	2900	2300	2200	1950	2650	3000	1800	2300	1100	2200	2000	1600	1400					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	80845	824	339	657	262	141	1054	369	632	987	1128	1262	1073	878	1368	1352	1056	730	51	1203	1195	1502	1454	1483	1008	1297	1094	1171	756	1206	1163	1396	1247	1287	1232	1203	930	1090	1090	694	873	630	215	808	696	1319	1311	1162	1381	1453	1397	888	1033	1177	630	1103	1248	1200	1127	1076	984	1487	1280	1414	753	1264	898	1326	1106	922	1000	1348	1450	903	1159	559	949	1051	748	653					
5	"Число избирательных бюллетеней, выданных вне помещения"	1874	12	0	32	71	0	24	58	18	33	32	28	14	6	17	13	7	8	27	26	25	21	13	19	20	40	17	37	74	41	40	42	29	44	25	31	36	35	34	12	27	14	20	27	17	25	33	15	23	11	26	8	3	16	5	16	16	27	16	19	12	13	11	14	7	15	8	18	31	140	14	23	23	10	17	1	15	14	47	16					
6	Число погашенных избирательных бюллетеней	89181	664	231	461	167	59	1372	723	600	880	990	1260	1063	866	1315	1185	1137	1062	422	1321	1330	1277	1333	1398	1322	1213	1189	1242	1470	1053	1147	1362	1274	1469	1443	1316	1234	1625	1376	1994	1400	856	145	715	1037	1356	1306	1573	1396	1436	1377	1204	1664	1207	515	1481	1536	1223	1307	1005	904	1400	1609	1472	790	1621	944	1556	1163	1138	936	1279	1527	887	1124	540	1236	935	805	731					
7	Число избирательных бюллетеней в переносных ящиках	1874	12	0	32	71	0	24	58	18	33	32	28	14	6	17	13	7	8	27	26	25	21	13	19	20	40	17	37	74	41	40	42	29	44	25	31	36	35	34	12	27	14	20	27	17	25	33	15	23	11	26	8	3	16	5	16	16	27	16	19	12	13	11	14	7	15	8	18	31	140	14	23	23	10	17	1	15	14	47	16					
8	Число бюллетеней в стационарных ящиках для голосования	80836	824	339	656	262	141	1054	369	632	987	1128	1262	1073	878	1368	1352	1056	730	51	1203	1195	1502	1454	1483	1008	1297	1094	1171	756	1206	1163	1396	1247	1287	1232	1203	930	1088	1089	694	873	628	215	808	696	1319	1311	1161	1381	1453	1397	888	1033	1175	630	1103	1248	1200	1127	1076	984	1487	1280	1414	753	1264	898	1326	1106	922	1000	1348	1450	903	1159	559	949	1051	748	653					
9	Число недействительных избирательных бюллетеней	545	1	2	5	2	1	15	6	10	9	32	4	3	1	5	7	0	0	4	1	6	18	7	10	5	5	5	17	10	10	10	15	8	13	4	7	3	11	11	3	13	3	7	5	5	8	7	6	1	11	13	1	11	2	4	8	0	10	13	7	5	20	3	3	4	0	4	5	2	4	6	6	6	12	9	7	16	5	1	6					
10	Число действительных избирательных бюллетеней	82165	835	337	683	331	140	1063	421	640	1011	1128	1286	1084	883	1380	1358	1063	738	74	1228	1214	1505	1460	1492	1023	1332	1106	1191	820	1237	1193	1423	1268	1318	1253	1227	963	1112	1112	703	887	639	228	830	708	1336	1337	1170	1403	1453	1410	895	1025	1189	631	1111	1264	1217	1130	1088	991	1480	1288	1425	756	1279	902	1339	1135	1058	1008	1365	1467	901	1167	553	948	1060	794	663					
11	Число полученных открепительных  удостоверений	3010	35	25	35	0	0	35	35	35	35	35	35	35	35	35	35	35	35	0	35	35	35	35	135	35	35	70	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	25	35	35	35	35	55	35	35	35	35	250	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35	35					
12	Число выданных открепительных удостоверений	1385	9	3	17	0	0	13	11	15	16	16	19	18	14	22	15	12	7	0	10	15	33	11	109	13	17	14	16	4	9	14	17	14	10	11	11	6	8	7	8	17	14	4	17	15	12	16	41	30	23	17	9	234	11	16	9	11	17	14	6	11	21	16	14	12	23	14	14	11	14	6	18	31	7	12	21	10	16	7	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	963	6	5	9	26	13	19	10	12	18	7	8	16	9	8	13	5	5	15	5	5	11	6	6	3	10	5	13	8	9	10	17	15	15	12	14	4	13	3	10	7	7	1	24	2	17	9	17	16	33	102	35	45	14	12	4	0	10	6	10	7	13	11	11	13	11	16	6	4	4	7	24	13	4	7	5	5	12	4	17					
