Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																						
Дата голосования: 07.12.2003 0:00:00																																						
																																						
Наименование Избирательной комиссии:    Олонецкая																																						
																																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																						
																																						
		Сумма	УИК  360	УИК  361	УИК  362	УИК  363	УИК  364	УИК  365	УИК  366	УИК  367	УИК  368	УИК  369	УИК  370	УИК  371	УИК  372	УИК  373	УИК  374	УИК  375	УИК  376	УИК  377	УИК  378	УИК  379	УИК  380	УИК  381	УИК  382	УИК  383	УИК  384	УИК  385	УИК  386	УИК  387	УИК  388	УИК  389	УИК  390					
1	"Число избирателей, внесенных в списки"	21161	1348	2327	2130	2320	1586	849	258	221	281	620	281	1129	939	1214	399	172	555	91	145	444	62	48	39	43	934	419	662	236	479	657	273					
2	"Число бюллетеней, полученных участковыми комиссиями"	19983	1220	2100	1900	2100	1500	810	250	220	281	600	270	1080	910	1150	400	170	545	90	142	435	62	48	40	48	915	400	650	232	475	680	260					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	9707	657	1195	872	933	735	389	136	97	113	231	123	445	457	566	225	98	274	50	59	231	21	33	27	17	415	186	271	95	296	350	110					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	622	14	37	82	33	18	23	13	14	8	31	5	18	5	45	0	18	11	0	27	5	18	0	0	7	89	10	14	5	9	56	7					
6	Число погашенных бюллетеней	9654	549	868	946	1134	747	398	101	109	160	338	142	617	448	539	175	54	260	40	56	199	23	15	13	24	411	204	365	132	170	274	143					
7	Число бюллетеней в переносных ящиках для голосования	622	14	37	82	33	18	23	13	14	8	31	5	18	5	45	0	18	11	0	27	5	18	0	0	7	89	10	14	5	9	56	7					
8	Число бюллетеней в стационарных ящиках для голосования	9707	657	1195	872	933	735	389	136	97	113	231	123	445	457	566	225	98	274	50	59	231	21	33	27	17	415	186	271	95	296	350	110					
9	Число недействительных бюллетеней	216	5	16	12	12	16	5	1	2	2	4	5	11	9	9	48	0	11	2	1	4	0	0	1	0	8	7	3	2	7	9	4					
10	Число действительных бюллетеней	10113	666	1216	942	954	737	407	148	109	119	258	123	452	453	602	177	116	274	48	85	232	39	33	26	24	496	189	282	98	298	397	113					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	480	25	40	40	40	25	15	5	10	10	15	5	20	15	25	15	10	15	5	5	15	5	5	5	5	25	15	15	10	20	15	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	89	9	19	6	3	4	3	1	0	1	4	0	1	3	8	0	0	3	1	3	5	2	0	0	1	2	0	0	1	4	5	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	65	1	9	4	4	1	1	0	1	1	5	2	3	0	2	0	1	1	3	5	0	4	2	0	1	5	1	3	1	1	0	3					
14	Число погашенных открепительных удостоверений	391	16	21	34	37	21	12	4	10	9	11	5	19	12	17	15	10	12	4	2	10	3	5	5	4	23	15	15	9	16	10	5					
15	Число открепительных удостоверений выданных ТИК	5	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																						
18	"1. ""ЕДИНЕНИЕ"""	125	8	12	5	5	8	8	3	3	2	4	1	7	10	4	6	6	6	1	0	1	0	2	0	0	8	5	2	1	4	1	2					
		1.21%	1.19%	0.97%	0.52%	0.51%	1.06%	1.94%	2.01%	2.70%	1.65%	1.52%	0.78%	1.51%	2.16%	0.65%	2.66%	5.17%	2.10%	2.0%	0.0%	0.42%	0.0%	6.06%	0.0%	0.0%	1.58%	2.55%	0.70%	1.0%	1.31%	0.24%	1.70%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	459	35	74	60	51	35	16	4	2	8	11	6	12	5	29	4	3	11	0	5	4	1	0	0	0	25	7	19	3	15	12	2					
