Выборы Президента Российской Федерации																																						
																																						
Наименование Избирательной комиссии:    Нижнедевицкая																																						
																																						
Итоги голосования 																																						
																																						
		Сумма	УИК №2101	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118	УИК №2119	УИК №2120	УИК №2121	УИК №2122	УИК №2123	УИК №2124	УИК №2125	УИК №2126	УИК №2127	УИК №2128	УИК №2129	УИК №2130	УИК №2131					
1	"Число избирателей, внесенных в список"	19978	2188	2318	265	613	377	573	241	488	2033	422	963	577	481	328	414	738	130	470	497	214	444	546	584	151	430	853	468	362	326	433	1051					
2	Число полученных избирательных бюллетеней	19895	2190	2300	260	630	380	570	240	480	2000	430	950	580	480	340	410	730	130	470	500	200	440	550	590	155	430	870	450	350	320	430	1040					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9369	1178	1064	97	332	144	261	78	231	831	162	592	269	259	111	82	407	57	187	154	82	165	199	319	94	246	435	245	199	171	177	541					
5	"Число избирательных бюллетеней, выданных вне помещения"	4981	112	239	104	130	160	154	132	197	304	147	115	165	144	169	233	165	44	222	265	107	166	250	148	45	129	262	180	120	106	170	97					
6	Число погашенных избирательных бюллетеней	5545	900	997	59	168	76	155	30	52	865	121	243	146	77	60	95	158	29	61	81	11	109	101	123	16	55	173	25	31	43	83	402					
7	Число избирательных бюллетеней в переносных ящиках	4981	112	239	104	130	160	154	132	197	304	147	115	165	144	169	233	165	44	222	265	107	166	250	148	45	129	262	180	120	106	170	97					
8	Число бюллетеней в стационарных ящиках для голосования	9367	1178	1064	97	332	144	261	78	231	831	162	592	269	259	111	82	407	57	187	154	82	165	199	319	94	246	434	245	198	171	177	541					
9	Число недействительных избирательных бюллетеней	147	15	17	1	7	1	3	0	2	14	3	4	10	4	1	1	12	0	7	2	0	6	2	6	1	3	9	3	3	0	1	9					
10	Число действительных избирательных бюллетеней	14201	1275	1286	200	455	303	412	210	426	1121	306	703	424	399	279	314	560	101	402	417	189	325	447	461	138	372	687	422	315	277	346	629					
11	Число полученных открепительных  удостоверений	240	15	13	5	8	5	5	5	5	10	14	10	10	5	10	9	8	5	5	5	5	15	10	5	5	5	9	14	5	5	5	5					
12	Число выданных открепительных удостоверений	139	9	11	0	8	4	0	0	0	10	12	2	6	1	8	4	7	0	2	5	4	8	8	3	0	5	1	14	0	0	2	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	97	16	0	3	1	1	3	3	1	4	6	6	12	6	1	4	2	2	0	0	0	4	3	2	0	2	5	2	3	1	2	2					
14	Число неиспользованных открепительных удостоверений	101	6	2	5	0	1	5	5	5	0	2	8	4	4	2	5	1	5	3	0	1	7	2	2	5	0	8	0	5	5	3	0					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																						
18	. Глазьев Сергей Юрьевич	272	25	22	2	4	4	7	1	10	41	5	18	11	11	5	0	13	1	2	10	2	8	4	8	2	4	10	4	9	12	5	12					
		1.90%	1.94%	1.69%	1.00%	0.87%	1.32%	1.69%	0.48%	2.34%	3.61%	1.62%	2.55%	2.53%	2.73%	1.79%	0.00%	2.27%	0.99%	0.49%	2.39%	1.06%	2.42%	0.89%	1.71%	1.44%	1.07%	1.44%	0.94%	2.83%	4.33%	1.44%	1.88%					
19	. Малышкин Олег Александрович	314	35	23	2	10	4	10	2	1	21	7	28	3	12	4	9	16	1	4	8	7	1	11	28	12	13	11	6	2	4	4	15					
		2.19%	2.71%	1.77%	1.00%	2.16%	1.32%	2.41%	0.95%	0.23%	1.85%	2.27%	3.96%	0.69%	2.98%	1.43%	2.86%	2.80%	0.99%	0.98%	1.91%	3.70%	0.30%	2.45%	6.00%	8.63%	3.47%	1.58%	1.41%	0.63%	1.44%	1.15%	2.35%					
20	. Миронов Сергей Михайлович	108	10	16	1	4	2	3	1	2	11	0	3	3	2	2	1	9	2	6	2	0	4	3	3	2	2	4	3	1	0	1	5					
