Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																														
Дата голосования: 02.12.2007																																																														
																																																														
Наименование Избирательной комиссии:    Хунзахская																																																														
																																																														
Сводная таблица результатов выборов																																																														
																																																														
		Сумма	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635					
1	"Число избирателей, внесенных в списки избирателей"	18220	2286	221	190	215	130	147	123	662	80	781	548	424	192	400	167	845	246	1220	385	425	226	160	392	210	102	318	100	195	265	391	138	48	295	185	45	185	110	150	170	280	195	271	125	790	97	686	66	895	43	300	316	258	181	65	280					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	18277	2293	221	190	215	131	148	130	663	82	789	549	425	193	400	168	848	246	1218	385	427	228	162	393	210	103	317	102	196	266	393	139	49	294	188	46	186	113	154	171	279	197	271	125	790	97	686	66	895	43	300	312	258	182	65	280					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	17034	2100	203	182	206	125	141	110	610	76	740	495	407	174	384	160	800	236	1164	360	408	217	154	344	202	98	316	96	187	250	375	132	46	280	180	43	173	105	144	163	260	180	225	120	748	93	650	63	840	41	270	279	243	174	60	202					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	462	94	9	0	0	0	0	8	26	0	10	31	0	10	0	0	11	0	7	9	0	0	0	32	0	0	0	0	0	4	0	0	0	3	0	0	5	0	0	0	9	7	34	0	10	0	8	0	19	0	18	24	5	0	2	67					
6	Число погашенных избирательных бюллетеней	781	99	9	8	9	6	7	12	27	6	39	23	18	9	16	8	37	10	47	16	19	11	8	17	8	5	1	6	9	12	18	7	3	11	8	3	8	8	10	8	10	10	12	5	32	4	28	3	36	2	12	9	10	8	3	11					
7	Число избирательных бюллетеней в переносных ящиках для голосования	462	94	9	0	0	0	0	8	26	0	10	31	0	10	0	0	11	0	7	9	0	0	0	32	0	0	0	0	0	4	0	0	0	3	0	0	5	0	0	0	9	7	34	0	10	0	8	0	19	0	18	24	5	0	2	67					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	17034	2100	203	182	206	125	141	110	610	76	740	495	407	174	384	160	800	236	1164	360	408	217	154	344	202	98	316	96	187	250	375	132	46	280	180	43	173	105	144	163	260	180	225	120	748	93	650	63	840	41	270	279	243	174	60	202					
9	Число недействительных избирательных бюллетеней	24	4	0	0	0	0	0	0	3	0	2	0	0	0	0	0	1	1	4	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0					
10	Число действительных избирательных бюллетеней	17472	2190	212	182	206	125	141	118	633	76	748	526	407	184	384	160	810	235	1167	368	408	217	154	376	201	98	316	96	187	253	374	132	46	283	180	43	178	104	144	163	269	187	258	120	756	93	658	63	859	41	288	302	248	174	62	269					
