Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																										
Дата голосования: 07.12.2003 0:00:00																										
																										
Наименование Избирательной комиссии:    Думиничская																										
																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																										
																										
		Сумма	УИК  111	УИК  112	УИК  113	УИК  114	УИК  115	УИК  116	УИК  117	УИК  118	УИК  119	УИК  120	УИК  121	УИК  122	УИК  123	УИК  124	УИК  125	УИК  126	УИК  127	УИК  128	УИК  129					
1	"Число избирателей, внесенных в списки"	11952	2224	2757	738	463	753	172	134	283	150	218	206	1240	276	449	576	249	234	233	597					
2	"Число бюллетеней, полученных участковыми комиссиями"	11250	2100	2600	750	450	700	160	130	270	140	210	200	1150	250	400	500	230	220	220	570					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	5876	1001	1330	348	264	321	114	96	122	93	97	76	534	104	238	370	156	165	143	304					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	914	41	46	12	51	116	9	10	85	31	26	77	142	85	41	9	19	20	39	55					
6	Число погашенных бюллетеней	4460	1058	1224	390	135	263	37	24	63	16	87	47	474	61	121	121	55	35	38	211					
7	Число бюллетеней в переносных ящиках для голосования	914	41	46	12	51	116	9	10	85	31	26	77	142	85	41	9	19	20	39	55					
8	Число бюллетеней в стационарных ящиках для голосования	5876	1001	1330	348	264	321	114	96	122	93	97	76	534	104	238	370	156	165	143	304					
9	Число недействительных бюллетеней	170	26	25	6	14	12	4	0	4	3	3	4	14	2	12	7	10	1	4	19					
10	Число действительных бюллетеней	6620	1016	1351	354	301	425	119	106	203	121	120	149	662	187	267	372	165	184	178	340					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	188	16	31	12	9	12	6	6	6	6	6	6	16	9	9	10	6	6	6	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	81	11	29	8	4	4	0	0	4	1	0	1	8	7	1	0	1	0	1	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	59	5	3	1	2	4	2	3	3	3	1	1	5	4	6	4	2	4	4	2					
14	Число погашенных открепительных удостоверений	107	5	2	4	5	8	6	6	2	5	6	5	8	2	8	10	5	6	5	9					
