Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																											
Дата голосования: 18.09.2016																																																											
																																																											
Наименование Избирательной комиссии:    Мелекесская																																																											
																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																											
																																																											
		Сумма	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	29580	2314	1105	1580	203	2166	1304	1469	419	316	85	795	457	277	1069	545	337	133	1451	468	105	2412	244	252	242	246	384	271	603	1102	845	650	131	144	54	214	748	152	231	525	83	55	962	71	702	757	482	253	167									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	24650	2000	1000	1200	180	1620	1000	1100	350	250	70	630	450	250	1000	500	300	120	1130	400	100	2000	200	200	200	200	300	250	450	1000	750	600	110	140	50	200	600	150	200	420	80	50	800	55	645	600	400	200	150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15138	1125	545	796	145	945	576	704	241	126	52	427	226	119	473	284	221	79	778	263	74	1206	166	156	129	174	185	207	263	660	439	343	65	92	31	101	376	90	124	226	57	33	526	51	421	306	273	140	99									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1814	108	93	76	5	83	49	23	30	16	18	41	33	9	47	36	9	6	89	51	2	79	14	21	11	12	38	31	39	66	47	60	12	4	6	34	50	17	36	112	11	5	90	4	71	65	28	8	19									
6	Число погашенных избирательных бюллетеней	7698	767	362	328	30	592	375	373	79	108	0	162	191	122	480	180	70	35	263	86	24	715	20	23	60	14	77	12	148	274	264	197	33	44	13	65	174	43	40	82	12	12	184	0	153	229	99	52	32									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1814	108	93	76	5	83	49	23	30	16	18	41	33	9	47	36	9	6	89	51	2	79	14	21	11	12	38	31	39	66	47	60	12	4	6	34	50	17	36	112	11	5	90	4	71	65	28	8	19									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15136	1125	545	796	145	945	576	704	241	126	52	427	226	119	473	284	221	79	778	263	74	1206	166	156	129	174	185	205	263	660	439	343	65	92	31	101	376	90	124	226	57	33	526	51	421	306	273	140	99									
9	Число недействительных избирательных бюллетеней	410	33	18	21	2	19	23	11	5	0	0	13	43	4	16	4	5	1	24	8	3	24	2	2	0	5	5	14	3	10	8	4	0	0	0	5	14	0	3	3	1	2	17	0	16	5	10	0	4									
10	Число действительных избирательных бюллетеней	16540	1200	620	851	148	1009	602	716	266	142	70	455	216	124	504	316	225	84	843	306	73	1261	178	175	140	181	218	222	299	716	478	399	77	96	37	130	412	107	157	335	67	36	599	55	476	366	291	148	114									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1300	60	50	50	20	45	45	45	10	15	15	25	10	15	35	20	25	10	70	50	30	80	15	20	5	10	10	15	15	50	50	50	10	10	5	20	30	5	10	15	10	5	45	20	45	25	25	15	40									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1013	60	50	19	20	36	45	16	10	5	15	10	10	15	13	20	25	3	56	50	30	80	15	20	1	10	5	1	4	28	25	50	4	4	5	17	2	3	2	15	10	4	45	20	45	18	25	7	40									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	390	18	12	4	7	24	17	30	6	12	5	12	2	5	5	8	4	5	32	10	3	20	5	4	2	0	4	3	6	6	30	8	6	4	3	4	10	2	4	5	4	4	10	0	5	5	4	5	6									
14	Число погашенных неиспользованных открепительных удостоверений	287	0	0	31	0	9	0	29	0	10	0	15	0	0	22	0	0	7	14	0	0	0	0	0	4	0	5	14	11	22	25	0	6	6	0	3	28	2	8	0	0	1	0	0	0	7	0	8	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	64	2	1	1	0	4	0	0	3	0	0	0	0	1	2	0	0	0	22	1	0	6	0	1	0	0	1	0	0	5	2	4	0	1	0	0	0	0	0	0	0	1	1	0	1	1	0	1	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	171	20	11	9	3	8	3	9	3	0	0	7	2	0	6	1	1	1	14	3	0	8	0	3	0	2	2	2	3	11	3	7	0	0	2	0	1	6	0	2	1	1	4	1	5	4	1	1	0									
		1.01%	1.62%	1.72%	1.03%	2.00%	0.78%	0.48%	1.24%	1.11%	0.00%	0.00%	1.50%	0.77%	0.00%	1.15%	0.31%	0.43%	1.18%	1.61%	0.96%	0.00%	0.62%	0.00%	1.69%	0.00%	1.08%	0.90%	0.85%	0.99%	1.52%	0.62%	1.74%	0.00%	0.00%	5.41%	0.00%	0.23%	5.61%	0.00%	0.59%	1.47%	2.63%	0.65%	1.82%	1.02%	1.08%	0.33%	0.68%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	713	45	33	43	7	40	39	47	11	9	2	22	10	10	22	17	4	1	26	12	1	58	2	4	3	5	17	7	21	38	16	20	4	8	3	2	12	4	4	12	2	1	28	1	5	15	13	6	1									
		4.21%	3.65%	5.17%	4.93%	4.67%	3.89%	6.24%	6.46%	4.06%	6.34%	2.86%	4.70%	3.86%	7.81%	4.23%	5.31%	1.74%	1.18%	2.99%	3.82%	1.32%	4.51%	1.11%	2.26%	2.14%	2.69%	7.62%	2.97%	6.95%	5.23%	3.29%	4.96%	5.19%	8.33%	8.11%	1.48%	2.82%	3.74%	2.50%	3.55%	2.94%	2.63%	4.55%	1.82%	1.02%	4.04%	4.32%	4.05%	0.85%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	230	18	10	6	1	14	4	8	4	3	1	8	5	1	6	4	2	0	20	4	0	20	1	2	1	1	3	4	5	19	5	10	1	3	2	1	3	1	1	0	0	1	8	0	5	8	4	0	2									
		1.36%	1.46%	1.57%	0.69%	0.67%	1.36%	0.64%	1.10%	1.48%	2.11%	1.43%	1.71%	1.93%	0.78%	1.15%	1.25%	0.87%	0.00%	2.31%	1.27%	0.00%	1.56%	0.56%	1.13%	0.71%	0.54%	1.35%	1.69%	1.66%	2.62%	1.03%	2.48%	1.30%	3.13%	5.41%	0.74%	0.70%	0.93%	0.63%	0.00%	0.00%	2.63%	1.30%	0.00%	1.02%	2.16%	1.33%	0.00%	1.69%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8315	606	289	321	71	475	299	260	128	56	40	222	101	55	186	109	115	55	455	168	32	563	130	116	83	101	103	169	151	345	296	216	46	61	21	85	234	66	84	195	41	15	366	43	308	135	157	64	78									
		49.06%	49.15%	45.30%	36.81%	47.33%	46.21%	47.84%	35.76%	47.23%	39.44%	57.14%	47.44%	38.99%	42.97%	35.77%	34.06%	50.00%	64.71%	52.48%	53.50%	42.11%	43.81%	72.22%	65.54%	59.29%	54.30%	46.19%	71.61%	50.00%	47.52%	60.91%	53.60%	59.74%	63.54%	56.76%	62.96%	54.93%	61.68%	52.50%	57.69%	60.29%	39.47%	59.42%	78.18%	62.60%	36.39%	52.16%	43.24%	66.10%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	42	1	0	2	0	3	2	4	0	1	0	4	2	0	1	1	2	0	2	1	0	2	1	0	0	1	1	0	1	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0									
		0.25%	0.08%	0.00%	0.23%	0.00%	0.29%	0.32%	0.55%	0.00%	0.70%	0.00%	0.85%	0.77%	0.00%	0.19%	0.31%	0.87%	0.00%	0.23%	0.32%	0.00%	0.16%	0.56%	0.00%	0.00%	0.54%	0.45%	0.00%	0.33%	0.41%	0.00%	0.99%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.54%	0.33%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	34	2	1	0	0	3	1	2	0	0	1	0	2	0	4	0	0	0	2	0	0	2	0	0	0	1	5	0	1	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0									
		0.20%	0.16%	0.16%	0.00%	0.00%	0.29%	0.16%	0.28%	0.00%	0.00%	1.43%	0.00%	0.77%	0.00%	0.77%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.54%	2.24%	0.00%	0.33%	0.28%	0.21%	0.25%	0.00%	0.00%	0.00%	0.74%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2509	199	109	119	20	182	101	134	40	34	12	67	27	21	95	63	46	9	133	39	8	212	20	22	17	40	10	11	29	95	53	71	11	5	5	15	49	13	6	46	5	3	80	6	70	74	37	34	12									
		14.80%	16.14%	17.08%	13.65%	13.33%	17.70%	16.16%	18.43%	14.76%	23.94%	17.14%	14.32%	10.42%	16.41%	18.27%	19.69%	20.00%	10.59%	15.34%	12.42%	10.53%	16.50%	11.11%	12.43%	12.14%	21.51%	4.48%	4.66%	9.60%	13.09%	10.91%	17.62%	14.29%	5.21%	13.51%	11.11%	11.50%	12.15%	3.75%	13.61%	7.35%	7.89%	12.99%	10.91%	14.23%	19.95%	12.29%	22.97%	10.17%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	39	2	0	2	0	3	3	3	1	1	1	2	1	1	0	0	0	1	2	2	0	4	0	0	0	0	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	3	0									
		0.23%	0.16%	0.00%	0.23%	0.00%	0.29%	0.48%	0.41%	0.37%	0.70%	1.43%	0.43%	0.39%	0.78%	0.00%	0.00%	0.00%	1.18%	0.23%	0.64%	0.00%	0.31%	0.00%	0.00%	0.00%	0.00%	0.45%	0.00%	0.33%	0.14%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	2.03%	0.00%									
