Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																													
Дата голосования: 04.12.2011																																													
																																													
Наименование Избирательной комиссии:    Майнская																																													
																																													
Сводная таблица результатов выборов																																													
																																													
		Сумма	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255					
1	"Число избирателей, внесенных в список избирателей"	21738	767	1196	311	659	526	443	465	2011	2093	1569	845	535	375	315	302	586	593	493	223	459	91	224	376	361	364	307	116	335	375	440	310	225	179	1326	350	842	626	125					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	21980	790	1210	310	670	530	450	480	1960	2100	1550	840	550	370	350	310	600	610	510	230	470	90	230	380	370	380	310	120	350	380	450	310	230	200	1330	370	830	630	130					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	13027	480	873	193	304	337	272	243	1211	1016	635	446	357	267	186	182	290	293	291	131	355	78	159	235	211	221	201	85	214	213	341	224	167	118	861	259	565	415	98					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2272	116	93	52	118	48	58	85	125	127	131	43	73	46	41	38	149	125	33	40	23	9	19	40	57	40	34	12	37	58	24	22	13	9	153	25	95	50	11					
6	Число погашенных избирательных бюллетеней	6681	194	244	65	248	145	120	152	624	957	784	351	120	57	123	90	161	192	186	59	92	3	52	105	102	119	75	23	99	109	85	64	50	73	316	86	170	165	21					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2272	116	93	52	118	48	58	85	125	127	131	43	73	46	41	38	149	125	33	40	23	9	19	40	57	40	34	12	37	58	24	22	13	9	153	25	95	50	11					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	13026	480	873	193	304	337	272	243	1211	1016	635	446	357	267	186	182	290	292	291	131	355	78	159	235	211	221	201	85	214	213	341	224	167	118	861	259	565	415	98					
9	Число недействительных избирательных бюллетеней	204	0	6	3	2	2	3	5	23	20	8	9	0	2	1	1	24	6	6	2	5	1	0	4	7	6	1	1	2	3	2	4	3	3	14	4	11	9	1					
10	Число действительных избирательных бюллетеней	15094	596	960	242	420	383	327	323	1313	1123	758	480	430	311	226	219	415	411	318	169	373	86	178	271	261	255	234	96	249	268	363	242	177	124	1000	280	649	456	108					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1469	100	101	50	40	30	40	30	99	50	20	30	50	50	50	30	35	30	30	20	45	10	20	20	59	30	30	10	30	40	30	30	20	20	50	45	35	30	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1469	100	101	50	40	30	40	30	99	50	20	30	50	50	50	30	35	30	30	20	45	10	20	20	59	30	30	10	30	40	30	30	20	20	50	45	35	30	30					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	180	6	5	7	4	4	1	4	19	14	4	1	6	10	3	3	4	13	0	1	1	1	0	5	3	0	3	0	5	4	3	1	3	3	22	2	8	3	4					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	31	0	1	0	0	4	0	0	15	3	4	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																													
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1946	56	103	38	51	47	56	40	194	166	105	87	59	51	27	9	38	47	46	23	47	13	18	23	45	29	45	10	41	30	39	20	16	16	117	26	75	78	15					
