Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																								
Дата голосования: 18.09.2016																																																								
																																																								
Наименование Избирательной комиссии:    Сорочинская городская																																																								
																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																								
																																																								
		Сумма	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	35385	302	144	135	726	638	171	176	331	223	750	880	159	325	293	340	335	351	500	341	108	472	576	993	104	162	433	167	807	364	540	974	1679	1743	1959	1444	1435	1721	1709	1420	1487	1433	1933	1410	1519	1673									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	35580	319	148	138	720	652	174	178	333	230	734	888	167	331	301	345	344	352	504	350	117	485	598	998	107	173	433	168	822	366	545	970	1674	1750	1980	1444	1421	1723	1710	1418	1494	1449	1935	1412	1532	1648									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15767	172	82	69	316	351	102	87	163	152	298	392	73	153	153	225	185	159	249	168	62	197	256	485	68	63	207	80	445	166	237	482	770	923	770	571	554	633	700	561	645	567	827	523	692	734									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1564	37	24	28	37	40	19	13	41	10	34	35	23	38	23	12	28	42	40	13	7	64	115	24	0	2	12	5	41	25	22	1	77	60	38	36	51	81	84	84	37	40	19	50	3	49									
6	Число погашенных избирательных бюллетеней	18249	110	42	41	367	261	53	78	129	68	402	461	71	140	125	108	131	151	215	169	48	224	227	489	39	108	214	83	336	175	286	487	827	767	1172	837	816	1009	926	773	812	842	1089	839	837	865									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1564	37	24	28	37	40	19	13	41	10	34	35	23	38	23	12	28	42	40	13	7	64	115	24	0	2	12	5	41	25	22	1	77	60	38	36	51	81	84	84	37	40	19	50	3	49									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15767	172	82	69	316	351	102	87	163	152	298	392	73	153	153	225	185	159	249	168	62	197	256	485	68	63	207	80	445	166	237	482	770	923	770	571	554	633	700	561	645	567	827	523	692	734									
9	Число недействительных избирательных бюллетеней	389	1	0	0	12	5	0	2	3	2	11	11	0	0	1	6	6	4	8	5	0	19	8	6	0	2	7	0	10	3	11	4	11	14	19	7	12	52	15	24	21	11	15	17	16	8									
10	Число действительных избирательных бюллетеней	16942	208	106	97	341	386	121	98	201	160	321	416	96	191	175	231	207	197	281	176	69	242	363	503	68	63	212	85	476	188	248	479	836	969	789	600	593	662	769	621	661	596	831	556	679	775									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	267	6	3	0	5	4	2	2	3	2	5	5	2	3	3	3	3	3	4	3	1	3	4	5	2	2	4	2	4	3	4	5	12	15	15	10	12	10	15	10	10	10	16	10	10	12									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	116	6	3	0	1	0	0	0	0	0	1	2	2	0	1	0	0	2	0	2	0	3	3	5	0	0	0	0	4	0	2	1	8	2	7	0	8	4	2	3	3	9	8	3	10	11									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	190	2	6	1	11	0	1	2	1	1	22	3	0	0	1	0	0	3	1	30	0	1	0	4	2	0	2	1	1	3	2	5	3	1	4	10	11	10	3	10	3	2	21	3	2	1									
14	Число погашенных неиспользованных открепительных удостоверений	151	0	0	0	4	4	2	2	3	2	4	3	0	3	2	3	3	1	4	1	1	0	1	0	2	2	4	2	0	3	2	4	4	13	8	10	4	6	13	7	7	1	8	7	0	1									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	32	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	3	1	1	3	2	4	3	2	6	1	0	0	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	147	0	0	0	6	1	0	0	1	2	0	1	0	1	1	3	0	2	3	2	0	1	4	5	1	1	1	0	8	1	1	1	6	29	7	4	5	8	4	1	3	5	8	6	9	5									
		0.85%	0.00%	0.00%	0.00%	1.70%	0.26%	0.00%	0.00%	0.49%	1.23%	0.00%	0.23%	0.00%	0.52%	0.57%	1.27%	0.00%	0.99%	1.04%	1.10%	0.00%	0.38%	1.08%	0.98%	1.47%	1.54%	0.46%	0.00%	1.65%	0.52%	0.39%	0.21%	0.71%	2.95%	0.87%	0.66%	0.83%	1.12%	0.51%	0.16%	0.44%	0.82%	0.95%	1.05%	1.29%	0.64%									
