Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																													
Дата голосования: 18.09.2016																																													
																																													
Наименование Избирательной комиссии:    Еланская																																													
																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																													
																																													
		Сумма	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	24661	1111	1317	962	1163	1299	1509	496	1264	1263	1149	289	682	299	79	610	273	701	1111	904	1069	958	738	1045	193	1223	602	380	475	171	577	183	144	238	184									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	24670	1100	1300	950	1150	1300	1500	490	1250	1250	1150	290	690	300	85	600	280	700	1100	930	1050	1000	740	1050	195	1200	605	390	490	175	600	190	140	240	190									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10434	472	577	407	508	512	593	206	502	434	425	134	290	134	36	310	161	340	542	332	350	394	319	413	136	602	255	117	187	95	238	56	59	140	158									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2611	64	37	63	106	194	121	56	129	93	75	23	66	35	18	42	36	53	153	98	209	130	112	192	23	45	82	78	60	25	77	46	29	30	11									
6	Число погашенных избирательных бюллетеней	11625	564	686	480	536	594	786	228	619	723	650	133	334	131	31	248	83	307	405	500	491	476	309	445	36	553	268	195	243	55	285	88	52	70	21									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2611	64	37	63	106	194	121	56	129	93	75	23	66	35	18	42	36	53	153	98	209	130	112	192	23	45	82	78	60	25	77	46	29	30	11									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10431	472	577	407	508	512	593	205	502	434	425	134	290	134	36	310	161	340	542	332	350	394	318	413	136	601	255	117	187	95	238	56	59	140	158									
9	Число недействительных избирательных бюллетеней	207	11	7	11	12	10	5	3	6	3	8	2	6	3	3	4	9	8	14	7	15	4	3	13	1	8	20	1	1	2	3	0	0	0	4									
10	Число действительных избирательных бюллетеней	12835	525	607	459	602	696	709	258	625	524	492	155	350	166	51	348	188	385	681	423	544	520	427	592	158	638	317	194	246	118	312	102	88	170	165									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	570	25	25	25	25	25	30	10	25	25	25	5	20	5	5	15	5	20	25	25	25	25	20	25	5	30	15	10	10	5	15	5	5	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	156	5	8	2	3	9	7	3	12	3	9	1	4	4	0	1	5	4	10	17	4	19	2	2	0	1	2	6	4	0	3	5	0	0	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	59	6	2	4	3	3	6	6	2	2	1	0	0	2	1	1	1	0	1	3	1	2	0	3	1	0	2	0	2	1	1	0	1	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	414	20	17	23	22	16	23	7	13	22	16	4	16	1	5	14	0	16	15	8	21	6	18	23	5	29	13	4	6	5	12	0	5	5	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	42	2	2	3	0	4	2	1	1	8	6	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	5	0	0	0	0	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	109	7	4	10	4	8	11	5	3	3	5	2	3	0	1	6	0	2	6	4	4	5	1	4	0	2	2	0	0	1	2	1	0	1	2									
		0.84%	1.31%	0.65%	2.13%	0.65%	1.13%	1.54%	1.92%	0.48%	0.57%	1.00%	1.27%	0.84%	0.00%	1.85%	1.70%	0.00%	0.51%	0.86%	0.93%	0.72%	0.95%	0.23%	0.66%	0.00%	0.31%	0.59%	0.00%	0.00%	0.83%	0.63%	0.98%	0.00%	0.59%	1.18%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	416	9	23	23	19	20	21	9	23	22	14	14	14	5	3	7	10	8	26	16	12	15	15	17	1	9	16	9	15	1	10	1	0	4	5									
		3.19%	1.68%	3.75%	4.89%	3.09%	2.83%	2.94%	3.45%	3.65%	4.17%	2.80%	8.92%	3.93%	2.96%	5.56%	1.99%	5.08%	2.04%	3.74%	3.72%	2.15%	2.86%	3.49%	2.81%	0.63%	1.39%	4.75%	4.62%	6.07%	0.83%	3.17%	0.98%	0.00%	2.35%	2.96%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	209	13	11	7	7	5	8	8	14	15	9	5	1	4	0	2	1	7	15	6	7	10	3	15	0	10	9	5	1	0	5	0	1	4	1									
