Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																										
Дата голосования: 18.09.2016																																																										
																																																										
Наименование Избирательной комиссии:    Аскинская																																																										
																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																										
																																																										
		Сумма	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №3459									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	16266	1174	804	267	1224	529	1178	212	81	137	227	211	199	175	238	149	203	315	488	233	165	341	391	244	236	90	405	325	339	644	137	46	402	313	310	274	257	254	393	408	336	176	445	248	203	204	344	292									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17383	1370	818	290	1370	580	1255	220	90	140	240	230	195	170	245	160	215	325	500	240	180	370	420	255	255	100	420	330	370	680	150	50	470	310	325	290	280	260	410	440	350	180	470	260	220	220	360	305									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12338	839	513	160	874	466	863	162	63	86	152	148	159	165	224	100	146	206	451	216	119	224	294	167	216	80	376	290	259	473	119	42	259	288	285	240	207	194	264	216	283	134	320	138	133	186	264	275									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	830	40	52	13	15	2	54	20	12	21	12	8	7	0	0	24	16	20	12	6	17	24	32	12	9	3	6	13	16	63	4	2	44	0	0	0	22	19	42	34	19	7	30	24	17	11	22	4									
6	Число погашенных избирательных бюллетеней	4215	491	253	117	481	112	338	38	15	33	76	74	29	5	21	36	53	99	37	18	44	122	94	76	30	17	38	27	95	144	27	6	167	22	40	50	51	47	104	190	48	39	120	98	70	23	74	26									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	830	40	52	13	15	2	54	20	12	21	12	8	7	0	0	24	16	20	12	6	17	24	32	12	9	3	6	13	16	63	4	2	44	0	0	0	22	19	42	34	19	7	30	24	17	11	22	4									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12338	839	513	160	874	466	863	162	63	86	152	148	159	165	224	100	146	206	451	216	119	224	294	167	216	80	376	290	259	473	119	42	259	288	285	240	207	194	264	216	283	134	320	138	133	186	264	275									
9	Число недействительных избирательных бюллетеней	154	16	0	4	27	0	13	5	0	0	5	0	0	2	0	3	1	0	4	2	2	1	0	1	0	0	2	5	0	2	1	1	4	5	4	3	9	2	15	3	4	1	6	0	1	0	0	0									
10	Число действительных избирательных бюллетеней	13014	863	565	169	862	468	904	177	75	107	159	156	166	163	224	121	161	226	459	220	134	247	326	178	225	83	380	298	275	534	122	43	299	283	281	237	220	211	291	247	298	140	344	162	149	197	286	279									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	794	41	30	30	27	50	81	10	5	5	10	20	10	5	5	15	10	10	10	10	10	25	20	10	15	10	15	1	33	30	10	2	20	10	15	20	20	5	20	30	5	5	20	10	20	15	10	4									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	794	41	30	30	27	50	81	10	5	5	10	20	10	5	5	15	10	10	10	10	10	25	20	10	15	10	15	1	33	30	10	2	20	10	15	20	20	5	20	30	5	5	20	10	20	15	10	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	77	7	0	2	0	3	3	5	1	1	1	0	0	2	0	2	0	4	0	2	0	2	1	1	0	1	0	0	1	3	0	1	1	16	2	0	3	0	3	0	3	1	1	0	0	0	2	2									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	206	50	52	1	7	4	18	1	1	0	1	0	0	0	0	0	0	0	3	0	0	4	2	0	1	0	0	0	0	1	2	0	48	1	0	1	1	0	0	0	0	0	0	0	0	0	0	7									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	241	24	3	2	16	4	22	2	3	1	3	2	0	2	2	0	0	78	0	0	0	2	0	1	3	0	5	1	4	9	0	1	5	2	1	0	0	4	5	8	8	0	5	2	3	0	0	8									
