Выборы Президента Российской Федерации																																																																																																							
																																																																																																							
"Наименование Избирательной комиссии:    Воронеж, Коминтерновская"																																																																																																							
																																																																																																							
Итоги голосования 																																																																																																							
																																																																																																							
		Сумма	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096					
1	"Число избирателей, внесенных в список"	218804	1997	1129	2337	2384	2207	2278	2410	2425	1432	1869	2687	1922	2714	2864	2817	2620	2166	2194	2565	2410	2508	2307	2281	2733	2915	1858	1763	2098	1084	2071	2218	2100	2792	2608	2822	1832	1837	1936	1546	1431	1483	1537	2007	1361	1733	2246	2657	2330	2793	1986	2160	2185	2534	3011	2496	1979	2216	2307	1478	1682	2249	1875	1561	2035	2125	2224	2875	2693	2495	2548	2573	2635	2890	2760	2851	2735	2709	2516	2671	2459	2699	2591	2666	2575	2890	2224	2318	2597	2302	2174	2827	2553	1782	2454	2206	2119					
2	Число полученных избирательных бюллетеней	149500	1300	700	1600	1600	1500	1600	1600	1600	1000	1300	1800	1300	1800	2000	2000	1800	1500	1500	1700	1600	1700	1600	1600	2000	2000	1300	1200	1400	700	1400	1500	1400	2000	1800	2000	1200	1200	1300	1000	1000	1000	1000	1300	1000	1200	1500	1700	1600	1800	1600	1500	1500	1700	2000	1600	1300	1500	1600	1000	1200	1500	1300	1000	1400	1400	1500	2000	1800	1700	1700	1800	1800	2200	2000	2000	2000	2000	1700	1800	1700	1800	1800	1800	1700	2000	1500	1600	1800	1600	1500	1800	1700	1300	1700	1500	1400					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	110413	944	513	1062	987	1152	1207	1164	1107	699	849	1264	943	1483	1374	1328	1168	1191	1188	1358	1283	1288	1139	1196	1207	1279	801	752	861	336	1022	1143	1083	1391	1350	1341	975	930	998	725	647	825	642	862	646	826	968	1189	1235	1601	1143	1161	1041	1367	1534	1376	1134	1265	1214	771	893	1228	968	715	1066	1103	1236	1543	1362	1379	1388	1375	1292	1536	1387	1525	1459	1465	1378	1455	1314	1327	1386	1506	1334	1491	1265	1264	1274	1161	1065	1569	1468	1005	885	964	854					
5	"Число избирательных бюллетеней, выданных вне помещения"	2162	19	10	16	39	22	18	11	19	12	83	38	24	12	6	8	7	15	7	15	7	11	14	15	39	60	37	26	41	14	49	34	24	9	34	19	11	15	12	17	45	29	49	28	40	31	42	71	18	18	17	12	25	17	4	23	17	16	17	2	20	15	22	9	18	32	21	19	12	12	35	11	22	20	7	10	22	17	18	22	17	9	25	6	9	18	9	10	6	7	11	9	6	99	100	44	23					
6	Число погашенных избирательных бюллетеней	36925	337	177	522	574	326	375	425	474	289	368	498	333	305	620	664	625	294	305	327	310	401	447	389	754	661	462	422	498	350	329	323	293	600	416	640	214	255	290	258	308	146	309	410	314	343	490	440	347	181	440	327	434	316	462	201	149	219	369	227	287	257	310	276	316	265	243	438	426	309	277	414	486	644	606	465	519	518	304	323	369	464	389	288	357	491	226	326	520	432	424	222	226	196	715	492	523					
7	Число избирательных бюллетеней в переносных ящиках	2162	19	10	16	39	22	18	11	19	12	83	38	24	12	6	8	7	15	7	15	7	11	14	15	39	60	37	26	41	14	49	34	24	9	34	19	11	15	12	17	45	29	49	28	40	31	42	71	18	18	17	12	25	17	4	23	17	16	17	2	20	15	22	9	18	32	21	19	12	12	35	11	22	20	7	10	22	17	18	22	17	9	25	6	9	18	9	10	6	7	11	9	6	99	100	44	23					
8	Число бюллетеней в стационарных ящиках для голосования	110324	942	513	1062	987	1152	1207	1164	1107	699	849	1260	943	1483	1374	1328	1168	1191	1188	1357	1281	1288	1137	1195	1205	1273	801	752	861	336	1022	1142	1080	1391	1318	1341	974	928	998	725	647	822	642	861	646	826	968	1189	1234	1601	1143	1161	1041	1367	1534	1376	1133	1265	1214	770	893	1228	968	715	1066	1102	1236	1541	1362	1377	1386	1374	1292	1536	1387	1524	1459	1465	1377	1455	1314	1318	1386	1506	1334	1491	1263	1262	1274	1161	1065	1569	1468	1005	885	964	854					
9	Число недействительных избирательных бюллетеней	657	7	1	0	8	3	4	5	13	4	5	3	6	5	8	11	4	8	7	5	4	6	4	7	5	5	10	12	5	0	6	11	7	1	9	8	5	1	5	9	1	4	0	3	5	6	3	2	4	9	4	5	10	11	3	3	4	9	9	7	4	15	4	14	0	7	8	9	6	7	2	9	4	5	6	5	14	10	3	10	3	5	6	5	3	3	3	3	8	5	1	12	8	99	3	10	9					
10	Число действительных избирательных бюллетеней	111829	954	522	1078	1018	1171	1221	1170	1113	707	927	1295	961	1490	1372	1325	1171	1198	1188	1367	1284	1293	1147	1203	1239	1328	828	766	897	350	1065	1165	1097	1399	1343	1352	980	942	1005	733	691	847	691	886	681	851	1007	1258	1248	1610	1156	1168	1056	1373	1535	1396	1146	1272	1222	765	909	1228	986	710	1084	1127	1249	1551	1368	1382	1419	1376	1310	1551	1388	1529	1467	1472	1392	1467	1328	1322	1405	1507	1340	1506	1269	1269	1272	1163	1075	1566	1466	1005	982	998	868					
