Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																									
Дата голосования: 18.09.2016																																									
																																									
Наименование Избирательной комиссии:    Чаинская																																									
																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																									
																																									
		Сумма	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9631	208	366	90	116	246	488	319	388	65	98	400	274	428	570	290	242	137	115	145	189	158	271	69	159	736	487	562	573	778	664									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9300	200	360	90	110	240	480	300	360	60	90	400	270	400	570	290	240	130	110	140	180	160	270	70	160	700	470	570	580	700	600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3901	62	131	28	41	88	207	133	143	26	39	144	157	166	222	105	146	55	48	62	50	57	67	27	63	343	233	204	226	331	297									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	353	3	6	0	1	7	18	25	5	0	6	14	15	30	6	32	11	7	11	3	6	7	19	0	7	16	19	23	12	22	22									
6	Число погашенных избирательных бюллетеней	5046	135	223	62	68	145	255	142	212	34	45	242	98	204	342	153	83	68	51	75	124	96	184	43	90	341	218	343	342	347	281									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	353	3	6	0	1	7	18	25	5	0	6	14	15	30	6	32	11	7	11	3	6	7	19	0	7	16	19	23	12	22	22									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3901	62	131	28	41	88	207	133	143	26	39	144	157	166	222	105	146	55	48	62	50	57	67	27	63	343	233	204	226	331	297									
9	Число недействительных избирательных бюллетеней	119	2	4	1	1	2	5	2	0	0	1	3	3	5	9	2	2	2	3	1	5	3	1	0	0	7	9	8	9	15	14									
10	Число действительных избирательных бюллетеней	4135	63	133	27	41	93	220	156	148	26	44	155	169	191	219	135	155	60	56	64	51	61	85	27	70	352	243	219	229	338	305									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	300	5	10	5	5	5	10	10	15	5	10	15	10	15	15	15	10	10	5	5	5	5	5	5	10	15	15	15	15	15	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	74	0	0	0	0	0	1	0	1	1	0	3	0	2	3	4	0	1	0	5	0	1	1	0	10	3	5	8	15	5	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	35	0	3	0	1	0	0	0	0	1	1	2	2	1	1	4	2	1	1	1	0	0	1	0	0	0	4	2	1	6	0									
14	Число погашенных неиспользованных открепительных удостоверений	226	5	10	5	5	5	9	10	14	4	10	12	10	13	12	11	10	9	5	0	5	4	4	5	0	12	10	7	0	10	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	22	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	1	1	0	0	0	0	0	0	0	0	2	3	1	4	6									
