Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
Наименование Избирательной комиссии:    Холм-Жирковская																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	8457	1038	1065	1094	273	184	602	190	1658	258	200	276	210	226	242	212	225	504									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8335	950	1049	1008	273	186	614	190	1667	281	198	289	216	228	242	211	225	508									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3870	397	372	543	212	92	226	113	716	146	115	183	111	74	141	104	150	175									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	848	33	53	31	16	25	71	33	101	38	64	54	19	69	55	47	33	106									
6	Число погашенных избирательных бюллетеней	3617	520	624	434	45	69	317	44	850	97	19	52	86	85	46	60	42	227									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	848	33	53	31	16	25	71	33	101	38	64	54	19	69	55	47	33	106									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3870	397	372	543	212	92	226	113	716	146	115	183	111	74	141	104	150	175									
9	Число недействительных избирательных бюллетеней	58	8	2	16	4	2	3	0	7	3	1	0	4	0	1	2	0	5									
10	Число действительных избирательных бюллетеней	4660	422	423	558	224	115	294	146	810	181	178	237	126	143	195	149	183	276									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	187	12	10	10	10	10	10	10	10	25	10	10	10	10	10	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	78	12	3	5	1	2	6	0	4	22	1	9	5	1	4	0	0	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	35	0	4	6	2	1	0	1	6	2	4	0	1	0	4	1	1	2									
