Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																										
Дата голосования: 04.12.2011																										
																										
Наименование Избирательной комиссии:    Санчурская																										
																										
Сводная таблица результатов выборов																										
																										
		Сумма	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012					
1	"Число избирателей, внесенных в список избирателей"	8726	1135	1361	688	790	639	213	312	139	558	150	213	183	628	144	302	277	197	582	215					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9079	1170	1416	729	807	656	217	318	145	587	158	235	192	663	157	294	295	222	599	219					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	4223	507	704	417	368	319	99	174	59	239	59	100	107	254	65	174	155	99	219	105					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1306	123	111	46	99	86	32	39	26	92	26	35	24	188	51	47	50	52	157	22					
6	Число погашенных избирательных бюллетеней	3550	540	601	266	340	251	86	105	60	256	73	100	61	221	41	73	90	71	223	92					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1306	123	111	46	99	86	32	39	26	92	26	35	24	188	51	47	50	52	157	22					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4223	507	704	417	368	319	99	174	59	239	59	100	107	254	65	174	155	99	219	105					
9	Число недействительных избирательных бюллетеней	65	9	14	10	2	4	2	3	0	2	0	0	4	3	0	2	4	0	5	1					
10	Число действительных избирательных бюллетеней	5464	621	801	453	465	401	129	210	85	329	85	135	127	439	116	219	201	151	371	126					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	450	40	40	30	30	30	10	20	10	30	10	20	10	50	10	20	20	20	30	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	237	25	23	29	8	10	1	1	6	14	7	20	10	35	0	13	15	17	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	75	8	16	7	8	4	3	0	2	1	1	2	3	7	2	4	1	2	3	1					
14	Число погашенных неиспользованных открепительных удостоверений	213	15	17	1	22	20	9	19	4	16	3	0	0	15	10	7	5	3	27	20					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	1	2	5	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																										
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1183	132	206	93	132	92	22	27	38	90	16	33	18	52	29	59	40	34	39	31					
		21.40%	20.95%	25.28%	20.09%	28.27%	22.72%	16.79%	12.68%	44.71%	27.19%	18.82%	24.44%	13.74%	11.76%	25.00%	26.70%	19.51%	22.52%	10.37%	24.41%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	899	111	105	64	110	83	25	31	11	45	7	17	21	50	14	43	29	28	89	16					
		16.26%	17.62%	12.88%	13.82%	23.55%	20.49%	19.08%	14.55%	12.94%	13.60%	8.24%	12.59%	16.03%	11.31%	12.07%	19.46%	14.15%	18.54%	23.67%	12.60%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	54	8	5	9	2	5	2	2	2	1	0	0	2	5	1	2	2	5	1	0					
		0.98%	1.27%	0.61%	1.94%	0.43%	1.23%	1.53%	0.94%	2.35%	0.30%	0.00%	0.00%	1.53%	1.13%	0.86%	0.90%	0.98%	3.31%	0.27%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	842	104	149	102	64	60	11	15	8	58	7	14	15	90	10	28	15	32	47	13					
		15.23%	16.51%	18.28%	22.03%	13.70%	14.81%	8.40%	7.04%	9.41%	17.52%	8.24%	10.37%	11.45%	20.36%	8.62%	12.67%	7.32%	21.19%	12.50%	10.24%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	48	6	9	1	4	6	0	2	0	1	1	2	0	3	1	5	0	0	2	5					
		0.87%	0.95%	1.10%	0.22%	0.86%	1.48%	0.00%	0.94%	0.00%	0.30%	1.18%	1.48%	0.00%	0.68%	0.86%	2.26%	0.00%	0.00%	0.53%	3.94%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2413	257	319	184	151	154	69	133	25	132	54	68	71	239	60	82	115	50	191	59					
		43.64%	40.79%	39.14%	39.74%	32.33%	38.02%	52.67%	62.44%	29.41%	39.88%	63.53%	50.37%	54.20%	54.07%	51.72%	37.10%	56.10%	33.11%	50.80%	46.46%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	25	3	8	0	2	1	0	0	1	2	0	1	0	0	1	0	0	2	2	2					
		0.45%	0.48%	0.98%	0.00%	0.43%	0.25%	0.00%	0.00%	1.18%	0.60%	0.00%	0.74%	0.00%	0.00%	0.86%	0.00%	0.00%	1.32%	0.53%	1.57%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
