Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																													
Дата голосования: 07.12.2003 0:00:00																																													
																																													
Наименование Избирательной комиссии:    Кузоватовская																																													
																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																													
																																													
		Сумма	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК  264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282					
1	"Число избирателей, внесенных в списки"	21216	434	95	450	417	481	282	171	397	542	153	867	206	1197	562	883	631	85	240	96	95	369	1084	1052	630	390	92	89	78	214	396	113	193	511	84	758	1819	2487	2573					
2	"Число бюллетеней, полученных участковыми комиссиями"	19730	400	98	415	385	450	260	172	370	500	151	800	200	1100	520	815	580	87	225	97	98	345	1000	970	585	365	93	91	80	200	365	112	190	465	84	695	1690	2280	2397					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	12864	260	81	271	285	272	179	105	287	319	111	556	166	609	375	502	399	65	167	72	67	257	821	586	350	260	72	69	78	181	296	82	143	385	73	458	960	1245	1400					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	954	19	0	26	30	50	21	16	7	22	10	52	8	89	17	37	39	14	27	14	5	24	38	18	33	11	0	0	0	6	15	0	8	52	5	80	35	87	39					
6	Число погашенных бюллетеней	5912	121	17	118	70	128	60	51	76	159	30	192	26	402	128	276	142	8	31	11	26	64	141	366	202	94	21	22	2	13	54	30	39	28	6	157	695	948	958					
7	Число бюллетеней в переносных ящиках для голосования	954	19	0	26	30	50	21	16	7	22	10	52	8	89	17	37	39	14	27	14	5	24	38	18	33	11	0	0	0	6	15	0	8	52	5	80	35	87	39					
8	Число бюллетеней в стационарных ящиках для голосования	12863	260	81	271	285	272	179	105	287	319	111	556	166	609	375	502	399	65	167	72	67	257	821	586	350	260	72	69	78	181	296	82	143	385	73	458	960	1245	1399					
9	Число недействительных бюллетеней	402	21	2	7	26	2	14	0	3	19	3	3	0	46	12	36	4	0	4	1	3	14	15	45	19	8	1	5	0	0	8	0	4	1	0	4	22	11	39					
10	Число действительных бюллетеней	13415	258	79	290	289	320	186	121	291	322	118	605	174	652	380	503	434	79	190	85	69	267	844	559	364	263	71	64	78	187	303	82	147	436	78	534	973	1321	1399					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	510	10	5	10	10	10	10	5	10	15	5	20	5	30	15	20	15	5	5	5	5	10	25	25	15	10	5	5	5	5	10	5	5	10	5	20	35	50	50					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	75	0	0	2	3	0	0	0	1	0	0	0	0	4	2	0	0	0	2	0	1	1	2	1	4	8	1	0	0	0	1	0	0	0	0	1	7	12	22					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	34	0	0	0	1	0	0	0	0	1	0	1	0	2	0	0	6	0	0	0	0	1	0	0	6	1	0	0	0	0	2	0	0	0	2	4	1	4	2					
14	Число погашенных открепительных удостоверений	435	10	5	8	7	10	10	5	9	15	5	20	5	26	13	20	15	5	3	5	4	9	23	24	11	2	4	5	5	5	9	5	5	10	5	19	28	38	28					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																													
18	"1. ""ЕДИНЕНИЕ"""	167	5	4	3	3	4	1	0	2	2	3	8	1	12	5	3	8	1	5	0	2	4	12	9	6	0	2	1	2	0	1	0	2	5	0	12	20	6	13					
		1.20%	1.79%	4.93%	1.01%	0.95%	1.24%	0.5%	0.0%	0.68%	0.58%	2.47%	1.31%	0.57%	1.71%	1.27%	0.55%	1.82%	1.26%	2.57%	0.0%	2.77%	1.42%	1.39%	1.49%	1.56%	0.0%	2.77%	1.44%	2.56%	0.0%	0.32%	0.0%	1.32%	1.14%	0.0%	2.23%	2.01%	0.45%	0.90%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	61	2	0	0	0	7	0	0	2	3	0	3	1	3	0	2	1	0	0	0	0	0	4	2	1	2	1	0	3	3	2	0	1	2	0	1	10	2	3					
		0.44%	0.71%	0.0%	0.0%	0.0%	2.17%	0.0%	0.0%	0.68%	0.87%	0.0%	0.49%	0.57%	0.42%	0.0%	0.37%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.46%	0.33%	0.26%	0.73%	1.38%	0.0%	3.84%	1.60%	0.64%	0.0%	0.66%	0.45%	0.0%	0.18%	1.00%	0.15%	0.20%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	210	5	1	7	3	11	4	3	0	0	3	2	3	16	2	6	11	0	2	1	0	8	22	4	3	1	3	0	2	2	1	1	3	1	0	3	18	31	27					
		1.51%	1.79%	1.23%	2.35%	0.95%	3.41%	2.0%	2.47%	0.0%	0.0%	2.47%	0.32%	1.72%	2.29%	0.51%	1.11%	2.51%	0.0%	1.03%	1.16%	0.0%	2.84%	2.56%	0.66%	0.78%	0.36%	4.16%	0.0%	2.56%	1.06%	0.32%	1.21%	1.98%	0.22%	0.0%	0.55%	1.80%	2.32%	1.87%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	138	4	0	4	1	1	0	0	2	2	2	2	0	9	2	7	9	0	0	0	0	3	2	8	6	1	0	0	1	0	2	0	2	1	2	5	12	26	22					
		0.99%	1.43%	0.0%	1.34%	0.31%	0.31%	0.0%	0.0%	0.68%	0.58%	1.65%	0.32%	0.0%	1.28%	0.51%	1.29%	2.05%	0.0%	0.0%	0.0%	0.0%	1.06%	0.23%	1.32%	1.56%	0.36%	0.0%	0.0%	1.28%	0.0%	0.64%	0.0%	1.32%	0.22%	2.56%	0.92%	1.20%	1.95%	1.52%					
22	"5. ""За Русь Святую"""	77	0	0	1	0	2	0	1	1	3	0	0	0	7	2	2	4	0	2	0	0	3	2	4	0	0	0	0	0	0	1	7	0	2	0	3	9	12	9					
