Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																				
Дата голосования: 02.12.2007																				
																				
Наименование Избирательной комиссии:    Илимпийская																				
																				
Сводная таблица результатов выборов																				
																				
		Сумма	УИК №2233	УИК №2234	УИК №2235	УИК №2236	УИК №2237	УИК №2238	УИК №2239	УИК №2240	УИК №2241	УИК №2242	УИК №2243	УИК №2244	УИК №2245					
1	"Число избирателей, внесенных в списки избирателей"	5613	1206	686	788	1381	366	369	112	141	114	70	147	61	172					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	5427	1164	562	759	1293	366	367	145	173	135	76	147	68	172					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	3410	706	335	432	738	196	305	111	130	84	65	121	54	133					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	160	28	52	33	14	4	3	1	4	1	3	6	0	11					
6	Число погашенных избирательных бюллетеней	1857	430	175	294	541	166	59	33	39	50	8	20	14	28					
7	Число избирательных бюллетеней в переносных ящиках для голосования	160	28	52	33	14	4	3	1	4	1	3	6	0	11					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3409	706	335	432	738	196	305	111	130	83	65	121	54	133					
9	Число недействительных избирательных бюллетеней	38	4	5	10	8	1	2	2	3	3	0	0	0	0					
10	Число действительных избирательных бюллетеней	3531	730	382	455	744	199	306	110	131	81	68	127	54	144					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	393	53	30	30	60	20	40	20	20	20	20	20	20	40					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	86	7	5	20	14	6	1	8	11	7	4	0	0	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	42	8	6	4	8	2	1	2	4	3	0	2	0	2					
14	Число погашенных неиспользованных открепительных удостоверений	307	46	25	10	46	14	39	12	9	13	16	20	20	37					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	2	0	0	4	0	0	0	0	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																				
18	1.Политическая партия «Аграрная партия России»	52	9	6	6	13	5	3	0	0	4	0	1	0	5					
		1.46%	1.23%	1.55%	1.29%	1.73%	2.50%	0.97%	0.00%	0.00%	4.76%	0.00%	0.79%	0.00%	3.47%					
19	2.Всероссийская политическая партия «Гражданская Сила»	21	5	3	2	7	0	0	1	0	1	0	0	0	2					
		0.59%	0.68%	0.78%	0.43%	0.93%	0.00%	0.00%	0.89%	0.00%	1.19%	0.00%	0.00%	0.00%	1.39%					
20	3.Политическая партия «Демократическая партия России»	6	1	1	1	0	0	1	0	0	0	0	0	0	2					
		0.17%	0.14%	0.26%	0.22%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.39%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	188	35	17	24	45	18	24	1	5	5	1	9	0	4					
		5.27%	4.77%	4.39%	5.16%	5.98%	9.00%	7.79%	0.89%	3.73%	5.95%	1.47%	7.09%	0.00%	2.78%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	22	11	1	2	6	1	0	0	0	1	0	0	0	0					
		0.62%	1.50%	0.26%	0.43%	0.80%	0.50%	0.00%	0.00%	0.00%	1.19%	0.00%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	2	1	0	1	0	0	0	0	0	0	0	0	0	0					
		0.06%	0.14%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	284	73	33	38	59	24	6	10	9	5	7	1	1	18					
		7.96%	9.95%	8.53%	8.17%	7.85%	12.00%	1.95%	8.93%	6.72%	5.95%	10.29%	0.79%	1.85%	12.50%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	192	36	21	36	53	9	13	2	5	4	2	2	2	7					
		5.38%	4.90%	5.43%	7.74%	7.05%	4.50%	4.22%	1.79%	3.73%	4.76%	2.94%	1.57%	3.70%	4.86%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	33	11	3	4	9	2	3	0	0	0	1	0	0	0					
		0.92%	1.50%	0.78%	0.86%	1.20%	1.00%	0.97%	0.00%	0.00%	0.00%	1.47%	0.00%	0.00%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	2711	542	294	337	546	140	256	96	112	60	57	114	51	106					
		75.96%	73.84%	75.97%	72.47%	72.61%	70.00%	83.12%	85.71%	83.58%	71.43%	83.82%	89.76%	94.44%	73.61%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	20	6	3	4	6	0	0	0	0	1	0	0	0	0					
		0.56%	0.82%	0.78%	0.86%	0.80%	0.00%	0.00%	0.00%	0.00%	1.19%	0.00%	0.00%	0.00%	0.00%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
