Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																		
Дата голосования: 04.12.2011																																																																																		
																																																																																		
"Наименование Избирательной комиссии:    Тюмень, Центральная"																																																																																		
																																																																																		
Сводная таблица результатов выборов																																																																																		
																																																																																		
		Сумма	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977					
1	"Число избирателей, внесенных в список избирателей"	125788	1811	2097	2190	2201	1834	1640	1991	1135	2127	1606	1582	1643	1502	1072	1364	2009	2031	1818	1110	1409	849	1485	2390	1568	1559	1837	1687	1353	1805	2260	1232	2171	1452	1404	1159	1050	1122	1594	2008	2467	1922	2396	2166	2266	1989	2578	2560	1698	2123	1688	1411	1032	1793	2263	561	1419	1890	1649	1519	1751	1836	1913	1885	1385	1571	893	1522	1767	1844	1551	1957	1232	1604	1301	229					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	123935	1793	2093	2188	2182	1804	1625	1942	1556	2071	1566	1570	1588	1464	1000	1337	1984	1970	1774	1030	1365	845	1453	2360	1537	1517	1824	1579	1315	1758	2208	1205	2147	1428	1398	1138	1016	1091	1564	1802	2461	1889	2320	2137	2253	1960	2561	2490	1682	2107	1677	1393	1009	1774	2150	508	1349	1876	1715	1487	1758	1812	1907	1909	1366	1539	848	1498	1745	1821	1532	1913	1313	1573	1266	250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	87888	1350	1424	1497	1624	1207	1039	1446	1114	1336	1016	1085	1124	1007	670	857	1391	1290	1000	694	929	655	970	1638	1113	1208	1186	1278	1016	1306	1550	922	1531	1102	877	707	672	626	979	1480	1817	1307	1676	1609	1633	1299	1880	1827	1233	1417	1306	1076	620	1285	1634	455	1077	1390	1280	1086	1262	1338	1329	1276	954	1204	638	1159	1252	1285	1081	1347	896	1141	890	13					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1213	19	16	18	21	8	15	11	21	19	7	14	14	11	9	4	14	3	20	6	18	22	10	12	17	8	8	5	12	19	28	9	8	9	11	15	4	9	8	14	13	11	9	21	21	5	24	18	14	6	10	12	4	18	31	5	10	18	23	13	8	18	16	10	3	6	16	25	15	7	27	26	15	16	7	216					
6	Число погашенных избирательных бюллетеней	34834	424	653	673	537	589	571	485	421	716	543	471	450	446	321	476	579	677	754	330	418	168	473	710	407	301	630	296	287	433	630	274	608	317	510	416	340	456	577	308	631	571	635	507	599	656	657	645	435	684	361	305	385	471	485	48	262	468	412	388	488	456	562	623	409	329	194	314	478	529	424	540	402	416	369	21					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1213	19	16	18	21	8	15	11	21	19	7	14	14	11	9	4	14	3	20	6	18	22	10	12	17	8	8	5	12	19	28	9	8	9	11	15	4	9	8	14	13	11	9	21	21	5	24	18	14	6	10	12	4	18	31	5	10	18	23	13	8	18	16	10	3	6	16	25	15	7	27	26	15	16	7	216					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	87667	1349	1424	1497	1622	1207	1039	1446	1048	1334	1016	1085	1124	1007	670	857	1391	1290	1000	694	929	655	970	1638	1113	1201	1186	1265	1016	1306	1550	921	1530	1102	877	707	672	626	979	1480	1817	1307	1672	1609	1632	1295	1880	1817	1219	1416	1306	1076	620	1285	1626	454	1077	1385	1280	1085	1259	1320	1313	1266	954	1204	638	1159	1249	1285	1054	1347	896	1141	888	13					
9	Число недействительных избирательных бюллетеней	1706	22	38	18	25	29	25	23	52	25	22	23	11	25	11	13	20	36	14	27	18	14	45	45	16	16	19	27	13	16	34	18	34	33	27	17	5	12	19	39	27	32	41	32	26	21	47	58	20	22	21	20	9	17	11	13	23	23	33	25	15	18	21	12	15	12	15	19	20	25	20	24	13	16	12	2					
10	Число действительных избирательных бюллетеней	87174	1346	1402	1497	1618	1186	1029	1434	1017	1328	1001	1076	1127	993	668	848	1385	1257	1006	673	929	663	935	1605	1114	1193	1175	1243	1015	1309	1544	912	1504	1078	861	705	671	623	968	1455	1803	1286	1640	1598	1627	1279	1857	1777	1213	1400	1295	1068	615	1286	1646	446	1064	1380	1270	1073	1252	1320	1308	1264	942	1198	639	1165	1244	1267	1061	1349	898	1141	883	227					
