Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																										
Дата голосования: 18.09.2016																																																																										
																																																																										
"Наименование Избирательной комиссии:    Иркутск, Иркутская городская N 2"																																																																										
																																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																																										
																																																																										
		Сумма	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №1907	УИК №1917									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	109045	492	1398	1171	1147	1826	471	1699	2113	1697	2193	1201	1543	1947	2063	2229	2075	2035	1934	1879	1779	1902	1935	2095	2449	1845	2127	1918	1467	2067	1566	1472	2144	2261	1001	1353	2203	2242	1835	1553	1602	1454	2605	1655	2133	1597	1854	2204	1986	2360	1968	1582	1515	1659	2340	2517	1062	1477	1674	1224	2403	1258	498	91									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	106750	300	1400	1150	1100	1800	400	1650	2100	1700	2150	1150	1500	1900	2050	2200	2050	2000	1900	1800	1700	1900	1900	2050	2350	1800	2100	1900	1450	2000	1550	1450	2100	2200	1000	1250	2150	2250	1700	1550	1600	1450	2550	1650	2100	1550	1850	2150	1950	2300	1900	1550	1500	1650	2350	2500	1050	1450	1650	1150	2400	1200	400	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	34349	66	260	653	215	554	166	487	644	556	750	396	616	641	645	693	722	680	561	523	453	590	660	689	699	548	707	545	479	515	470	448	659	680	325	351	727	800	470	637	531	558	948	540	737	499	639	792	595	671	572	591	480	565	719	801	301	514	566	381	613	268	97	91									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	730	92	2	4	2	16	0	1	4	7	17	11	4	16	5	6	20	4	7	10	1	7	9	10	8	8	15	15	12	3	13	7	14	23	9	3	8	3	8	13	9	6	10	16	17	3	17	14	33	2	21	6	10	12	14	4	6	3	7	5	4	4	90	0									
6	Число погашенных избирательных бюллетеней	71671	142	1138	493	883	1230	234	1162	1452	1137	1383	743	880	1243	1400	1501	1308	1316	1332	1267	1246	1303	1231	1351	1643	1244	1378	1340	959	1482	1067	995	1427	1497	666	896	1415	1447	1222	900	1060	886	1592	1094	1346	1048	1194	1344	1322	1627	1307	953	1010	1073	1617	1695	743	933	1077	764	1783	928	213	109									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	730	92	2	4	2	16	0	1	4	7	17	11	4	16	5	6	20	4	7	10	1	7	9	10	8	8	15	15	12	3	13	7	14	23	9	3	8	3	8	13	9	6	10	16	17	3	17	14	33	2	21	6	10	12	14	4	6	3	7	5	4	4	90	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	33729	66	260	217	215	554	166	487	644	556	733	396	616	641	645	693	722	680	561	523	452	590	512	689	699	548	707	545	479	515	470	448	659	680	325	351	727	800	470	637	531	558	948	540	737	499	639	792	594	671	572	591	480	553	719	797	301	513	566	381	613	268	97	91									
9	Число недействительных избирательных бюллетеней	621	4	3	3	6	12	3	6	12	17	17	10	6	17	7	14	7	9	14	14	7	13	12	15	5	11	17	5	7	17	17	12	9	14	6	3	6	14	4	15	10	14	12	12	7	12	15	8	17	4	13	9	12	16	16	11	4	4	6	8	10	5	4	2									
10	Число действительных избирательных бюллетеней	33838	154	259	218	211	558	163	482	636	546	733	397	614	640	643	685	735	675	554	519	446	584	509	684	702	545	705	555	484	501	466	443	664	689	328	351	729	789	474	635	530	550	946	544	747	490	641	798	610	669	580	588	478	549	717	790	303	512	567	378	607	267	183	89									
