Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																					
Дата голосования: 18.09.2016																																																					
																																																					
Наименование Избирательной комиссии:    Прокопьевская																																																					
																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																					
																																																					
		Сумма	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	22276	1077	570	110	447	137	333	844	318	136	800	498	141	430	161	845	174	1197	580	833	384	189	603	456	238	428	1158	259	325	216	1153	204	294	905	441	375	747	695	927	1271	107	1201	69									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22500	1050	565	120	470	130	340	865	334	132	810	490	135	425	150	840	182	1210	570	865	385	190	615	450	245	440	1115	250	315	215	1135	210	285	925	478	380	770	740	996	1283	105	1220	70									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	18968	975	496	96	390	123	278	677	235	131	686	435	118	357	142	726	152	995	536	650	346	163	554	405	158	359	1017	200	304	199	1067	174	242	802	250	339	482	499	840	1154	94	1064	58									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2318	62	49	7	25	5	29	133	69	1	76	29	17	40	4	46	14	144	10	139	22	20	24	28	69	52	88	40	8	9	29	25	40	75	176	26	230	196	87	77	5	86	7									
6	Число погашенных избирательных бюллетеней	1214	13	20	17	55	2	33	55	30	0	48	26	0	28	4	68	16	71	24	76	17	7	37	17	18	29	10	10	3	7	39	11	3	48	52	15	58	45	69	52	6	70	5									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2318	62	49	7	25	5	29	133	69	1	76	29	17	40	4	46	14	144	10	139	22	20	24	28	69	52	88	40	8	9	29	25	40	75	176	26	230	196	87	77	5	86	7									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	18968	975	496	96	390	123	278	677	235	131	686	435	118	357	142	726	152	995	536	650	346	163	554	405	158	359	1017	200	304	199	1067	174	242	802	250	339	482	499	840	1154	94	1064	58									
9	Число недействительных избирательных бюллетеней	72	3	6	0	1	0	0	0	5	0	0	0	0	0	0	1	0	0	7	1	0	0	2	1	2	2	16	1	1	0	5	1	2	0	0	0	5	5	0	2	0	3	0									
10	Число действительных избирательных бюллетеней	21214	1034	539	103	414	128	307	810	299	132	762	464	135	397	146	771	166	1139	539	788	368	183	576	432	225	409	1089	239	311	208	1091	198	280	877	426	365	707	690	927	1229	99	1147	65									
