Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																														
Дата голосования: 02.12.2007																																														
																																														
Наименование Избирательной комиссии:    Пушкинская N20																																														
																																														
Сводная таблица результатов выборов																																														
																																														
		Сумма	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575					
1	"Число избирателей, внесенных в списки избирателей"	87952	2429	2789	2664	2368	2212	2039	2759	2754	2499	2864	2899	2894	2484	2316	2061	2381	2522	2119	1652	878	1961	2268	2800	2521	2752	1763	1960	3129	2366	1753	254	2589	2749	2330	2168	1241	2964	1297	1504					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	78050	2200	2500	2500	2100	2000	1800	2500	2600	2300	2600	2500	2700	2300	2100	1800	2100	2200	2000	1300	700	1800	2000	2500	2300	2300	1500	1800	2600	2100	1500	250	2300	2500	2100	2000	1000	2600	1000	1100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	48344	1290	1516	1446	1232	1187	1203	1503	1623	1392	1533	1540	1826	1443	1216	1071	1257	1461	1196	905	588	1432	1263	1674	1397	1455	861	1087	1586	1298	889	164	1285	1392	1374	1315	611	1408	608	817					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1768	35	55	44	30	37	67	80	33	48	42	75	38	59	70	46	50	41	54	43	51	19	14	72	32	105	40	23	48	34	97	25	64	19	24	28	29	47	43	7					
6	Число погашенных избирательных бюллетеней	27938	875	929	1010	838	776	530	917	944	860	1025	885	836	798	814	683	793	698	750	352	61	349	723	754	871	740	599	690	966	768	514	61	951	1089	702	657	360	1145	349	276					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1768	35	55	44	30	37	67	80	33	48	42	75	38	59	70	46	50	41	54	43	51	19	14	72	32	105	40	23	48	34	97	25	64	19	24	28	29	47	43	7					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	48228	1288	1514	1446	1230	1181	1200	1500	1623	1389	1533	1540	1826	1441	1183	1069	1257	1460	1196	905	587	1423	1260	1671	1390	1454	861	1085	1586	1294	889	164	1285	1388	1374	1295	611	1405	608	817					
9	Число недействительных избирательных бюллетеней	443	13	12	14	7	10	13	11	11	20	10	14	14	10	8	8	19	8	5	11	12	27	21	21	8	21	7	8	14	10	4	13	10	11	8	8	5	7	5	5					
10	Число действительных избирательных бюллетеней	49553	1310	1557	1476	1253	1208	1254	1569	1645	1417	1565	1601	1850	1490	1245	1107	1288	1493	1245	937	626	1415	1253	1722	1414	1538	894	1100	1620	1318	982	176	1339	1396	1390	1315	635	1445	646	819					
