Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																									
Дата голосования: 18.09.2016																																																									
																																																									
Наименование Избирательной комиссии:    Яшкинская																																																									
																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																									
																																																									
		Сумма	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	21064	621	697	622	708	687	317	654	252	328	649	140	222	66	775	379	306	64	1156	506	95	310	119	872	48	154	549	147	984	121	181	764	60	876	429	383	383	407	131	694	574	618	653	685	757	348	573									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	21250	687	721	615	723	717	314	661	247	335	657	132	229	62	751	388	305	64	1171	482	90	310	118	857	47	152	556	141	997	127	178	755	72	885	421	392	383	414	128	692	580	625	665	700	772	354	578									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	17264	528	595	504	537	493	240	374	200	219	583	115	199	62	687	322	281	60	924	426	80	235	108	814	38	141	440	92	875	111	156	663	58	730	362	289	315	384	93	556	489	511	510	565	599	264	437									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1737	13	15	30	74	113	44	200	24	65	28	9	8	0	36	33	8	3	131	52	9	54	4	0	7	0	74	8	67	10	8	49	0	79	19	48	37	12	24	52	26	24	53	24	58	43	62									
6	Число погашенных избирательных бюллетеней	2249	146	111	81	112	111	30	87	23	51	46	8	22	0	28	33	16	1	116	4	1	21	6	43	2	11	42	41	55	6	14	43	14	76	40	55	31	18	11	84	65	90	102	111	115	47	79									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1737	13	15	30	74	113	44	200	24	65	28	9	8	0	36	33	8	3	131	52	9	54	4	0	7	0	74	8	67	10	8	49	0	79	19	48	37	12	24	52	26	24	53	24	58	43	62									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	17264	528	595	504	537	493	240	374	200	219	583	115	199	62	687	322	281	60	924	426	80	235	108	814	38	141	440	92	875	111	156	663	58	730	362	289	315	384	93	556	489	511	510	565	599	264	437									
9	Число недействительных избирательных бюллетеней	25	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	2	0	0	1	0	1	1	0	0	1	0	1	1	1	1	1	1	1	0									
10	Число действительных избирательных бюллетеней	18976	540	609	533	610	605	283	573	223	283	611	124	207	62	723	355	289	63	1053	478	89	289	112	814	45	141	513	100	940	121	164	711	58	808	380	337	352	395	117	607	514	534	562	588	656	306	499									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	527	18	19	16	19	19	8	17	6	19	17	0	6	0	19	10	8	0	30	13	0	8	0	22	0	0	14	0	26	0	0	20	0	23	11	10	10	11	0	18	15	16	17	18	20	9	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	491	18	19	16	19	19	8	17	6	19	17	0	6	0	19	10	8	0	30	2	0	8	0	2	0	0	14	0	26	0	0	20	0	23	6	10	10	11	0	18	15	16	17	18	20	9	15									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	117	7	10	0	4	1	0	2	5	4	7	3	0	3	2	4	1	1	7	2	1	1	1	0	0	0	4	1	0	2	1	3	0	4	5	1	4	1	2	3	7	4	1	0	0	3	5									
14	Число погашенных неиспользованных открепительных удостоверений	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	20	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																									
