Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																							
Дата голосования: 18.09.2016																																																							
																																																							
"Наименование Избирательной комиссии:    Барнаул, Железнодорожная"																																																							
																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																							
																																																							
		Сумма	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №1902									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	79031	2028	1838	1591	2195	1954	710	1843	1012	1355	1512	741	1075	999	2128	1418	1433	1896	2705	2526	1779	2319	1901	2648	1906	1870	2056	1938	1860	1880	1402	1640	2424	2296	1896	1894	1623	1792	1877	2693	2494	2106	2013	1657	108									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	59300	1500	1300	1200	1600	1600	500	1400	700	1000	1100	600	800	900	1500	1000	1100	1400	2100	1900	1300	1800	1400	2000	1400	1400	1600	1400	1400	1400	1100	1200	1800	1700	1400	1500	1200	1400	1400	2000	1800	1500	1500	1300	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	30347	567	914	697	1082	954	345	918	483	675	694	355	541	454	850	538	470	799	826	1006	684	1050	550	749	540	666	672	690	721	559	435	628	947	944	653	765	646	707	754	932	786	770	536	705	90									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1009	22	20	6	14	28	15	15	26	16	19	17	11	9	27	10	23	21	5	14	16	27	33	20	11	15	20	21	17	29	11	20	30	30	68	16	31	80	20	28	37	28	32	41	10									
6	Число погашенных избирательных бюллетеней	27944	911	366	497	504	618	140	467	191	309	387	228	248	437	623	452	607	580	1269	880	600	723	817	1231	849	719	908	689	662	812	654	552	823	726	679	719	523	613	626	1040	977	702	932	554	100									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1009	22	20	6	14	28	15	15	26	16	19	17	11	9	27	10	23	21	5	14	16	27	33	20	11	15	20	21	17	29	11	20	30	30	68	16	31	80	20	28	37	28	32	41	10									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	30255	558	914	697	1081	952	345	918	483	667	694	353	541	454	823	537	470	799	826	1006	683	1050	550	749	538	666	672	690	721	559	435	627	946	944	652	764	646	672	754	932	786	770	536	705	90									
9	Число недействительных избирательных бюллетеней	776	15	19	8	21	16	6	25	11	16	19	3	10	16	14	10	15	22	24	20	24	22	13	15	17	13	14	14	13	13	13	30	41	22	16	22	25	14	32	41	29	21	10	11	1									
10	Число действительных избирательных бюллетеней	30488	565	915	695	1074	964	354	908	498	667	694	367	542	447	836	537	478	798	807	1000	675	1055	570	754	532	668	678	697	725	575	433	617	935	952	704	758	652	738	742	919	794	777	558	735	99									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1596	41	45	38	45	40	15	35	15	30	32	15	20	20	40	30	30	40	55	50	35	45	40	55	40	40	40	40	40	40	30	30	50	45	35	35	30	35	40	55	50	40	40	30	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1017	31	26	35	35	35	14	29	10	23	31	15	16	18	30	20	12	13	33	18	25	32	12	24	31	25	25	36	32	32	11	12	23	23	14	30	17	23	22	33	26	26	17	22	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1769	48	92	54	40	45	57	54	79	22	22	36	78	0	33	31	7	29	57	68	33	44	6	32	13	13	26	13	13	46	45	26	24	108	18	45	85	37	45	25	16	131	22	35	16									
14	Число погашенных неиспользованных открепительных удостоверений	579	10	19	3	10	5	1	6	5	7	1	0	4	2	10	10	18	27	22	32	10	13	28	31	9	15	15	4	8	8	19	18	27	22	21	5	13	12	18	22	24	14	23	8	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	104	5	5	3	0	4	2	4	2	2	4	1	2	0	7	4	0	7	2	4	2	2	1	2	5	3	1	2	1	0	1	0	4	0	1	0	1	4	3	6	3	2	1	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	451	11	13	18	17	19	0	17	8	15	9	6	3	8	17	14	9	8	4	21	10	15	11	13	10	12	8	9	7	9	6	6	11	15	8	9	8	13	12	11	6	6	2	13	4									
		1.44%	1.90%	1.39%	2.56%	1.55%	1.94%	0.00%	1.82%	1.57%	2.20%	1.26%	1.62%	0.54%	1.73%	2.00%	2.56%	1.83%	0.98%	0.48%	2.06%	1.43%	1.39%	1.89%	1.69%	1.82%	1.76%	1.16%	1.27%	0.95%	1.53%	1.35%	0.93%	1.13%	1.54%	1.11%	1.15%	1.18%	1.73%	1.55%	1.15%	0.73%	0.75%	0.35%	1.74%	4.00%									
