Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																								
Дата голосования: 18.09.2016																																																								
																																																								
Наименование Избирательной комиссии:    Муромцевская																																																								
																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																								
																																																								
		Сумма	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	19229	842	286	504	405	179	226	618	344	147	257	76	282	904	171	466	181	75	41	492	143	442	342	34	140	516	171	52	144	184	71	65	301	84	100	301	86	1990	1788	1051	1200	459	1356	1373	173	167									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19239	853	286	494	400	172	225	623	351	150	262	77	287	902	166	466	184	76	43	511	157	442	344	35	142	524	170	56	142	188	72	66	304	87	98	300	87	1928	1804	1046	1207	459	1358	1355	172	168									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7583	311	135	177	163	71	94	315	177	95	130	36	94	292	88	188	76	48	33	189	85	180	126	33	41	220	102	43	74	102	40	35	141	38	61	101	34	814	661	336	393	171	475	445	57	63									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	759	61	31	30	9	0	6	36	20	4	12	8	41	42	16	23	20	6	0	50	7	21	7	0	13	13	0	0	0	9	2	5	29	7	8	29	0	23	27	18	18	8	10	90	0	0									
6	Число погашенных избирательных бюллетеней	10897	481	120	287	228	101	125	272	154	51	120	33	152	568	62	255	88	22	10	272	65	241	211	2	88	291	68	13	68	77	30	26	134	42	29	170	53	1091	1116	692	796	280	873	820	115	105									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	759	61	31	30	9	0	6	36	20	4	12	8	41	42	16	23	20	6	0	50	7	21	7	0	13	13	0	0	0	9	2	5	29	7	8	29	0	23	27	18	18	8	10	90	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7568	311	135	177	163	71	94	315	177	95	130	36	94	292	88	188	76	48	33	189	85	180	126	33	41	220	102	43	74	102	40	35	141	38	61	101	34	814	661	336	393	171	475	430	57	63									
9	Число недействительных избирательных бюллетеней	227	6	6	9	6	2	2	0	5	1	4	3	1	8	2	7	2	2	1	1	2	6	7	0	0	5	0	0	0	1	0	2	10	0	0	4	0	27	20	20	13	8	8	25	1	0									
10	Число действительных избирательных бюллетеней	8100	366	160	198	166	69	98	351	192	98	138	41	134	326	102	204	94	52	32	238	90	195	126	33	54	228	102	43	74	110	42	38	160	45	69	126	34	810	668	334	398	171	477	495	56	63									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	243	7	4	7	4	3	3	7	10	4	5	4	7	7	4	7	4	2	2	7	4	5	4	1	2	7	2	2	2	5	2	2	5	2	2	5	2	15	25	10	10	7	10	10	2	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	84	2	0	1	0	0	1	2	5	1	0	0	0	0	0	2	2	0	0	1	0	1	3	0	0	2	0	0	0	0	0	0	1	0	1	0	0	13	19	2	7	5	9	4	0	0									
