Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																										
Дата голосования: 07.12.2003 0:00:00																																										
																																										
Наименование Избирательной комиссии:    Чамзинская																																										
																																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																										
																																										
		Сумма	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768					
1	"Число избирателей, внесенных в списки"	25750	1921	1496	1479	1220	1348	541	1645	1668	1424	1244	1416	1018	1073	1429	825	743	197	769	386	151	253	60	192	553	94	70	354	96	145	379	71	371	69	704	346					
2	"Число бюллетеней, полученных участковыми комиссиями"	26200	1983	1500	1493	1239	1414	541	1490	1688	1440	1257	1467	1038	1104	1436	837	760	207	757	404	162	263	70	205	560	105	73	362	109	153	415	86	386	77	753	366					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	22346	1760	1381	1415	1118	1167	469	1112	1620	1286	1117	1025	948	1001	1185	709	594	170	598	338	139	210	55	157	482	92	70	309	84	145	295	68	317	57	554	299					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1438	15	8	45	30	71	37	195	34	42	7	18	7	3	47	51	109	27	134	43	12	38	5	35	53	0	0	29	12	0	75	3	51	8	150	44					
6	Число погашенных бюллетеней	2416	208	111	33	91	176	35	183	34	112	133	424	83	100	204	77	57	10	25	23	11	15	10	13	25	13	3	24	13	8	45	15	18	12	49	23					
7	Число бюллетеней в переносных ящиках для голосования	1438	15	8	45	30	71	37	195	34	42	7	18	7	3	47	51	109	27	134	43	12	38	5	35	53	0	0	29	12	0	75	3	51	8	150	44					
8	Число бюллетеней в стационарных ящиках для голосования	22306	1760	1381	1415	1118	1166	469	1130	1620	1244	1117	1025	946	1001	1185	709	581	170	598	338	139	210	55	157	482	92	70	309	84	145	295	68	317	57	554	299					
9	Число недействительных бюллетеней	393	9	25	15	6	4	2	43	1	16	5	10	9	12	0	0	112	0	0	0	0	0	0	37	3	7	1	7	0	12	2	7	2	6	25	15					
10	Число действительных бюллетеней	23351	1766	1364	1445	1142	1233	504	1282	1653	1270	1119	1033	944	992	1232	760	578	197	732	381	151	248	60	155	532	85	69	331	96	133	368	64	366	59	679	328					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	450	30	23	23	19	20	5	28	25	25	27	27	25	25	28	12	12	4	12	5	4	4	2	5	8	3	3	7	2	2	7	2	7	2	12	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	226	23	9	9	2	17	5	17	9	17	14	16	13	15	21	1	5	0	9	2	1	0	0	3	3	1	1	1	0	0	1	0	3	0	7	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	58	3	0	6	1	1	2	5	0	1	1	0	2	8	1	2	1	0	0	3	1	0	0	1	0	0	4	2	1	1	2	2	3	0	2	2					
14	Число погашенных открепительных удостоверений	224	7	14	14	17	3	0	11	16	8	13	11	12	10	7	11	7	4	3	3	3	4	2	2	5	2	2	6	2	2	6	2	4	2	5	4					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																										
18	"1. ""ЕДИНЕНИЕ"""	153	3	16	19	0	27	7	26	5	0	25	0	0	10	4	7	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1					
		0.64%	0.16%	1.15%	1.30%	0.0%	2.18%	1.38%	1.96%	0.30%	0.0%	2.22%	0.0%	0.0%	0.99%	0.32%	0.92%	0.0%	0.0%	0.0%	0.52%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.29%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	317	6	38	14	5	19	21	36	15	26	66	16	9	17	9	5	5	1	0	4	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	2					
		1.33%	0.33%	2.73%	0.95%	0.43%	1.53%	4.15%	2.71%	0.90%	2.02%	5.87%	1.53%	0.94%	1.69%	0.73%	0.65%	0.72%	0.50%	0.0%	1.04%	0.0%	0.40%	0.0%	0.0%	0.0%	0.0%	0.0%	0.59%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.58%					
