Выборы Президента Российской Федерации																																																																																						
																																																																																						
Наименование Избирательной комиссии:    Омская																																																																																						
																																																																																						
Итоги голосования 																																																																																						
																																																																																						
		Сумма	УИК  838	УИК  839	УИК  840	УИК  841	УИК  842	УИК  843	УИК  844	УИК  845	УИК  846	УИК  847	УИК  848	УИК  849	УИК  850	УИК  851	УИК  852	УИК  853	УИК  854	УИК  855	УИК  856	УИК  857	УИК  858	УИК  859	УИК  860	УИК  861	УИК  862	УИК  863	УИК  864	УИК  865	УИК  866	УИК  867	УИК  868	УИК  869	УИК  870	УИК  871	УИК  872	УИК  873	УИК  874	УИК  875	УИК  876	УИК  877	УИК  878	УИК  879	УИК  880	УИК  881	УИК  882	УИК  883	УИК  884	УИК  885	УИК  886	УИК  887	УИК  888	УИК  889	УИК  890	УИК  891	УИК  892	УИК  893	УИК  894	УИК  895	УИК  896	УИК  897	УИК  898	УИК  899	УИК  900	УИК  901	УИК  902	УИК  903	УИК  904	УИК  905	УИК  906	УИК  907	УИК  908	УИК  909	УИК  910	УИК  911	УИК  912	УИК  913	УИК  914	УИК  915	УИК  916					
1	"Число избирателей, внесенных в список"	70496	1048	170	205	226	1137	733	1148	164	1442	1419	1434	1926	833	328	656	1220	268	2528	1648	148	1091	174	1410	1128	272	1876	192	356	182	2112	917	348	2478	829	225	179	255	1970	1825	2099	1795	951	772	696	1345	367	1965	1929	699	615	1408	337	357	1498	1459	1011	1328	239	1461	1734	375	1078	209	225	1191	140	142	274	141	201	127	1594	443	137	1162	348	933	275	936					
2	Число полученных избирательных бюллетеней	68482	1000	164	196	225	1100	730	1100	155	1400	1400	1400	1900	820	320	650	1100	262	2500	1600	152	1000	180	1400	1100	275	1800	182	340	178	2100	960	348	2400	800	220	190	240	1900	1800	2000	1700	950	765	690	1300	360	1900	1900	665	596	1300	330	355	1500	1400	1000	1300	235	1400	1700	370	1000	215	217	1100	137	135	275	146	200	127	1500	442	135	1100	345	870	345	890					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	45342	678	130	158	183	714	321	671	104	946	942	881	1056	476	199	428	782	183	2130	1113	122	830	127	999	521	205	905	151	258	143	1241	496	184	1466	627	198	145	235	1363	1112	1412	1156	565	423	377	816	220	1090	1363	553	505	787	204	189	985	945	689	842	153	802	1091	180	758	139	185	775	101	107	187	109	147	99	979	279	102	864	257	618	263	603					
5	"Число избирательных бюллетеней, выданных вне помещения"	3225	45	0	0	1	98	132	81	30	19	25	34	58	22	0	16	103	19	74	60	0	67	12	114	55	51	193	14	17	5	74	45	43	67	27	0	19	3	47	38	29	21	19	44	20	17	22	136	51	28	12	66	70	41	33	15	37	75	42	119	100	24	36	24	0	74	12	10	26	16	12	8	85	26	5	51	17	59	12	23					
6	Число погашенных избирательных бюллетеней	19915	277	34	38	41	288	277	348	21	435	433	485	786	322	121	206	215	60	296	427	30	103	41	287	524	19	702	17	65	30	785	419	121	867	146	22	26	2	490	650	559	523	366	298	293	467	118	674	486	84	79	447	56	125	482	440	274	383	40	479	509	166	206	52	32	251	24	18	62	21	41	20	436	137	28	185	71	193	70	264					
7	Число избирательных бюллетеней в переносных ящиках	3225	45	0	0	1	98	132	81	30	19	25	34	58	22	0	16	103	19	74	60	0	67	12	114	55	51	193	14	17	5	74	45	43	67	27	0	19	3	47	38	29	21	19	44	20	17	22	136	51	28	12	66	70	41	33	15	37	75	42	119	100	24	36	24	0	74	12	10	26	16	12	8	85	26	5	51	17	59	12	23					
8	Число бюллетеней в стационарных ящиках для голосования	45342	678	130	158	183	714	321	671	104	946	942	881	1056	476	199	428	782	183	2130	1113	122	830	127	999	521	205	905	151	258	143	1241	496	184	1466	627	198	145	235	1363	1112	1412	1156	565	423	377	816	220	1090	1363	553	505	787	204	189	985	945	689	842	153	802	1091	180	758	139	185	775	101	107	187	109	147	99	979	279	102	864	257	618	263	603					
9	Число недействительных избирательных бюллетеней	602	16	0	0	2	10	5	11	0	11	9	10	18	0	2	14	11	2	33	11	3	21	4	15	8	8	6	0	3	0	12	5	6	13	6	0	1	2	18	24	36	12	6	9	7	12	1	3	28	7	4	18	6	5	17	16	6	5	0	6	4	2	12	2	3	3	0	0	2	2	4	0	15	4	1	10	7	1	2	4					
10	Число действительных избирательных бюллетеней	47965	707	130	158	182	802	448	741	134	954	958	905	1096	498	197	430	874	200	2171	1162	119	876	135	1098	568	248	1092	165	272	148	1303	536	221	1520	648	198	163	236	1392	1126	1405	1165	578	458	390	821	241	1223	1386	574	513	835	268	225	1001	944	720	912	195	915	1187	202	782	161	182	846	113	117	211	123	155	107	1049	301	106	905	267	676	273	622					
11	Число полученных открепительных  удостоверений	1087	20	10	10	5	20	10	15	5	20	20	20	25	5	5	15	15	5	25	15	5	25	5	15	15	5	15	5	5	5	25	20	5	45	15	5	5	5	25	25	25	25	15	10	10	20	5	15	27	10	5	10	5	5	20	20	10	15	10	15	20	5	15	5	5	25	10	10	15	10	15	10	20	10	5	15	5	25	20	25					
12	Число выданных открепительных удостоверений	499	2	0	0	1	5	3	8	0	17	12	10	12	4	0	7	7	0	18	11	1	9	1	15	11	3	12	2	0	0	24	6	1	39	15	1	2	0	12	8	11	2	4	2	4	18	5	15	17	5	2	10	0	0	10	14	2	7	5	2	7	1	4	0	0	5	0	1	2	0	0	0	13	2	2	10	2	15	3	18					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	504	4	1	0	1	3	4	4	2	4	7	5	4	4	1	9	7	3	20	11	0	25	0	8	7	1	13	2	1	1	12	5	5	5	10	3	6	0	14	11	12	9	6	4	4	9	6	6	9	2	5	12	2	1	8	6	2	13	8	9	12	2	1	1	7	3	1	4	5	1	0	0	6	4	2	9	0	0	35	55					
14	Число неиспользованных открепительных удостоверений	588	18	10	10	4	15	7	7	5	3	8	10	13	1	5	8	8	5	7	4	4	16	4	0	4	2	3	3	5	5	1	14	4	6	0	4	3	5	13	17	14	23	11	8	6	2	0	0	10	5	3	0	5	5	10	6	8	8	5	13	13	4	11	5	5	20	10	9	13	10	15	10	7	8	3	5	3	10	17	7					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																						
18	. Глазьев Сергей Юрьевич	1351	16	3	2	0	21	20	14	0	33	42	44	25	4	10	15	10	2	31	30	0	15	2	24	12	3	33	3	10	5	23	16	2	30	18	4	2	7	56	40	62	55	17	9	23	22	1	56	51	13	9	25	10	7	34	30	21	17	1	28	46	2	11	9	2	24	1	4	7	1	1	1	27	17	0	15	8	20	8	29					
		2.78%	2.21%	2.31%	1.27%	0.00%	2.59%	4.42%	1.86%	0.00%	3.42%	4.34%	4.81%	2.24%	0.80%	5.03%	3.38%	1.13%	0.99%	1.41%	2.56%	0.00%	1.67%	1.44%	2.16%	2.08%	1.17%	3.01%	1.82%	3.64%	3.38%	1.75%	2.96%	0.88%	1.96%	2.75%	2.02%	1.22%	2.94%	3.97%	3.48%	4.30%	4.67%	2.91%	1.93%	5.79%	2.64%	0.41%	4.57%	3.61%	2.24%	1.74%	2.93%	3.65%	3.04%	3.34%	3.12%	2.89%	1.85%	0.51%	3.04%	3.86%	0.98%	1.39%	5.52%	1.08%	2.83%	0.88%	3.42%	3.29%	0.80%	0.63%	0.93%	2.54%	5.57%	0.00%	1.64%	2.92%	2.95%	2.91%	4.63%					
19	. Малышкин Олег Александрович	1766	17	8	4	4	34	14	38	1	35	28	17	67	18	19	11	32	7	96	68	1	44	3	20	19	4	49	1	12	0	47	20	15	46	17	11	10	4	40	56	76	64	32	39	15	17	6	46	44	21	18	37	5	11	49	37	19	21	7	11	36	1	29	7	6	28	6	8	5	5	3	9	20	6	1	18	8	24	14	20					
