Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																						
Дата голосования: 18.09.2016																																						
																																						
Наименование Избирательной комиссии:    Гайнская																																						
																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																						
																																						
		Сумма	УИК №4801	УИК №4802	УИК №4803	УИК №4804	УИК №4805	УИК №4806	УИК №4807	УИК №4808	УИК №4809	УИК №4810	УИК №4811	УИК №4812	УИК №4813	УИК №4814	УИК №4815	УИК №4816	УИК №4817	УИК №4818	УИК №4819	УИК №4820	УИК №4821	УИК №4822	УИК №4823	УИК №4824	УИК №4825	УИК №4826	УИК №4827									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11503	892	853	1174	528	703	199	76	127	167	244	137	674	107	383	649	124	118	701	96	208	213	666	208	324	538	889	505									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11320	850	850	1170	520	690	200	70	130	160	250	140	680	100	370	640	120	110	690	90	210	210	650	200	310	530	880	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4153	293	324	319	172	277	50	26	55	81	114	61	295	42	129	184	51	62	232	41	60	39	241	77	155	268	303	202									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	205	24	11	2	18	9	12	4	3	3	12	6	10	8	6	1	0	0	6	3	0	4	37	4	2	6	8	6									
6	Число погашенных избирательных бюллетеней	6962	533	515	849	330	404	138	40	72	76	124	73	375	50	235	455	69	48	452	46	150	167	372	119	153	256	569	292									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	205	24	11	2	18	9	12	4	3	3	12	6	10	8	6	1	0	0	6	3	0	4	37	4	2	6	8	6									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4116	293	324	319	172	277	50	26	55	81	114	61	295	42	129	184	51	62	232	41	60	39	204	77	155	268	303	202									
9	Число недействительных избирательных бюллетеней	204	5	18	5	14	24	4	1	2	2	5	2	11	6	8	7	2	2	12	0	1	4	5	0	5	15	30	14									
10	Число действительных избирательных бюллетеней	4117	312	317	316	176	262	58	29	56	82	121	65	294	44	127	178	49	60	226	44	59	39	236	81	152	259	281	194									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	484	20	20	30	20	20	10	5	10	10	14	10	30	5	10	30	5	5	40	5	10	10	40	10	15	30	40	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	32	2	5	5	0	3	0	0	0	0	1	2	6	0	1	1	0	0	2	0	0	0	0	0	0	1	2	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	35	4	2	0	1	5	0	5	1	0	0	0	2	2	2	2	3	0	0	0	1	0	1	2	0	2	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	452	18	15	25	20	17	10	5	10	10	13	8	24	5	9	29	5	5	38	5	10	10	40	10	15	29	38	29									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	16	1	2	3	0	4	0	0	0	0	0	0	2	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0									
