Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																													
Дата голосования: 18.09.2016																																																																													
																																																																													
Наименование Избирательной комиссии:    Красноармейская																																																																													
																																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																																													
																																																																													
		Сумма	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	УИК №1946	УИК №1947	УИК №1948	УИК №1949	УИК №1950	УИК №1951	УИК №1952	УИК №1953	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1958	УИК №1959	УИК №1960	УИК №1961	УИК №1962	УИК №1963	УИК №1964	УИК №1965	УИК №1966									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	80612	1797	1694	942	1703	1525	1624	1435	991	1211	908	862	1621	1967	1117	717	895	2251	2219	1756	1873	311	708	411	338	389	618	1397	1011	826	1082	516	169	1067	1254	2193	1628	1399	965	602	1190	1194	1078	1264	1373	1089	1165	1791	2166	1885	1501	1262	1828	1083	1821	528	1000	942	234	148	687	889	2391	1275	2054	1257	1525									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	77520	1750	1600	900	1650	1500	1550	1400	950	1240	800	800	1600	1900	1050	700	850	2150	2150	1650	1750	300	700	400	300	400	600	1420	950	800	1000	500	170	1000	1200	2100	1550	1350	900	600	1200	1200	1000	1200	1300	1100	1100	1700	2000	1800	1450	1200	1800	1000	1750	500	1000	900	200	150	600	900	2300	1290	2000	1200	1500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	41818	516	529	338	952	825	859	478	551	576	465	448	775	1104	498	160	550	1509	1271	1044	1064	173	370	229	185	202	339	789	522	461	575	259	89	601	520	1151	806	704	467	269	460	742	637	430	731	530	689	986	1181	1107	804	714	968	554	1017	273	513	534	112	75	339	505	1286	754	1100	699	855									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	6586	134	107	59	98	153	161	138	97	120	110	113	116	177	114	61	89	157	128	103	157	30	72	10	15	35	32	74	166	59	66	49	15	69	134	98	135	134	103	63	233	72	110	67	146	81	69	64	134	64	150	102	137	96	149	60	74	59	24	11	66	90	239	102	210	108	118									
6	Число погашенных избирательных бюллетеней	29116	1100	964	503	600	522	530	784	302	544	225	239	709	619	438	479	211	484	751	503	529	97	258	161	100	163	229	557	262	280	359	192	66	330	546	851	609	512	330	268	507	386	253	703	423	489	342	650	685	629	496	384	695	350	584	167	413	307	64	64	195	305	775	434	690	393	527									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	6586	134	107	59	98	153	161	138	97	120	110	113	116	177	114	61	89	157	128	103	157	30	72	10	15	35	32	74	166	59	66	49	15	69	134	98	135	134	103	63	233	72	110	67	146	81	69	64	134	64	150	102	137	96	149	60	74	59	24	11	66	90	239	102	210	108	118									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	41818	516	529	338	952	825	859	478	551	576	465	448	775	1104	498	160	550	1509	1271	1044	1064	173	370	229	185	202	339	789	522	461	575	259	89	601	520	1151	806	704	467	269	460	742	637	430	731	530	689	986	1181	1107	804	714	968	554	1017	273	513	534	112	75	339	505	1286	754	1100	699	855									
9	Число недействительных избирательных бюллетеней	513	5	4	3	10	2	8	3	2	6	2	2	14	10	8	4	0	168	17	12	20	0	8	4	2	0	6	11	6	8	0	3	0	3	15	14	7	8	8	0	2	2	0	13	9	0	2	6	13	9	0	4	6	7	0	2	5	3	0	2	4	6	0	11	0	0	4									
10	Число действительных избирательных бюллетеней	47891	645	632	394	1040	976	1012	613	646	690	573	559	877	1271	604	217	639	1498	1382	1135	1201	203	434	235	198	237	365	852	682	512	641	305	104	667	639	1235	934	830	562	332	691	812	747	484	868	611	756	1044	1302	1162	954	812	1099	643	1166	331	582	590	136	84	401	589	1525	845	1310	807	969									
