Выборы Президента Российской Федерации																																																																
																																																																
Наименование Избирательной комиссии:    Спасская																																																																
																																																																
Итоги голосования 																																																																
																																																																
		Сумма	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957					
1	"Число избирателей, внесенных в список"	27241	155	229	102	507	114	473	472	276	105	430	241	267	203	414	481	904	1061	569	742	346	572	305	983	540	424	543	418	222	637	90	221	293	379	437	92	116	117	667	189	402	326	173	569	631	332	110	378	919	262	453	1052	747	1258	1236	756	1030	1271					
2	Число полученных избирательных бюллетеней	27020	155	228	102	507	106	476	472	272	104	419	242	266	198	411	477	912	1064	568	736	344	565	297	971	534	413	548	421	221	640	86	217	294	379	440	91	119	115	681	185	397	309	165	567	629	333	111	366	924	261	455	1024	740	1258	1237	745	984	1239					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15269	81	141	59	297	58	235	255	152	59	223	138	119	106	251	235	440	605	319	404	212	327	151	655	317	242	321	210	107	411	50	132	170	203	217	39	55	64	350	113	213	181	73	227	306	150	48	230	439	123	184	631	430	854	763	432	664	798					
5	"Число избирательных бюллетеней, выданных вне помещения"	2637	46	32	6	44	25	27	35	39	30	40	46	40	32	23	126	102	77	9	76	31	68	31	32	33	25	37	65	67	32	8	25	9	44	44	30	23	23	144	8	56	60	55	85	28	51	25	54	126	66	94	49	23	38	40	52	70	31					
6	Число погашенных избирательных бюллетеней	9114	28	55	37	166	23	214	182	81	15	156	58	107	60	137	116	370	382	240	256	101	170	115	284	184	146	190	146	47	197	28	60	115	132	179	22	41	28	187	64	128	68	37	255	295	132	38	82	359	72	177	344	287	366	434	261	250	410					
7	Число избирательных бюллетеней в переносных ящиках	2637	46	32	6	44	25	27	35	39	30	40	46	40	32	23	126	102	77	9	76	31	68	31	32	33	25	37	65	67	32	8	25	9	44	44	30	23	23	144	8	56	60	55	85	28	51	25	54	126	66	94	49	23	38	40	52	70	31					
8	Число бюллетеней в стационарных ящиках для голосования	15264	81	141	59	297	58	235	255	152	59	223	138	119	106	251	235	440	605	319	404	212	327	151	654	317	242	321	210	107	411	50	132	170	203	217	39	55	64	350	113	213	181	73	227	306	150	48	230	435	123	184	631	430	854	763	432	664	798					
9	Число недействительных избирательных бюллетеней	214	1	0	0	1	0	2	6	3	0	0	4	0	2	3	6	8	8	4	3	1	7	4	7	3	2	8	5	3	9	5	1	4	6	4	2	0	1	2	2	11	3	2	7	3	2	2	4	4	6	6	3	6	8	2	8	6	4					
10	Число действительных избирательных бюллетеней	17687	126	173	65	340	83	260	284	188	89	263	180	159	136	271	355	534	674	324	477	242	388	178	679	347	265	350	270	171	434	53	156	175	241	257	67	78	86	492	119	258	238	126	305	331	199	71	280	557	183	272	677	447	884	801	476	728	825					
11	Число полученных открепительных  удостоверений	650	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	15	20	10	15	10	10	10	10	10	10	10	10	10	10	5	10	10	10	10	5	10	10	10	10	10	10	10	10	10	10	10	10	15	10	10	20	15	25	20	15	15	25					
12	Число выданных открепительных удостоверений	113	0	1	0	1	0	1	0	1	0	0	1	2	1	0	0	4	4	2	1	0	1	0	7	2	1	1	4	2	1	0	0	2	2	1	0	1	0	5	0	0	0	0	0	2	1	0	0	2	0	0	3	8	13	9	11	9	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	271	2	4	2	1	10	2	6	3	3	6	3	2	7	3	3	2	4	4	10	1	8	3	5	5	5	4	3	5	5	5	4	2	5	4	2	2	4	2	6	4	14	7	2	2	3	0	7	4	11	5	13	2	9	2	13	13	3					
14	Число неиспользованных открепительных удостоверений	537	10	9	10	9	10	9	10	9	10	10	9	8	9	10	10	11	16	8	14	10	9	10	3	8	9	9	6	8	9	5	10	8	8	9	5	9	10	5	10	10	10	10	10	8	9	10	10	13	10	10	17	7	12	11	4	6	19					
15	"Число открепительных удостоверений, выданных в ТИК"	9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																
18	. Глазьев Сергей Юрьевич	480	0	3	2	1	3	11	4	7	1	3	5	1	4	6	6	8	20	9	18	7	7	8	34	22	19	9	15	3	16	2	4	2	3	3	2	6	1	8	3	6	9	4	6	2	3	2	3	6	1	8	16	14	33	19	17	15	30					
		2.68%	0.00%	1.73%	3.08%	0.29%	3.61%	4.20%	1.38%	3.66%	1.12%	1.14%	2.72%	0.63%	2.90%	2.19%	1.66%	1.48%	2.93%	2.74%	3.75%	2.88%	1.77%	4.40%	4.96%	6.29%	7.12%	2.51%	5.45%	1.72%	3.61%	3.45%	2.55%	1.12%	1.21%	1.15%	2.90%	7.69%	1.15%	1.62%	2.48%	2.23%	3.73%	3.12%	1.92%	0.60%	1.49%	2.74%	1.06%	1.07%	0.53%	2.88%	2.35%	3.09%	3.70%	2.37%	3.51%	2.04%	3.62%					
19	. Малышкин Олег Александрович	261	4	1	1	6	2	6	5	7	0	6	3	0	3	1	6	7	15	4	11	1	3	3	9	4	7	3	3	2	7	0	0	2	4	3	0	1	1	7	1	1	1	3	4	14	0	2	2	11	1	1	9	8	10	15	4	6	20					
