Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																														
Дата голосования: 02.12.2007																																														
																																														
Наименование Избирательной комиссии:    Шатровская																																														
																																														
Сводная таблица результатов выборов																																														
																																														
		Сумма	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022					
1	"Число избирателей, внесенных в списки избирателей"	17365	1395	1453	1004	768	815	237	1211	223	139	218	526	129	166	591	638	79	454	160	282	490	278	1363	395	183	136	98	588	360	705	121	157	158	381	60	564	107	111	335	287					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	17185	1400	1450	1000	785	800	250	1215	220	135	215	550	130	160	600	650	80	450	150	280	495	250	1200	420	170	135	100	590	350	700	120	155	150	380	55	550	100	110	335	300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	10118	718	801	499	386	389	117	667	150	96	157	350	94	109	325	398	55	320	108	181	315	215	758	218	100	72	76	328	216	440	68	110	114	255	36	323	75	81	194	204					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1375	63	55	50	33	23	32	128	29	11	23	44	8	14	91	58	10	43	8	32	17	0	94	62	14	10	1	56	51	70	20	17	11	20	7	66	5	10	46	43					
6	Число погашенных избирательных бюллетеней	5692	619	594	451	366	388	101	420	41	28	35	156	28	37	184	194	15	87	34	67	163	35	348	140	56	53	23	206	83	190	32	28	25	105	12	161	20	19	95	53					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1375	63	55	50	33	23	32	128	29	11	23	44	8	14	91	58	10	43	8	32	17	0	94	62	14	10	1	56	51	70	20	17	11	20	7	66	5	10	46	43					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10117	718	801	499	386	389	117	667	150	96	157	350	94	109	325	398	55	320	108	181	315	215	758	218	100	72	76	327	216	440	68	110	114	255	36	323	75	81	194	204					
9	Число недействительных избирательных бюллетеней	67	3	0	5	5	4	0	5	1	1	0	2	0	0	3	0	0	2	0	2	2	0	11	2	1	0	0	2	2	1	1	1	1	4	0	2	1	0	1	2					
10	Число действительных избирательных бюллетеней	11425	778	856	544	414	408	149	790	178	106	180	392	102	123	413	456	65	361	116	211	330	215	841	278	113	82	77	381	265	509	87	126	124	271	43	387	79	91	239	245					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	308	25	20	17	13	13	3	10	5	3	10	8	3	6	21	11	6	8	5	5	8	5	15	5	3	3	3	6	5	11	5	5	5	5	3	8	3	3	8	7					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	215	23	16	15	6	10	3	6	1	0	9	8	1	4	18	9	6	8	5	1	2	5	12	1	3	0	3	5	1	11	4	0	0	5	1	5	0	1	1	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	78	7	1	2	1	4	0	2	0	2	4	0	1	1	1	1	1	2	1	0	1	1	9	1	1	1	0	3	2	4	1	1	1	6	1	3	6	1	1	3					
14	Число погашенных неиспользованных открепительных удостоверений	93	2	4	2	7	3	0	4	4	3	1	0	2	2	3	2	0	0	0	4	6	0	3	4	0	3	0	1	4	0	1	5	5	0	2	3	3	2	7	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																														
18	1.Политическая партия «Аграрная партия России»	476	27	42	17	8	12	9	22	5	10	5	13	8	8	26	15	2	5	3	4	11	4	42	12	1	5	3	27	6	22	2	8	7	30	3	17	3	8	16	8					
		4.14%	3.46%	4.91%	3.10%	1.91%	2.91%	6.04%	2.77%	2.79%	9.35%	2.78%	3.30%	7.84%	6.50%	6.25%	3.29%	3.08%	1.38%	2.59%	1.88%	3.31%	1.86%	4.93%	4.29%	0.88%	6.10%	3.90%	7.05%	2.25%	4.31%	2.27%	6.30%	5.60%	10.91%	6.98%	4.37%	3.75%	8.79%	6.67%	3.24%					
19	2.Всероссийская политическая партия «Гражданская Сила»	30	4	7	3	2	3	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	1	0	0	2	1	0	0	0	0	0	0					
