Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																									
Дата голосования: 07.12.2003 0:00:00																																																									
																																																									
Наименование Избирательной комиссии:    Белозерская																																																									
																																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																									
																																																									
		Сумма	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255					
1	"Число избирателей, внесенных в списки"	15960	266	131	1208	1138	1244	176	703	301	739	402	124	588	126	253	92	256	277	112	448	97	139	445	108	174	244	70	127	113	516	83	162	103	527	210	129	274	180	160	323	398	93	192	122	694	147	348	365	89	264	480					
2	"Число бюллетеней, полученных участковыми комиссиями"	16059	270	138	1200	1100	1200	176	690	320	700	400	137	580	134	260	99	260	280	111	440	103	145	440	110	177	240	76	124	139	500	86	162	108	530	200	135	260	187	170	325	400	99	200	128	700	155	350	360	95	360	500					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	8723	174	78	599	496	527	110	367	182	353	223	88	302	82	137	63	124	120	60	236	71	89	290	83	110	148	52	93	80	280	53	109	61	257	116	87	167	107	80	192	188	61	102	69	375	87	211	212	57	239	276					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	883	3	5	23	51	10	0	11	11	40	36	7	27	10	16	4	30	51	31	43	8	5	10	8	12	29	4	5	7	26	0	0	12	19	17	21	20	7	16	27	69	3	10	0	16	10	34	24	2	25	28					
6	Число погашенных бюллетеней	6453	93	55	578	553	663	66	312	127	307	141	42	251	42	107	32	106	109	20	161	24	51	140	19	55	63	20	26	52	194	33	53	35	254	67	27	73	73	74	106	143	35	88	59	309	58	105	124	36	96	196					
7	Число бюллетеней в переносных ящиках для голосования	883	3	5	23	51	10	0	11	11	40	36	7	27	10	16	4	30	51	31	43	8	5	10	8	12	29	4	5	7	26	0	0	12	19	17	21	20	7	16	27	69	3	10	0	16	10	34	24	2	25	28					
8	Число бюллетеней в стационарных ящиках для голосования	8721	174	78	599	496	527	110	367	182	353	223	88	302	82	137	63	124	120	60	236	71	89	290	83	110	148	52	92	80	280	53	109	61	257	116	87	167	107	80	192	188	61	102	69	374	87	211	212	57	239	276					
9	Число недействительных бюллетеней	141	2	5	6	15	7	0	7	1	3	4	0	11	2	4	1	1	6	0	1	0	0	5	2	3	6	3	1	2	1	0	0	0	2	0	1	3	0	1	3	6	0	0	2	6	0	3	7	0	2	6					
10	Число действительных бюллетеней	9463	175	78	616	532	530	110	371	192	390	255	95	318	90	149	66	153	165	91	278	79	94	295	89	119	171	53	96	85	305	53	109	73	274	133	107	184	114	95	216	251	64	112	67	384	97	242	229	59	262	298					
