Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																													
Дата голосования: 18.09.2016																																													
																																													
Наименование Избирательной комиссии:    район Нагатинский затон																																													
																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																													
																																													
		Сумма	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880	УИК №1881	УИК №1882	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №3733									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	66469	1649	2018	300	1891	997	2655	2880	2174	1993	2315	2240	1155	1442	1682	2589	2246	2043	2318	2047	2613	2343	2406	1974	1946	2535	2420	1837	2212	1607	1923	1969	1097	2918	35									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	40303	980	1200	175	1140	610	1600	1750	1300	1200	1400	1370	700	860	1000	1550	1400	1230	1400	1250	1600	1400	1450	1188	1200	1520	1450	1100	1330	1000	1200	1200	700	1800	50									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	26017	729	752	92	796	334	1195	884	831	827	969	783	395	721	718	931	1283	793	719	626	865	783	952	837	834	916	856	722	913	877	634	642	495	1278	35									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	669	18	12	7	17	6	36	31	39	24	19	72	15	11	2	17	44	27	16	17	12	13	15	14	18	16	27	9	27	18	12	33	2	23	0									
6	Число погашенных избирательных бюллетеней	13617	233	436	76	327	270	369	835	430	349	412	515	290	128	280	602	73	410	665	607	723	604	483	337	348	588	567	369	390	105	554	525	203	499	15									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	669	18	12	7	17	6	36	31	39	24	19	72	15	11	2	17	44	27	16	17	12	13	15	14	18	16	27	9	27	18	12	33	2	23	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	25942	729	752	92	796	334	1173	884	831	827	969	781	394	721	718	931	1283	793	719	604	865	783	952	833	828	916	850	722	913	877	625	639	495	1278	35									
9	Число недействительных избирательных бюллетеней	388	0	10	1	3	9	36	15	0	18	0	21	2	14	8	13	0	24	8	11	41	14	12	17	8	9	16	13	8	5	12	11	11	18	0									
10	Число действительных избирательных бюллетеней	26223	747	754	98	810	331	1173	900	870	833	988	832	407	718	712	935	1327	796	727	610	836	782	955	830	838	923	861	718	932	890	625	661	486	1283	35									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	479	10	10	10	10	10	15	20	20	10	20	25	10	10	20	16	10	10	10	10	15	10	20	18	10	20	20	10	10	10	20	20	20	20	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	327	4	2	1	9	2	13	16	12	5	10	16	7	5	11	16	10	6	7	5	11	9	16	16	8	20	16	6	6	10	17	12	11	12	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	341	19	17	12	8	17	14	7	16	10	10	10	9	9	4	20	4	3	6	1	10	15	4	12	14	9	10	16	7	4	12	22	6	4	0									
14	Число погашенных неиспользованных открепительных удостоверений	152	6	8	9	1	8	2	4	8	5	10	9	3	5	9	0	0	4	3	5	4	1	4	2	2	0	4	4	4	0	3	8	9	8	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	61	0	2	0	3	0	0	0	2	2	1	1	3	2	2	1	1	3	3	1	0	1	2	1	4	2	2	3	3	2	3	6	2	3	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	805	25	13	8	25	10	34	41	24	16	30	26	11	24	19	24	23	38	49	27	16	45	32	18	34	27	21	19	16	10	25	22	16	37	0									
		3.03%	3.35%	1.70%	8.08%	3.08%	2.94%	2.81%	4.48%	2.76%	1.88%	3.04%	3.05%	2.69%	3.28%	2.64%	2.53%	1.73%	4.63%	6.67%	4.35%	1.82%	5.65%	3.31%	2.13%	4.02%	2.90%	2.39%	2.60%	1.70%	1.12%	3.92%	3.27%	3.22%	2.84%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	386	9	8	4	13	7	12	20	12	18	8	9	8	5	14	15	7	10	18	7	17	8	9	10	9	14	12	12	7	20	19	18	1	26	0									
		1.45%	1.20%	1.05%	4.04%	1.60%	2.06%	0.99%	2.19%	1.38%	2.12%	0.81%	1.06%	1.96%	0.68%	1.94%	1.58%	0.53%	1.22%	2.45%	1.13%	1.94%	1.01%	0.93%	1.18%	1.06%	1.50%	1.37%	1.64%	0.74%	2.23%	2.98%	2.68%	0.20%	1.99%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	717	17	23	1	14	13	29	34	22	23	22	26	13	19	15	21	19	29	27	20	38	22	23	23	23	21	34	23	12	11	15	34	16	33	2									
		2.69%	2.28%	3.01%	1.01%	1.72%	3.82%	2.40%	3.72%	2.53%	2.70%	2.23%	3.05%	3.18%	2.60%	2.08%	2.22%	1.43%	3.54%	3.67%	3.22%	4.33%	2.76%	2.38%	2.72%	2.72%	2.25%	3.88%	3.15%	1.28%	1.23%	2.35%	5.06%	3.22%	2.54%	5.71%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	12562	418	380	28	427	107	630	345	455	417	549	337	153	417	363	435	919	329	226	233	421	256	485	385	407	344	328	325	591	541	215	229	242	601	24									
