Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																														
Дата голосования: 04.12.2011																														
																														
Наименование Избирательной комиссии:    Кишертская																														
																														
Сводная таблица результатов выборов																														
																														
		Сумма	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523					
1	"Число избирателей, внесенных в список избирателей"	11302	587	209	268	148	706	440	152	261	439	382	268	236	189	493	362	834	822	426	152	168	1510	817	1433					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9460	500	180	220	120	600	380	120	220	360	330	220	200	130	400	300	700	700	350	130	150	1250	700	1200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	2					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	5339	281	73	158	78	346	230	65	109	140	210	118	129	104	228	99	386	374	214	66	75	755	414	687					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	994	56	49	15	12	40	32	12	39	132	22	50	18	19	80	69	59	53	27	7	20	93	21	69					
6	Число погашенных избирательных бюллетеней	3115	163	58	46	30	214	118	43	72	88	98	52	53	7	92	132	255	273	109	57	46	402	265	442					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1005	56	49	15	12	40	32	12	39	132	22	50	18	19	80	69	59	53	27	7	29	93	21	71					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5339	281	73	158	78	346	230	65	109	140	210	118	129	104	228	99	386	374	214	66	75	755	414	687					
9	Число недействительных избирательных бюллетеней	113	3	1	4	3	12	3	1	2	3	6	4	2	2	4	4	11	7	7	1	0	13	7	13					
10	Число действительных избирательных бюллетеней	6231	334	121	169	87	374	259	76	146	269	226	164	145	121	304	164	434	420	234	72	104	835	428	745					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	197	9	4	4	2	12	11	2	5	7	6	5	5	5	10	7	15	15	7	3	3	32	15	13					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	108	8	0	1	2	12	11	1	0	2	1	0	5	5	1	0	4	2	4	1	1	25	13	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	119	8	1	2	5	5	6	2	4	11	2	3	1	37	0	3	1	2	2	0	1	13	4	6					
14	Число погашенных неиспользованных открепительных удостоверений	89	1	4	3	0	0	0	1	5	5	5	5	0	0	9	7	11	13	3	2	2	7	2	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																														
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	916	44	16	11	8	48	48	10	10	34	21	13	13	10	29	12	83	82	45	12	18	149	92	108					
		14.44%	13.06%	13.11%	6.36%	8.89%	12.44%	18.32%	12.99%	6.76%	12.50%	9.05%	7.74%	8.84%	8.13%	9.42%	7.14%	18.65%	19.20%	18.67%	16.44%	17.31%	17.57%	21.15%	14.25%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1146	58	28	3	23	64	51	23	28	37	50	15	23	24	52	31	108	65	38	15	14	160	93	143					
		18.06%	17.21%	22.95%	1.73%	25.56%	16.58%	19.47%	29.87%	18.92%	13.60%	21.55%	8.93%	15.65%	19.51%	16.88%	18.45%	24.27%	15.22%	15.77%	20.55%	13.46%	18.87%	21.38%	18.87%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	63	7	0	2	1	3	0	1	2	0	1	1	0	0	6	1	3	4	4	1	1	10	8	7					
		0.99%	2.08%	0.00%	1.16%	1.11%	0.78%	0.00%	1.30%	1.35%	0.00%	0.43%	0.60%	0.00%	0.00%	1.95%	0.60%	0.67%	0.94%	1.66%	1.37%	0.96%	1.18%	1.84%	0.92%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	980	48	19	25	6	50	29	8	18	46	39	56	51	21	37	16	38	72	25	9	16	149	68	134					
		15.45%	14.24%	15.57%	14.45%	6.67%	12.95%	11.07%	10.39%	12.16%	16.91%	16.81%	33.33%	34.69%	17.07%	12.01%	9.52%	8.54%	16.86%	10.37%	12.33%	15.38%	17.57%	15.63%	17.68%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	92	6	1	5	2	2	0	0	2	5	2	0	1	2	7	1	8	8	5	0	2	21	6	6					
		1.45%	1.78%	0.82%	2.89%	2.22%	0.52%	0.00%	0.00%	1.35%	1.84%	0.86%	0.00%	0.68%	1.63%	2.27%	0.60%	1.80%	1.87%	2.07%	0.00%	1.92%	2.48%	1.38%	0.79%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3008	170	57	123	46	206	130	33	86	147	113	79	57	64	171	103	190	189	114	35	53	340	160	342					
		47.41%	50.45%	46.72%	71.10%	51.11%	53.37%	49.62%	42.86%	58.11%	54.04%	48.71%	47.02%	38.78%	52.03%	55.52%	61.31%	42.70%	44.26%	47.30%	47.95%	50.96%	40.09%	36.78%	45.12%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	26	1	0	0	1	1	1	1	0	0	0	0	0	0	2	0	4	0	3	0	0	6	1	5					
		0.41%	0.30%	0.00%	0.00%	1.11%	0.26%	0.38%	1.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.65%	0.00%	0.90%	0.00%	1.24%	0.00%	0.00%	0.71%	0.23%	0.66%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
