Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																											
Дата голосования: 18.09.2016																																																											
																																																											
Наименование Избирательной комиссии:    Черемховская городская																																																											
																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																											
																																																											
		Сумма	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	41034	593	553	1369	966	584	1035	1118	1255	837	805	1344	1121	694	915	1091	1278	845	1112	925	683	1176	801	508	1340	701	907	986	242	627	633	736	190	1502	303	887	1081	1232	707	1664	230	256	1114	660	1583	480	343	302	720									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	39600	500	500	1300	950	550	1000	1150	1250	800	700	1250	1100	700	900	1100	1200	800	1050	900	650	1150	800	450	1300	650	800	1050	250	600	600	700	200	1550	300	800	1050	1200	700	1700	200	250	1100	650	1500	450	300	250	700									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13918	161	174	354	273	128	265	354	435	259	307	485	397	278	332	413	475	327	436	391	310	450	334	155	380	144	259	381	98	189	197	193	88	468	103	324	409	495	279	532	83	116	303	212	547	149	98	128	250									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1511	18	29	46	19	7	7	21	34	14	14	38	8	11	16	30	90	25	27	22	30	22	17	26	19	99	21	11	9	17	40	48	25	58	32	26	37	26	12	124	7	7	165	19	72	30	7	10	19									
6	Число погашенных избирательных бюллетеней	24171	321	297	900	658	415	728	775	781	527	379	727	695	411	552	657	635	448	587	487	310	678	449	269	901	407	520	658	143	394	363	459	87	1024	165	450	604	679	409	1044	110	127	632	419	881	271	195	112	431									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1511	18	29	46	19	7	7	21	34	14	14	38	8	11	16	30	90	25	27	22	30	22	17	26	19	99	21	11	9	17	40	48	25	58	32	26	37	26	12	124	7	7	165	19	72	30	7	10	19									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13916	161	174	354	273	128	265	354	435	259	307	485	397	278	332	413	475	327	435	391	310	450	334	155	380	144	259	381	98	189	197	193	88	467	103	324	409	495	279	532	83	116	303	212	547	149	98	128	250									
9	Число недействительных избирательных бюллетеней	368	4	3	11	6	5	8	11	8	6	10	11	12	2	8	6	18	10	10	11	9	13	9	2	4	2	12	10	3	9	4	5	0	17	1	8	16	7	7	22	2	4	5	3	18	2	0	5	9									
10	Число действительных избирательных бюллетеней	15059	175	200	389	286	130	264	364	461	267	311	512	393	287	340	437	547	342	452	402	331	459	342	179	395	241	268	382	104	197	233	236	113	508	134	342	430	514	284	634	88	119	463	228	601	177	105	133	260									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1260	20	20	30	15	15	20	25	20	20	30	40	20	20	20	30	40	25	30	30	25	40	30	15	20	20	20	20	30	20	20	15	20	30	20	30	50	40	30	40	20	20	80	20	30	20	20	20	25									
