Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																											
Дата голосования: 07.12.2003 0:00:00																											
																											
Наименование Избирательной комиссии:    Мценская городская																											
																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																											
																											
		Сумма	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176					
1	"Число избирателей, внесенных в списки"	38668	2263	2373	2403	1844	2329	1299	1507	1245	998	1324	1310	2680	3006	2538	2789	2292	2541	1123	2546	258					
2	"Число бюллетеней, полученных участковыми комиссиями"	37096	2200	2200	2200	1800	2200	1300	1500	1200	950	1300	1300	2500	2900	2500	2700	2200	2400	1100	2400	246					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	21291	1271	1310	1124	981	1298	721	786	631	472	712	728	1516	1679	1432	1678	1346	1434	438	1494	240					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1291	75	94	77	76	78	63	102	53	39	22	40	60	43	42	139	37	55	133	63	0					
6	Число погашенных бюллетеней	14514	854	796	999	743	824	516	612	516	439	566	532	924	1178	1026	883	817	911	529	843	6					
7	Число бюллетеней в переносных ящиках для голосования	1291	75	94	77	76	78	63	102	53	39	22	40	60	43	42	139	37	55	133	63	0					
8	Число бюллетеней в стационарных ящиках для голосования	21322	1270	1310	1123	980	1298	721	786	631	472	712	728	1568	1670	1429	1678	1346	1429	438	1493	240					
9	Число недействительных бюллетеней	204	17	5	6	13	10	8	5	9	5	4	7	52	10	9	11	7	8	3	14	1					
10	Число действительных бюллетеней	22409	1328	1399	1194	1043	1366	776	883	675	506	730	761	1576	1703	1462	1806	1376	1476	568	1542	239					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	915	50	50	50	50	50	50	50	40	40	40	40	50	50	50	50	50	50	40	65	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	530	43	37	28	25	26	21	24	12	5	18	19	32	30	34	31	28	38	18	61	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	395	13	5	9	24	3	20	4	4	4	2	6	7	12	11	14	7	16	4	8	222					
14	Число погашенных открепительных удостоверений	385	7	13	22	25	24	29	26	28	35	22	21	18	20	16	19	22	12	22	4	0					
15	Число открепительных удостоверений выданных ТИК	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0					
