Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																													
Дата голосования: 18.09.2016																																													
																																													
Наименование Избирательной комиссии:    Викуловская																																													
																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																													
																																													
		Сумма	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	12563	516	137	139	291	319	1648	1120	1288	1481	287	320	398	83	48	596	504	116	115	335	86	564	113	396	114	70	176	116	308	97	91	127	346	91	127									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13142	556	151	162	304	311	1703	1113	1343	1530	293	319	436	90	54	653	542	124	125	366	96	576	114	441	121	77	181	128	292	103	98	141	368	104	127									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7987	319	85	103	208	211	951	636	750	841	155	188	297	69	41	420	332	69	78	230	68	423	73	274	75	45	116	65	218	68	85	94	236	69	95									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	812	47	10	11	15	25	39	58	53	37	35	33	32	5	5	71	54	14	20	22	10	58	7	19	11	4	2	8	44	8	0	25	20	4	6									
6	Число погашенных избирательных бюллетеней	4343	190	56	48	81	75	713	419	540	652	103	98	107	16	8	162	156	41	27	114	18	95	34	148	35	28	63	55	30	27	13	22	112	31	26									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	812	47	10	11	15	25	39	58	53	37	35	33	32	5	5	71	54	14	20	22	10	58	7	19	11	4	2	8	44	8	0	25	20	4	6									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7986	319	85	103	208	211	951	636	750	841	154	188	297	69	41	420	332	69	78	230	68	423	73	274	75	45	116	65	218	68	85	94	236	69	95									
9	Число недействительных избирательных бюллетеней	177	17	0	0	5	2	23	22	11	4	5	7	5	0	3	10	4	6	0	5	0	0	6	4	0	2	10	3	4	3	3	0	6	3	4									
10	Число действительных избирательных бюллетеней	8621	349	95	114	218	234	967	672	792	874	184	214	324	74	43	481	382	77	98	247	78	481	74	289	86	47	108	70	258	73	82	119	250	70	97									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	838	50	20	25	20	10	130	50	50	50	10	3	20	8	5	36	35	16	10	30	6	40	20	50	15	6	5	7	20	5	6	20	30	25	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	538	28	15	19	11	10	37	41	46	38	7	3	18	6	5	36	31	7	10	13	5	6	1	36	7	6	5	7	17	5	6	11	27	15	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	183	7	3	4	6	9	20	32	9	13	6	4	0	1	3	5	3	3	3	5	1	2	2	5	3	3	4	0	10	1	2	1	4	4	5									
14	Число погашенных неиспользованных открепительных удостоверений	300	22	5	6	9	0	93	9	4	12	3	0	2	2	0	0	4	9	0	17	1	34	19	14	8	0	0	0	3	0	0	9	3	10	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	176	11	1	2	2	3	29	5	9	14	1	0	16	0	1	22	3	1	1	20	4	5	0	12	1	3	2	3	1	0	0	1	2	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	69	3	0	1	2	0	8	9	3	4	0	2	4	0	2	4	3	1	0	2	0	4	3	3	2	3	0	1	1	0	0	0	3	1	0									
		0.78%	0.82%	0.00%	0.88%	0.90%	0.00%	0.81%	1.30%	0.37%	0.46%	0.00%	0.90%	1.22%	0.00%	4.35%	0.81%	0.78%	1.20%	0.00%	0.79%	0.00%	0.83%	3.75%	1.02%	2.33%	6.12%	0.00%	1.37%	0.38%	0.00%	0.00%	0.00%	1.17%	1.37%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	291	9	5	7	6	3	29	28	26	36	2	5	5	2	2	22	13	4	0	5	0	20	4	17	1	0	7	3	8	5	3	2	9	3	0									
		3.31%	2.46%	5.26%	6.14%	2.69%	1.27%	2.93%	4.03%	3.24%	4.10%	1.06%	2.26%	1.52%	2.70%	4.35%	4.48%	3.37%	4.82%	0.00%	1.98%	0.00%	4.16%	5.00%	5.80%	1.16%	0.00%	5.93%	4.11%	3.05%	6.58%	3.53%	1.68%	3.52%	4.11%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	129	3	0	0	5	3	18	11	21	20	1	0	1	1	0	2	7	1	0	2	0	13	3	2	1	1	0	1	3	0	0	0	4	0	5									
		1.47%	0.82%	0.00%	0.00%	2.24%	1.27%	1.82%	1.59%	2.62%	2.28%	0.53%	0.00%	0.30%	1.35%	0.00%	0.41%	1.81%	1.20%	0.00%	0.79%	0.00%	2.70%	3.75%	0.68%	1.16%	2.04%	0.00%	1.37%	1.15%	0.00%	0.00%	0.00%	1.56%	0.00%	4.95%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4655	191	52	40	123	166	458	276	349	354	95	119	243	49	25	309	216	37	77	125	68	333	41	113	53	24	48	42	184	49	71	91	142	33	59									
		52.91%	52.19%	54.74%	35.09%	55.16%	70.34%	46.26%	39.77%	43.46%	40.32%	50.26%	53.85%	73.86%	66.22%	54.35%	62.93%	55.96%	44.58%	78.57%	49.60%	87.18%	69.23%	51.25%	38.57%	61.63%	48.98%	40.68%	57.53%	70.23%	64.47%	83.53%	76.47%	55.47%	45.21%	58.42%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	44	2	0	1	0	1	6	7	5	2	3	1	0	0	0	1	2	0	0	4	0	0	0	1	0	0	1	1	1	0	0	0	3	1	1									
		0.50%	0.55%	0.00%	0.88%	0.00%	0.42%	0.61%	1.01%	0.62%	0.23%	1.59%	0.45%	0.00%	0.00%	0.00%	0.20%	0.52%	0.00%	0.00%	1.59%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.85%	1.37%	0.38%	0.00%	0.00%	0.00%	1.17%	1.37%	0.99%									
