Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																															
Дата голосования: 18.09.2016																																																																															
																																																																															
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №21																																																																															
																																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																																															
																																																																															
		Сумма	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	139657	1818	2090	1960	2083	2058	2280	2056	2157	1971	2563	2354	2507	2158	2438	2310	2143	2397	1451	2610	2554	2368	2126	1999	2350	2234	2234	2276	2274	2277	2254	2130	2365	2147	2206	2446	2167	1963	2038	2059	2402	2106	2083	1960	2025	2135	2005	1869	2336	2567	2204	1155	1818	1600	1675	1581	1244	1935	1852	2030	1929	2137	2202	1865	1847	1743	2016	1212	253									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	125000	1500	2000	1500	2000	2000	2000	2000	2000	1500	2500	2000	2500	2000	2000	2000	2000	2000	1000	2500	2500	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	1500	2000	2000	2000	2000	2000	1500	2000	2000	2000	1500	2000	2500	2000	1000	1500	1500	1500	1500	1000	1500	1500	2000	1500	2000	2000	1500	1500	1500	2000	1000	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	45138	632	619	658	667	708	704	710	834	641	827	807	641	729	833	862	779	760	504	817	927	785	696	542	752	690	684	650	655	760	728	743	779	730	709	716	806	732	698	781	756	644	615	614	748	718	672	498	708	767	613	504	609	560	546	481	417	596	639	562	507	651	599	607	644	573	580	415	0									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	893	12	3	10	12	5	10	4	5	12	8	5	10	13	8	7	12	13	5	13	17	13	16	8	9	10	8	7	20	18	12	9	20	9	9	15	6	13	6	9	6	13	16	8	9	7	14	3	3	8	4	2	18	11	12	8	38	11	11	16	2	6	2	11	5	5	4	8	231									
6	Число погашенных избирательных бюллетеней	78969	856	1378	832	1321	1287	1286	1286	1161	847	1665	1188	1849	1258	1159	1131	1209	1227	491	1670	1556	1202	1288	1450	1239	1300	1308	1343	1325	1222	1260	1248	1201	1261	1282	1269	1188	755	1296	1210	1238	1343	1369	878	1243	1275	1314	999	1289	1725	1383	494	873	929	942	1011	545	893	850	1422	991	1343	1399	882	851	922	1416	577	269									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	893	12	3	10	12	5	10	4	5	12	8	5	10	13	8	7	12	13	5	13	17	13	16	8	9	10	8	7	20	18	12	9	20	9	9	15	6	13	6	9	6	13	16	8	9	7	14	3	3	8	4	2	18	11	12	8	38	11	11	16	2	6	2	11	5	5	4	8	231									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	45075	630	613	658	667	708	704	710	833	639	827	805	641	729	833	861	779	760	504	817	926	785	694	540	752	689	684	650	653	760	728	743	779	729	709	716	806	732	698	781	754	644	615	613	746	714	669	495	708	767	613	502	609	560	536	473	417	596	639	561	507	650	598	607	644	572	579	415	0									
9	Число недействительных избирательных бюллетеней	1215	9	13	21	13	27	13	9	18	9	24	27	16	15	14	34	17	16	9	41	35	28	7	14	8	12	21	25	19	20	11	25	19	9	18	22	15	29	20	14	23	18	13	23	14	27	13	11	18	22	12	38	19	15	9	15	8	33	13	20	13	20	17	14	21	18	13	14	5									
10	Число действительных избирательных бюллетеней	44753	633	603	647	666	686	701	705	820	642	811	783	635	727	827	834	774	757	500	789	908	770	703	534	753	687	671	632	654	758	729	727	780	729	700	709	797	716	684	776	737	639	618	598	741	694	670	487	693	753	605	466	608	556	539	466	447	574	637	557	496	636	583	604	628	559	570	409	226									
