Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																											
Дата голосования: 07.12.2003 0:00:00																																																											
																																																											
"Наименование Избирательной комиссии:    Нижний Тагил, Тагилстроевская"																																																											
																																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																											
																																																											
		Сумма	УИК №2239	УИК №2240	УИК №2241	УИК №2242	УИК №2243	УИК №2244	УИК №2245	УИК №2246	УИК №2247	УИК №2248	УИК №2249	УИК №2250	УИК №2251	УИК №2252	УИК №2253	УИК №2254	УИК №2255	УИК №2256	УИК №2257	УИК №2258	УИК №2259	УИК №2260	УИК №2261	УИК №2262	УИК №2263	УИК №2264	УИК №2265	УИК №2266	УИК №2267	УИК №2268	УИК №2269	УИК №2270	УИК №2271	УИК №2272	УИК №2273	УИК №2274	УИК №2275	УИК №2276	УИК №2277	УИК №2278	УИК №2279	УИК №2280	УИК №2281	УИК №2282	УИК №2283	УИК №2284	УИК №2285	УИК №2286	УИК №2287	УИК №2288	УИК №2289	УИК №2290					
1	"Число избирателей, внесенных в списки"	100255	2050	2254	1526	2007	1801	2190	2244	1781	2096	1840	1927	1425	2225	1931	1922	354	984	1683	2350	1806	848	1936	1274	1365	1512	1567	1643	1411	1713	2448	1990	2788	2587	2339	2348	2545	2081	2193	1987	2495	2589	2127	2455	2623	2470	2216	2512	2561	2321	337	316	2262					
2	"Число бюллетеней, полученных участковыми комиссиями"	99358	2015	2200	1480	1990	1775	2180	2190	1780	2080	1840	1940	1420	2225	1890	1835	330	990	1650	2320	1750	884	1920	1230	1350	1500	1550	1615	1410	1700	2420	1960	2750	2580	2310	2350	2507	2070	2180	1970	2570	2580	2100	2430	2600	2460	2220	2498	2550	2300	325	314	2275					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	43172	789	772	538	783	692	868	669	675	703	861	828	585	937	831	812	111	239	390	1054	769	413	977	661	642	688	697	724	710	742	1089	965	1241	1129	1002	973	1083	1108	1062	973	1115	1175	996	1114	1152	1065	962	1032	1143	1050	325	298	960					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1588	16	23	20	20	15	8	85	6	223	29	13	22	14	22	76	34	140	92	54	12	2	34	16	10	24	19	30	8	19	30	83	19	46	25	42	28	15	29	10	20	9	3	35	22	36	21	11	5	10	0	0	3					
6	Число погашенных бюллетеней	54598	1210	1405	922	1187	1068	1304	1436	1099	1154	950	1099	813	1274	1037	947	185	611	1168	1212	969	469	909	553	698	788	834	861	692	939	1301	912	1490	1405	1283	1335	1396	947	1089	987	1435	1396	1101	1281	1426	1359	1237	1455	1402	1240	0	16	1312					
7	Число бюллетеней в переносных ящиках для голосования	2671	16	23	20	20	15	8	85	6	223	29	13	22	14	22	76	34	140	92	54	12	2	34	16	10	24	19	30	8	19	30	83	19	1129	25	42	28	15	29	10	20	9	3	35	22	36	21	11	5	10	0	0	3					
8	Число бюллетеней в стационарных ящиках для голосования	42075	789	772	538	783	692	867	669	675	703	861	828	585	937	830	812	111	239	390	1054	769	413	974	660	642	688	697	724	710	740	1089	965	1241	46	1001	973	1083	1107	1062	973	1115	1175	996	1113	1152	1065	962	1030	1142	1050	325	298	960					
9	Число недействительных бюллетеней	770	30	33	10	18	20	25	14	17	19	20	21	9	27	22	13	4	4	14	21	13	3	10	5	11	4	23	10	19	18	18	12	11	11	22	3	16	25	13	9	13	15	17	18	12	11	14	16	14	7	22	3	11					
10	Число действительных бюллетеней	43976	775	762	548	785	687	850	740	664	907	870	820	598	924	830	875	141	375	468	1087	768	412	998	671	641	708	693	744	699	741	1101	1036	1249	1164	1004	1012	1095	1097	1078	974	1122	1169	982	1130	1162	1090	969	1025	1133	1053	303	295	952					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1297	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	10	20	20	30	20	200	20	20	20	20	20	20	20	30	20	20	30	30	20	20	30	20	20	20	30	30	20	20	20	20	20	20	20	30	0	47	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	560	1	1	3	14	8	3	3	5	9	4	10	3	10	5	5	1	1	3	9	8	192	14	7	5	6	1	6	13	11	13	9	10	7	11	8	10	14	7	10	9	6	5	14	3	10	5	8	12	16	0	0	12					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	223	2	4	9	13	10	6	5	3	4	2	2	1	5	5	5	0	3	0	7	4	4	10	12	5	5	5	3	0	4	8	3	6	8	3	9	6	0	0	0	8	6	0	8	4	2	1	2	4	3	0	0	4					
14	Число погашенных открепительных удостоверений	737	19	19	17	6	12	17	17	15	11	16	10	17	10	15	15	9	19	17	21	12	8	6	13	15	14	19	14	7	19	7	11	20	23	9	12	20	6	13	10	21	24	15	6	17	10	15	12	8	14	0	47	8					
