Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																
Дата голосования: 18.09.2016																																																
																																																
Наименование Избирательной комиссии:    Верхнеуслонская																																																
																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																
																																																
		Сумма	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1260	УИК №1261	УИК №1262	УИК №1263	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268	УИК №1269	УИК №1270	УИК №1271	УИК №1272	УИК №1273	УИК №1274	УИК №1275	УИК №1276	УИК №1277	УИК №1279	УИК №1280	УИК №1282	УИК №1284									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	14223	394	387	343	700	760	459	825	264	646	862	537	509	107	521	433	511	645	144	158	211	159	73	396	69	101	279	221	365	259	248	515	421	174	242	176	616	493									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13795	365	365	315	675	730	445	816	245	605	820	480	500	110	515	420	500	640	146	158	214	156	78	390	68	102	276	220	360	260	248	490	420	171	240	176	616	460									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11809	239	272	238	497	567	352	576	220	486	768	392	423	97	500	403	469	610	139	156	195	90	65	366	65	88	235	205	294	230	211	456	415	152	209	167	586	376									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1001	52	18	35	33	17	1	50	25	85	8	88	70	6	8	9	26	20	0	0	13	64	6	15	3	10	35	15	66	23	34	34	0	19	28	6	13	66									
6	Число погашенных избирательных бюллетеней	985	74	75	42	145	146	92	190	0	34	44	0	7	7	7	8	5	10	7	2	6	2	7	9	0	4	6	0	0	7	3	0	5	0	3	3	17	18									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1001	52	18	35	33	17	1	50	25	85	8	88	70	6	8	9	26	20	0	0	13	64	6	15	3	10	35	15	66	23	34	34	0	19	28	6	13	66									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11809	239	272	238	497	567	352	576	220	486	768	392	423	97	500	403	469	610	139	156	195	90	65	366	65	88	235	205	294	230	211	456	415	152	209	167	586	376									
9	Число недействительных избирательных бюллетеней	101	2	0	0	11	21	0	9	3	0	4	1	4	3	8	8	0	3	2	0	0	0	0	1	0	0	5	1	0	3	0	0	0	0	6	0	0	6									
10	Число действительных избирательных бюллетеней	12709	289	290	273	519	563	353	617	242	571	772	479	489	100	500	404	495	627	137	156	208	154	71	380	68	98	265	219	360	250	245	490	415	171	231	173	599	436									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	403	9	9	8	23	18	12	38	8	15	22	12	12	6	12	10	12	15	7	8	8	8	5	8	5	6	8	7	9	8	8	12	10	6	6	6	15	12									
