Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																									
Дата голосования: 18.09.2016																									
																									
Наименование Избирательной комиссии:    Заречная городская																									
																									
Сводная таблица итогов голосования по федеральному избирательному округу																									
																									
		Сумма	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	24861	2290	2717	2302	2734	2406	2405	2418	2188	2484	263	354	692	1329	279									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20000	1900	2000	2000	2000	2000	2000	2000	1700	1850	250	300	650	1100	250									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11363	1171	1270	1045	1087	1161	1157	1140	1170	1144	118	125	276	369	130									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	161	5	21	11	47	12	9	8	9	5	2	2	6	19	5									
6	Число погашенных избирательных бюллетеней	8476	724	709	944	866	827	834	852	521	701	130	173	368	712	115									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	162	5	21	11	47	13	9	8	9	5	2	2	6	19	5									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11348	1171	1263	1045	1087	1160	1157	1140	1168	1139	118	125	276	369	130									
9	Число недействительных избирательных бюллетеней	480	53	45	44	38	84	45	61	27	44	5	3	8	21	2									
10	Число действительных избирательных бюллетеней	11030	1123	1239	1012	1096	1089	1121	1087	1150	1100	115	124	274	367	133									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	500	50	50	50	50	50	50	50	40	40	10	10	20	20	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	84	3	13	5	5	13	10	8	10	10	1	1	3	2	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	108	28	12	9	13	6	6	4	3	7	1	6	0	10	3									
14	Число погашенных неиспользованных открепительных удостоверений	416	47	37	45	45	37	40	42	30	30	9	9	17	18	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	28	5	7	4	4	0	2	0	0	5	0	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
