Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																
Дата голосования: 04.12.2011																																																																
																																																																
Наименование Избирательной комиссии:    Астрахань, Cоветская																																																																
																																																																
Сводная таблица итогов голосования																																																																
																																																																
		Сумма	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537									
1	Число избирателей, внесенных в список избирателей	111258	2081	2140	1896	2242	2131	2003	2292	2639	2261	2425	1605	1880	3506	2358	2295	2127	2135	2272	2444	2694	1621	2006	2595	2552	2626	2354	2621	657	674	1904	1769	2130	1587	2095	2134	2092	2264	2123	2169	1138	1932	2252	1610	1901	2318	1649	2901	2388	2687	1742	1807	1616	1918									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	97700	1800	1800	1500	1900	1900	1700	1800	2200	1900	2400	1500	1700	2200	2100	2000	1900	2000	2200	2200	2400	1700	1800	2300	2300	2400	2100	2200	1000	1000	1600	1500	1800	1300	1900	1900	1900	2000	1900	2100	1000	1700	2000	1400	1700	1900	1400	2100	2100	2500	1500	1500	1400	1700									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных избирателям в помещении для голосования	65502	1450	1281	1267	1499	1347	1600	1482	1952	1656	1426	1116	1114	1675	1362	1681	1073	1048	1134	1418	1568	1065	615	1505	1659	1405	1738	1638	459	328	1159	966	1329	944	1430	1254	1223	1439	1250	1361	667	1037	1024	975	939	1320	706	2000	1347	1315	676	795	719	1066									
5	Число избирательных бюллетеней, выданных избирателям вне помещения для голосования	3352	58	20	60	42	25	31	51	25	51	29	42	14	21	35	20	33	36	430	51	31	27	14	38	39	70	37	119	145	343	87	26	70	22	58	91	136	9	37	34	32	36	94	20	208	70	53	32	44	117	27	45	26	41									
6	Число погашенных избирательных бюллетеней	28846	292	499	173	359	528	69	267	223	193	945	342	572	504	703	299	794	916	636	731	801	608	1171	757	602	925	325	443	396	329	354	508	401	334	412	555	541	552	613	705	301	627	882	405	553	510	641	68	709	1068	797	660	655	593									
7	Число избирательных бюллетеней в переносных ящиках для голосования	3352	58	20	60	42	25	31	51	25	51	29	42	14	21	35	20	33	36	430	51	31	27	14	38	39	70	37	119	145	343	87	26	70	22	58	91	136	9	37	34	32	36	94	20	208	70	53	32	44	117	27	45	26	41									
8	Число избирательных бюллетеней в стационарных ящиках для голосования	65338	1450	1281	1267	1499	1329	1600	1482	1952	1654	1426	1116	1114	1675	1362	1681	1073	1048	1134	1418	1568	1065	615	1505	1659	1405	1738	1638	459	328	1159	966	1309	869	1430	1254	1223	1439	1250	1317	667	1037	1019	975	939	1320	706	2000	1347	1315	676	795	719	1066									
9	Число недействительных избирательных бюллетеней	567	4	21	9	16	0	2	40	21	4	0	14	6	22	7	10	0	5	0	6	28	18	7	8	4	18	42	0	1	22	3	17	15	19	0	0	0	0	0	69	31	15	17	0	0	5	0	2	12	7	13	5	0	2									
10	Число действительных избирательных бюллетеней	68123	1504	1280	1318	1525	1354	1629	1493	1956	1701	1455	1144	1122	1674	1390	1691	1106	1079	1564	1463	1571	1074	622	1535	1694	1457	1733	1757	603	649	1243	975	1364	872	1488	1345	1359	1448	1287	1282	668	1058	1096	995	1147	1385	759	2030	1379	1425	690	835	745	1105									
11	Число открепительных удостоверений, полученных участковой избирательной комиссией	4678	100	75	100	75	75	105	102	70	106	220	100	72	72	100	100	102	150	72	73	100	75	70	90	105	110	100	103	0	0	70	110	70	72	102	70	72	100	100	270	70	73	70	70	70	72	70	70	103	70	70	72	70	70									
12	Число открепительных удостоверений, выданных избирателям на избирательном участке	4600	100	72	100	72	75	105	99	70	105	220	100	72	71	100	100	100	150	71	71	100	75	69	89	101	110	100	103	0	0	70	102	70	70	102	70	72	98	97	257	64	67	69	70	70	71	58	70	101	70	70	72	70	70									
13	Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке	6690	186	187	232	179	106	131	336	612	189	0	13	11	1089	76	122	64	23	28	28	211	31	56	61	46	73	115	177	3	0	178	180	139	80	13	10	11	100	68	44	20	11	77	77	46	199	143	550	51	21	44	124	31	88									
14	Число погашенных неиспользованных открепительных удостоверений	78	0	3	0	3	0	0	3	0	1	0	0	0	1	0	0	2	0	1	2	0	0	1	1	4	0	0	0	0	0	0	8	0	2	0	0	0	2	3	13	6	6	1	0	0	1	12	0	2	0	0	0	0	0									
15	Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией	313	6	13	2	6	4	5	9	5	7	7	7	5	4	3	5	6	8	4	17	5	1	7	8	8	4	9	8	0	0	4	7	5	5	4	9	7	22	16	6	1	8	6	8	2	5	3	5	6	1	0	4	2	4									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	Число избирательных бюллетеней, не учтенных при получении	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	5020	62	120	121	58	238	6	285	342	128	0	1	21	286	26	146	1	50	43	101	7	137	174	11	47	340	2	2	2	2	301	52	91	177	2	2	6	24	108	35	95	7	311	3	56	68	146	19	87	192	151	217	77	34									
		7.31%	4.11%	9.22%	9.12%	3.76%	17.58%	0.37%	18.59%	17.30%	7.51%	0.00%	0.09%	1.86%	16.86%	1.86%	8.58%	0.09%	4.61%	2.75%	6.88%	0.44%	12.55%	27.66%	0.71%	2.77%	23.05%	0.11%	0.11%	0.33%	0.30%	24.16%	5.24%	6.60%	19.87%	0.13%	0.15%	0.44%	1.66%	8.39%	2.59%	13.59%	0.65%	27.94%	0.30%	4.88%	4.89%	19.24%	0.94%	6.25%	13.41%	21.48%	25.83%	10.34%	3.07%									
20	"2. Политическая партия ""Либерально-демократическая партия России"""	4333	98	180	174	162	131	63	110	151	148	84	37	40	178	18	79	38	32	76	63	135	199	68	92	59	133	21	44	0	21	90	84	98	71	27	54	97	53	61	57	40	78	58	41	108	95	79	126	47	92	70	92	44	37									
		6.31%	6.50%	13.84%	13.11%	10.51%	9.68%	3.86%	7.18%	7.64%	8.68%	5.77%	3.20%	3.55%	10.50%	1.29%	4.64%	3.44%	2.95%	4.86%	4.29%	8.44%	18.22%	10.81%	5.96%	3.47%	9.02%	1.18%	2.50%	0.00%	3.13%	7.22%	8.47%	7.11%	7.97%	1.81%	4.01%	7.14%	3.66%	4.74%	4.22%	5.72%	7.27%	5.21%	4.12%	9.42%	6.83%	10.41%	6.20%	3.38%	6.42%	9.96%	10.95%	5.91%	3.34%									
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	242	3	1	7	5	1	0	10	14	6	0	7	3	13	4	2	9	5	12	0	1	9	3	3	2	0	7	16	0	0	2	2	8	4	6	4	2	2	16	4	1	0	10	6	0	1	5	0	5	4	6	8	0	3									
		0.35%	0.20%	0.08%	0.53%	0.32%	0.07%	0.00%	0.65%	0.71%	0.35%	0.00%	0.60%	0.27%	0.77%	0.29%	0.12%	0.81%	0.46%	0.77%	0.00%	0.06%	0.82%	0.48%	0.19%	0.12%	0.00%	0.39%	0.91%	0.00%	0.00%	0.16%	0.20%	0.58%	0.45%	0.40%	0.30%	0.15%	0.14%	1.24%	0.30%	0.14%	0.00%	0.90%	0.60%	0.00%	0.07%	0.66%	0.00%	0.36%	0.28%	0.85%	0.95%	0.00%	0.27%									
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	3793	82	125	92	62	91	8	200	197	35	62	12	50	208	25	56	21	30	124	65	8	164	99	44	40	155	13	21	1	9	173	54	89	122	21	21	7	3	105	45	66	18	90	18	49	60	88	58	46	124	133	115	72	117									
		5.52%	5.44%	9.61%	6.93%	4.02%	6.72%	0.49%	13.05%	9.96%	2.05%	4.26%	1.04%	4.43%	12.26%	1.79%	3.29%	1.90%	2.77%	7.93%	4.42%	0.50%	15.02%	15.74%	2.85%	2.36%	10.51%	0.73%	1.20%	0.17%	1.34%	13.88%	5.44%	6.45%	13.69%	1.41%	1.56%	0.52%	0.21%	8.16%	3.33%	9.44%	1.68%	8.09%	1.81%	4.27%	4.32%	11.59%	2.85%	3.31%	8.66%	18.92%	13.69%	9.66%	10.57%									
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	475	4	15	14	10	20	2	31	42	15	0	3	4	22	21	2	2	28	3	8	2	7	10	2	5	0	4	4	0	0	10	3	10	19	8	7	8	3	17	5	10	2	14	4	7	9	13	0	9	7	15	10	0	5									
		0.69%	0.27%	1.15%	1.06%	0.65%	1.48%	0.12%	2.02%	2.12%	0.88%	0.00%	0.26%	0.35%	1.30%	1.50%	0.12%	0.18%	2.58%	0.19%	0.54%	0.13%	0.64%	1.59%	0.13%	0.29%	0.00%	0.23%	0.23%	0.00%	0.00%	0.80%	0.30%	0.73%	2.13%	0.54%	0.52%	0.59%	0.21%	1.32%	0.37%	1.43%	0.19%	1.26%	0.40%	0.61%	0.65%	1.71%	0.00%	0.65%	0.49%	2.13%	1.19%	0.00%	0.45%									
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	54075	1252	837	907	1220	873	1548	847	1210	1363	1309	1075	1002	962	1292	1405	1028	932	1297	1225	1414	552	264	1381	1541	826	1681	1651	599	617	664	778	1065	475	1413	1249	1238	1362	970	1134	456	952	612	922	921	1152	426	1827	1182	1005	312	389	552	909									
		78.72%	83.02%	64.34%	68.35%	79.17%	64.48%	94.91%	55.25%	61.20%	79.94%	89.97%	92.83%	88.83%	56.72%	92.48%	82.60%	92.95%	85.98%	82.93%	83.39%	88.43%	50.55%	41.97%	89.50%	90.75%	56.00%	94.70%	93.97%	99.17%	91.95%	53.29%	78.43%	77.23%	53.31%	94.96%	92.86%	91.10%	94.06%	75.37%	83.94%	65.24%	88.72%	54.99%	92.66%	80.30%	82.88%	56.13%	89.91%	84.97%	70.18%	44.38%	46.31%	74.09%	82.11%									
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	185	3	2	3	8	0	2	10	0	6	0	9	2	5	4	1	7	2	9	1	4	6	4	2	0	3	5	19	1	0	3	2	3	4	11	8	1	1	10	2	0	1	1	1	6	0	2	0	3	1	3	4	0	0									
		0.27%	0.20%	0.15%	0.23%	0.52%	0.00%	0.12%	0.65%	0.00%	0.35%	0.00%	0.78%	0.18%	0.29%	0.29%	0.06%	0.63%	0.18%	0.58%	0.07%	0.25%	0.55%	0.64%	0.13%	0.00%	0.20%	0.28%	1.08%	0.17%	0.00%	0.24%	0.20%	0.22%	0.45%	0.74%	0.59%	0.07%	0.07%	0.78%	0.15%	0.00%	0.09%	0.09%	0.10%	0.52%	0.00%	0.26%	0.00%	0.22%	0.07%	0.43%	0.48%	0.00%	0.00%									
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
