Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																									
Дата голосования: 02.12.2007																																																																																									
																																																																																									
Наименование Избирательной комиссии:    Астрахань, Cоветская																																																																																									
																																																																																									
Сводная таблица результатов выборов																																																																																									
																																																																																									
		Сумма	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №623	УИК №624	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695									
1	Число избирателей, внесенных в списки избирателей	109324	1756	1765	1847	1707	1975	1740	1994	1535	1181	1260	1487	1506	1350	1134	1703	1730	1940	1861	1846	2038	1822	1478	1300	1229	1575	1620	163	2306	1386	2027	1469	1247	2185	1957	1437	1702	1836	1327	1877	1249	1767	1296	1749	986	1779	1772	1337	1302	1738	1971	1750	1080	1183	1787	1451	823	1499	1066	913	773	1306	1449	1075	1385	1110	1657	1848	1723	1558	1613	1854	27	27	21	27	25	20	30									
2	Число избирательных бюллетеней, полученных участковыми избирательными комиссиями	110518	1790	1800	1870	1730	1950	1670	2000	1540	1160	1220	1500	1500	1350	1030	1740	1750	1970	1860	1920	2090	1860	1460	1330	1160	1510	1630	163	2820	1400	2060	1510	1270	2218	1960	1460	1730	1750	1290	1890	1300	1790	1320	1750	1020	1970	1800	1400	1330	1800	1990	1830	1050	1180	1800	1400	830	1500	1050	940	750	1300	1440	1050	1400	1130	1680	1740	1830	1560	1620	1880	27	27	21	27	25	20	30									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных избирателям в помещениях для голосования	63120	1121	1096	1215	1045	1273	1112	1223	954	816	901	891	944	789	719	1074	1085	1153	1055	1136	1041	785	709	628	640	794	939	64	1539	585	1168	964	764	1157	1020	908	941	1141	808	1243	923	1092	687	1143	559	1008	1123	748	815	937	1096	940	701	493	811	789	417	883	576	534	433	766	617	551	839	666	1149	862	912	810	812	832	24	27	21	22	19	19	24									
5	Число избирательных бюллетеней, выданных избирателям вне помещений для голосования	2593	17	18	13	13	12	26	47	39	20	22	28	11	14	16	34	29	40	42	41	27	26	68	10	29	95	49	99	41	25	22	23	36	43	29	34	79	27	17	22	32	50	48	45	47	50	40	33	16	9	25	35	17	53	56	53	16	21	83	27	17	39	128	11	22	22	35	132	28	21	52	47	0	0	0	0	0	0	0									
6	Число погашенных избирательных бюллетеней	44805	652	686	642	672	665	532	730	547	324	297	581	545	547	295	632	636	777	763	743	1022	1049	683	692	491	621	642	0	1240	790	870	523	470	1018	911	518	710	582	465	625	345	648	585	562	414	912	637	619	499	854	869	855	332	634	933	558	397	596	391	379	300	495	695	488	539	442	496	746	890	729	756	1001	3	0	0	5	6	1	6									
7	Число избирательных бюллетеней в переносных ящиках для голосования	2593	17	18	13	13	12	26	47	39	20	22	28	11	14	16	34	29	40	42	41	27	26	68	10	29	95	49	99	41	25	22	23	36	43	29	34	79	27	17	22	32	50	48	45	47	50	40	33	16	9	25	35	17	53	56	53	16	21	83	27	17	39	128	11	22	22	35	132	28	21	52	47	0	0	0	0	0	0	0									
8	Число избирательных бюллетеней в стационарных ящиках для голосования	63093	1121	1096	1215	1045	1272	1112	1223	954	816	901	891	944	789	719	1074	1085	1153	1055	1136	1040	785	707	628	640	794	939	64	1529	585	1167	964	764	1157	1020	908	939	1141	808	1242	923	1092	687	1143	559	1008	1123	747	815	936	1096	940	701	493	811	789	417	883	574	534	433	766	615	551	839	665	1149	862	912	809	812	831	24	27	21	22	19	19	24									
9	Число недействительных избирательных бюллетеней	843	12	13	19	15	16	12	16	6	6	10	13	14	14	7	15	25	14	6	12	13	18	12	11	9	8	10	2	9	4	13	5	6	10	22	4	6	18	1	31	8	15	5	20	8	7	0	16	12	19	19	28	5	7	19	12	11	8	19	10	3	1	5	9	12	13	11	13	17	7	2	41	0	1	1	1	0	0	1									
10	Число действительных избирательных бюллетеней	64843	1126	1101	1209	1043	1268	1126	1254	987	830	913	906	941	789	728	1093	1089	1179	1091	1165	1054	793	763	627	660	881	978	161	1561	606	1176	982	794	1190	1027	938	1012	1150	824	1233	947	1127	730	1168	598	1051	1163	764	819	926	1102	947	713	539	848	830	422	896	638	551	447	804	738	553	849	674	1173	981	923	823	862	837	24	26	20	21	19	19	23									
