Выборы Президента Российской Федерации																																																																																			
																																																																																			
Наименование Избирательной комиссии:    Искитимская																																																																																			
																																																																																			
Итоги голосования 																																																																																			
																																																																																			
		Сумма	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №1987	УИК №1988	УИК №1989	УИК №1990	УИК №1991					
1	"Число избирателей, внесенных в список"	52583	269	1745	714	476	149	541	325	129	1153	184	165	174	662	649	108	2181	1972	614	334	760	235	194	515	1984	1676	1548	1414	1737	1566	1512	1258	414	203	278	242	563	1890	423	579	889	329	251	186	1293	255	202	1175	682	251	130	210	132	1095	1057	212	386	514	136	229	161	567	114	117	142	687	201	100	240	1315	152	248	1415	1564	1488	1508	1415					
2	Число полученных избирательных бюллетеней	50702	271	1681	693	442	146	528	316	129	1116	187	165	166	650	634	106	2119	1830	591	333	740	233	196	502	1905	1569	1501	1352	1661	1520	1457	1217	381	198	269	237	542	1819	405	573	858	319	236	185	1258	249	200	1143	663	244	134	205	137	1005	955	199	361	498	136	224	177	550	115	118	142	667	198	103	230	1270	152	241	1372	1512	1448	1445	1373					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	29098	168	888	284	177	80	353	202	72	525	116	88	117	386	345	80	1195	934	266	173	420	130	122	316	832	876	908	742	999	870	866	650	267	175	143	157	389	1088	259	303	556	176	146	103	713	172	135	631	364	146	64	155	99	655	497	119	273	408	122	181	123	414	76	92	117	388	141	53	122	682	76	134	808	887	760	787	762					
5	"Число избирательных бюллетеней, выданных вне помещения"	2542	13	49	60	129	15	34	38	13	104	0	14	0	46	41	0	58	80	45	17	33	26	8	10	438	20	23	10	12	21	42	36	9	5	39	7	28	65	21	61	28	30	37	18	39	23	8	56	55	9	1	5	0	86	134	5	5	19	0	15	28	23	15	0	0	28	0	10	6	65	13	23	12	15	24	23	14					
6	Число погашенных избирательных бюллетеней	19062	90	744	349	136	51	141	76	44	487	71	63	49	218	248	26	866	816	280	143	287	77	66	176	635	673	570	600	650	629	549	531	105	18	87	73	125	666	125	209	274	113	53	64	506	54	57	456	244	89	69	45	38	264	324	75	83	71	14	28	26	113	24	26	25	251	57	40	102	523	63	84	552	610	664	635	597					
7	Число избирательных бюллетеней в переносных ящиках	2542	13	49	60	129	15	34	38	13	104	0	14	0	46	41	0	58	80	45	17	33	26	8	10	438	20	23	10	12	21	42	36	9	5	39	7	28	65	21	61	28	30	37	18	39	23	8	56	55	9	1	5	0	86	134	5	5	19	0	15	28	23	15	0	0	28	0	10	6	65	13	23	12	15	24	23	14					
8	Число бюллетеней в стационарных ящиках для голосования	29092	168	888	284	177	80	353	202	72	525	116	88	117	386	345	80	1194	934	266	173	420	130	122	316	832	876	908	742	999	870	866	650	267	175	143	157	389	1088	259	303	556	176	146	103	713	172	135	629	364	146	64	155	99	655	497	119	273	408	122	181	123	414	76	92	117	388	141	53	122	682	76	134	808	884	760	787	762					
9	Число недействительных избирательных бюллетеней	433	2	8	1	4	0	6	0	0	18	3	4	1	10	12	2	19	19	6	0	8	0	5	11	21	14	10	3	4	8	12	8	5	3	1	2	3	8	2	7	9	3	3	0	15	1	5	17	5	6	7	2	2	18	6	0	5	2	4	1	3	0	0	5	1	6	4	3	1	11	0	3	10	9	7	8	1					
10	Число действительных избирательных бюллетеней	31201	179	929	343	302	95	381	240	85	611	113	98	116	422	374	78	1233	995	305	190	445	156	125	315	1249	882	921	749	1007	883	896	678	271	177	181	162	414	1145	278	357	575	203	180	121	737	194	138	668	414	149	58	158	97	723	625	124	273	425	118	195	148	437	91	87	116	410	137	60	127	736	89	154	810	890	777	802	775					
11	Число полученных открепительных  удостоверений	367	3	4	3	3	3	3	3	3	4	3	3	3	10	4	3	19	9	4	8	10	3	3	3	7	9	13	4	6	4	9	4	6	3	3	3	3	8	3	6	8	3	3	3	11	3	3	10	3	3	3	3	3	4	4	3	3	3	3	3	14	3	3	3	3	3	3	3	3	4	3	3	9	4	4	8	7					
12	Число выданных открепительных удостоверений	193	2	3	2	0	0	3	0	0	2	0	2	0	7	0	1	11	5	2	2	4	0	0	3	4	8	9	2	6	2	8	3	5	0	2	0	1	5	0	6	6	1	3	1	11	0	0	6	2	1	1	0	0	4	2	1	0	0	0	0	13	2	0	0	0	3	0	0	0	0	0	0	6	3	4	8	5					
