Выборы Президента Российской Федерации																																																																																												
Дата голосования: 18.03.2018																																																																																												
																																																																																												
Наименование Избирательной комиссии:    Искитимская																																																																																												
																																																																																												
Сводная таблица итогов голосования																																																																																												
																																																																																												
	Число участковых избирательных комиссий	81																																																																																										
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	81																																																																																										
																																																																																												
		Сумма	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325									
1	"Число избирателей, включенных в список избирателей"	50473	463	219	191	317	537	1347	1487	1288	1364	1344	1243	1397	1252	1515	1290	1287	1320	1384	501	202	332	369	653	2321	415	1587	1039	1443	704	692	633	102	1103	587	423	409	141	170	288	702	171	109	159	548	270	136	1403	228	272	172	553	187	72	190	577	110	126	148	1129	2295	437	542	222	222	884	127	707	177	332	1270	280	175	615	233	97	178	133	478	92	232	124									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	45600	430	200	150	300	500	1300	1340	1200	1200	1200	1200	1200	1200	1400	1200	1100	1200	1250	450	180	300	300	600	2000	400	1450	950	1300	600	600	600	80	950	550	350	350	120	130	230	680	130	80	120	450	250	100	1300	200	200	150	500	180	60	170	580	100	120	130	1030	2100	400	500	200	180	800	100	640	150	300	1200	260	160	600	200	70	150	110	480	80	210	120									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	29775	300	128	108	210	316	820	978	884	876	788	830	898	788	953	813	705	863	798	290	97	157	224	361	1112	229	905	488	919	343	374	353	60	759	366	281	284	74	100	162	340	89	54	88	312	152	77	773	125	174	94	269	89	44	78	292	56	55	77	656	1510	272	331	131	144	524	66	404	100	203	654	162	96	322	135	57	95	82	310	59	147	83									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1641	16	6	6	11	10	29	21	11	16	32	181	19	22	14	20	39	30	24	16	4	13	8	18	87	17	40	28	24	19	33	16	4	28	25	10	20	4	2	17	49	3	6	5	29	15	0	54	11	9	5	19	8	4	8	33	6	9	17	47	37	17	24	4	2	39	6	46	7	13	44	5	11	31	13	1	5	6	19	4	17	13									
6	Число погашенных избирательных бюллетеней	14184	114	66	36	79	174	451	341	305	308	380	189	283	390	433	367	356	307	428	144	79	130	68	221	801	154	505	434	357	238	193	231	16	163	159	59	46	42	28	51	291	38	20	27	109	83	23	473	64	17	51	212	83	12	84	255	38	56	36	327	553	111	145	65	34	237	28	190	43	84	502	93	53	247	52	12	50	22	151	17	46	24									
7	Число избирательных бюллетеней в переносных ящиках для голосования	1641	16	6	6	11	10	29	21	11	16	32	181	19	22	14	20	39	30	24	16	4	13	8	18	87	17	40	28	24	19	33	16	4	28	25	10	20	4	2	17	49	3	6	5	29	15	0	54	11	9	5	19	8	4	8	33	6	9	17	47	37	17	24	4	2	39	6	46	7	13	44	5	11	31	13	1	5	6	19	4	17	13									
