Выборы Президента Российской Федерации																			
																			
Наименование Избирательной комиссии:    Заречная городская 																			
																			
Итоги голосования 																			
																			
		Сумма	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800					
1	"Число избирателей, внесенных в список"	23839	2551	2555	2391	2764	2728	2750	2797	2771	273	451	693	1115					
2	Число полученных избирательных бюллетеней	23000	2400	2400	2300	2700	2600	2600	2800	2800	300	400	700	1000					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	14049	1567	1488	1204	1618	1695	1665	1751	1735	217	214	377	518					
5	"Число избирательных бюллетеней, выданных вне помещения"	501	65	48	101	18	26	23	14	1	6	50	25	124					
6	Число погашенных избирательных бюллетеней	8450	768	864	995	1064	879	912	1035	1064	77	136	298	358					
7	Число избирательных бюллетеней в переносных ящиках	501	65	48	101	18	26	23	14	1	6	50	25	124					
8	Число бюллетеней в стационарных ящиках для голосования	14048	1567	1487	1204	1618	1695	1665	1751	1735	217	214	377	518					
9	Число недействительных избирательных бюллетеней	115	16	16	15	10	17	11	2	6	2	3	4	13					
10	Число действительных избирательных бюллетеней	14434	1616	1519	1290	1626	1704	1677	1763	1730	221	261	398	629					
11	Число полученных открепительных  удостоверений	499	49	50	50	50	50	50	50	50	20	20	30	30					
12	Число выданных открепительных удостоверений	112	17	15	11	8	8	15	15	10	4	3	1	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	109	29	7	6	8	11	8	11	8	0	6	5	10					
14	Число неиспользованных открепительных удостоверений	387	32	35	39	42	42	35	35	40	16	17	29	25					
15	"Число открепительных удостоверений, выданных в ТИК"	1	1	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																			
18	. Глазьев Сергей Юрьевич	609	64	69	52	72	93	62	78	78	3	4	12	22					
		4.19%	3.92%	4.50%	3.98%	4.40%	5.40%	3.67%	4.42%	4.49%	1.35%	1.52%	2.99%	3.43%					
19	. Малышкин Олег Александрович	267	36	27	26	23	19	36	37	23	6	6	9	19					
		1.84%	2.21%	1.76%	1.99%	1.41%	1.10%	2.13%	2.10%	1.32%	2.69%	2.27%	2.24%	2.96%					
20	. Миронов Сергей Михайлович	88	11	4	5	15	9	9	17	4	1	1	5	7					
		0.60%	0.67%	0.26%	0.38%	0.92%	0.52%	0.53%	0.96%	0.23%	0.45%	0.38%	1.24%	1.09%					
21	. Путин Владимир Владимирович	10985	1234	1169	1005	1207	1274	1265	1319	1269	188	225	314	516					
		75.50%	75.61%	76.16%	77.01%	73.78%	74.03%	74.94%	74.73%	73.10%	84.30%	85.23%	78.11%	80.37%					
22	. Хакамада Ирина Муцуовна	1149	122	117	96	153	151	140	163	165	10	5	15	12					
		7.90%	7.48%	7.62%	7.36%	9.35%	8.77%	8.29%	9.24%	9.50%	4.48%	1.89%	3.73%	1.87%					
23	. Харитонов Николай Михайлович	827	93	97	64	92	103	94	80	96	3	18	39	48					
		5.68%	5.70%	6.32%	4.90%	5.62%	5.98%	5.57%	4.53%	5.53%	1.35%	6.82%	9.70%	7.48%					
																			
24	Против всех	509	56	36	42	64	55	71	69	95	10	2	4	5					
		3.50%	3.43%	2.35%	3.22%	3.91%	3.20%	4.21%	3.91%	5.47%	4.48%	0.76%	1.00%	0.78%					
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
