Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																																																				
Дата голосования: 07.12.2003 0:00:00																																																																																																																																				
																																																																																																																																				
Наименование Избирательной комиссии:    Невельская судовая																																																																																																																																				
																																																																																																																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																																																																				
																																																																																																																																				
		Сумма	УИК №441	УИК №442	УИК №443	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №454	УИК №455	УИК №456	УИК №457	УИК №459	УИК №460	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №492	УИК №493	УИК №494	УИК №495	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №511	УИК №512	УИК №513	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №535	УИК №536	УИК №537	УИК №538	УИК №541	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №568	УИК №569	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №578	УИК №579	УИК №580	УИК №592	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601					
1	"Число избирателей, внесенных в списки"	2989	16	9	24	25	25	25	28	19	28	19	28	30	24	30	29	20	20	17	19	56	20	19	28	16	17	27	51	48	49	27	29	15	34	22	21	31	25	34	10	17	22	28	18	15	10	4	8	15	73	18	15	24	28	80	27	28	29	74	18	19	22	14	16	34	19	29	20	19	18	20	19	21	16	14	18	26	27	26	10	20	27	17	11	16	31	17	26	19	24	20	21	25	25	18	25	86	23	83	87	27	29	87	25	17	17	17	18	22	30	21	18	16	31	29	26	25	29	24	15	15	28	10	10	12	4					
2	"Число бюллетеней, полученных участковыми комиссиями"	2995	16	0	24	25	25	25	28	19	28	19	28	30	29	30	29	20	20	17	19	56	20	19	28	16	0	27	51	48	49	27	29	15	34	22	21	0	25	34	0	17	0	28	0	15	10	4	8	15	73	18	0	24	28	80	27	28	29	75	18	19	22	14	16	34	19	29	20	19	18	20	19	21	16	14	18	26	27	26	10	20	27	17	11	16	31	17	26	19	24	20	21	25	25	18	25	86	23	83	87	27	29	87	25	17	17	17	18	22	30	21	18	16	31	29	26	0	0	24	0	0	28	10	10	12	4					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	2959	16	0	24	25	25	25	28	19	28	19	28	30	24	30	29	20	20	17	19	56	20	19	28	16	0	27	51	48	45	27	29	15	34	22	21	0	25	34	0	17	0	28	0	15	10	4	8	15	73	18	0	24	27	68	27	28	29	74	18	19	22	14	16	34	19	29	20	19	18	20	19	21	16	14	18	25	27	25	10	20	27	17	11	16	31	17	26	19	24	20	21	25	25	18	25	85	23	76	87	27	29	87	25	17	17	17	18	22	27	21	18	16	31	29	26	0	0	24	0	0	28	10	10	12	4					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных бюллетеней	36	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	12	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
7	Число бюллетеней в переносных ящиках для голосования	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	2959	16	0	24	25	25	25	28	19	28	19	28	30	24	30	29	20	20	17	19	56	20	19	28	16	0	27	51	48	45	27	29	15	34	22	21	0	25	34	0	17	0	28	0	15	10	4	8	15	73	18	0	24	27	68	27	28	29	74	18	19	22	14	16	34	19	29	20	19	18	20	19	21	16	14	18	25	27	25	10	20	27	17	11	16	31	17	26	19	24	20	21	25	25	18	25	85	23	76	87	27	29	87	25	17	17	17	18	22	27	21	18	16	31	29	26	0	0	24	0	0	28	10	10	12	4					
9	Число недействительных бюллетеней	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0					
10	Число действительных бюллетеней	2950	16	0	24	25	25	25	28	19	28	19	28	30	24	30	29	20	20	17	19	56	20	19	28	16	0	27	51	48	45	27	29	15	34	17	21	0	25	34	0	17	0	28	0	15	10	4	8	15	73	18	0	24	27	68	27	28	29	74	18	19	22	14	16	34	19	29	20	19	18	20	19	21	16	14	18	25	27	25	10	20	27	17	11	16	31	17	26	19	24	20	21	25	25	18	24	85	23	76	87	27	29	87	25	17	17	17	18	22	27	21	18	16	31	29	26	0	0	24	0	0	25	10	10	12	4					
