Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																														
Дата голосования: 18.09.2016																																														
																																														
Наименование Избирательной комиссии:    Алапаевская																																														
																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																														
																																														
		Сумма	УИК №1	УИК №2	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	21865	934	306	37	1329	1358	1423	1459	922	1785	459	519	847	532	713	752	156	152	117	907	615	172	892	160	309	176	138	417	1114	216	130	799	614	257	389	760									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19810	820	300	200	1200	1300	1300	1300	820	1600	420	450	750	470	640	660	150	140	110	800	550	160	810	140	270	160	130	380	1000	190	110	710	530	220	340	680									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	14	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9667	289	102	37	396	646	739	726	314	694	183	204	406	292	327	398	86	62	51	433	279	76	486	75	156	109	69	170	399	82	63	388	300	131	186	313									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	623	12	33	0	31	16	18	38	22	28	45	26	24	22	5	9	10	5	11	70	22	10	24	10	11	3	6	23	20	3	14	25	0	0	9	18									
6	Число погашенных избирательных бюллетеней	9506	515	165	163	773	638	543	536	484	878	188	220	320	156	308	253	54	67	48	297	249	74	300	55	103	48	55	187	581	105	33	297	230	89	145	349									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	623	12	33	0	31	16	18	38	22	28	45	26	24	22	5	9	10	5	11	70	22	10	24	10	11	3	6	23	20	3	14	25	0	0	9	18									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9663	293	102	37	395	630	739	726	314	694	187	204	406	292	327	397	86	68	51	433	279	76	486	75	156	109	69	170	399	82	63	388	300	131	186	313									
9	Число недействительных избирательных бюллетеней	379	15	7	0	22	35	62	19	14	8	6	8	20	11	14	13	3	0	4	16	7	3	20	2	2	1	4	2	8	6	4	14	12	3	8	6									
10	Число действительных избирательных бюллетеней	9907	290	128	37	404	611	695	745	322	714	226	222	410	303	318	393	93	73	58	487	294	83	490	83	165	111	71	191	411	79	73	399	288	128	187	325									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	407	12	5	0	14	20	15	35	12	14	20	10	15	8	5	5	8	5	5	10	15	5	45	5	5	8	5	15	18	5	5	10	20	8	5	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	106	0	0	0	1	1	10	8	1	7	12	1	0	1	1	1	8	0	0	1	12	0	15	0	2	1	0	4	3	0	0	3	6	0	4	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	148	2	3	21	0	3	6	9	5	5	6	4	7	0	1	6	2	3	0	1	5	0	5	1	3	4	1	2	3	1	1	7	10	4	6	11									
14	Число погашенных неиспользованных открепительных удостоверений	301	12	5	0	13	19	5	27	11	7	8	9	15	7	4	4	0	5	5	9	3	5	30	5	3	7	5	11	15	5	5	7	14	8	1	12									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	100	3	3	0	3	9	7	12	1	6	0	4	3	2	2	5	0	0	0	7	2	0	6	0	2	2	0	1	3	0	2	3	4	1	5	2									
		0.97%	0.98%	2.22%	0.00%	0.70%	1.39%	0.92%	1.57%	0.30%	0.83%	0.00%	1.74%	0.70%	0.64%	0.60%	1.23%	0.00%	0.00%	0.00%	1.39%	0.66%	0.00%	1.18%	0.00%	1.20%	1.79%	0.00%	0.52%	0.72%	0.00%	2.60%	0.73%	1.33%	0.76%	2.56%	0.60%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	342	14	2	2	8	22	21	39	17	19	10	3	6	7	15	19	4	1	1	23	9	3	18	1	5	6	1	4	16	7	2	12	8	4	4	9									
		3.32%	4.59%	1.48%	5.41%	1.88%	3.41%	2.77%	5.10%	5.06%	2.63%	4.31%	1.30%	1.40%	2.23%	4.52%	4.68%	4.17%	1.37%	1.61%	4.57%	2.99%	3.49%	3.53%	1.18%	2.99%	5.36%	1.33%	2.07%	3.82%	8.24%	2.60%	2.91%	2.67%	3.05%	2.05%	2.72%									
