Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																							
Дата голосования: 02.12.2007																																							
																																							
Наименование Избирательной комиссии:    Первомайская																																							
																																							
Сводная таблица результатов выборов																																							
																																							
		Сумма	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639					
1	"Число избирателей, внесенных в списки избирателей"	15161	144	615	860	1038	114	85	715	194	265	158	110	331	247	315	1479	1462	1527	889	476	306	308	339	226	335	309	595	373	206	100	413	132	495					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	15050	140	610	860	1060	110	90	730	200	270	160	100	340	250	310	1400	1400	1500	890	480	310	320	340	220	330	300	600	400	200	100	400	130	500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	9430	92	364	461	548	64	64	384	114	197	149	70	222	180	248	968	873	906	540	367	193	185	233	128	243	204	329	267	155	68	238	84	292					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	767	6	26	28	49	30	0	46	34	0	0	9	21	31	2	40	65	4	40	23	16	35	34	37	23	16	53	22	10	4	33	6	24					
6	Число погашенных избирательных бюллетеней	4853	42	220	371	463	16	26	300	52	73	11	21	97	39	60	392	462	590	310	90	101	100	73	55	64	80	218	111	35	28	129	40	184					
7	Число избирательных бюллетеней в переносных ящиках для голосования	767	6	26	28	49	30	0	46	34	0	0	9	21	31	2	40	65	4	40	23	16	35	34	37	23	16	53	22	10	4	33	6	24					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9427	92	364	461	548	64	64	384	114	197	149	70	222	180	248	968	872	905	540	367	193	185	233	128	243	204	329	267	155	68	238	84	291					
9	Число недействительных избирательных бюллетеней	113	0	4	9	6	4	0	5	1	2	0	0	5	0	2	8	10	13	4	3	2	5	1	4	9	0	5	1	0	1	5	0	4					
10	Число действительных избирательных бюллетеней	10081	98	386	480	591	90	64	425	147	195	149	79	238	211	248	1000	927	896	576	387	207	215	266	161	257	220	377	288	165	71	266	90	311					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	440	10	20	10	20	10	10	20	10	10	10	10	10	10	10	30	30	30	20	10	10	10	10	10	10	10	20	10	10	10	10	10	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	102	1	11	3	7	3	0	8	0	1	1	0	2	0	0	12	7	11	3	0	3	0	0	1	1	2	1	10	0	2	2	1	9					
