Выборы Президента Российской Федерации																																									
Дата голосования: 02.03.2008																																									
																																									
Наименование Избирательной комиссии:    район Орехово-Борисово Северное																																									
																																									
Сводная таблица результатов выборов																																									
																																									
	Число участковых избирательных комиссий	34																																							
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	34																																							
																																									
		Сумма	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877					
1	"Число избирателей, включенных в списки избирателей"	73303	2296	2731	2423	2680	2807	1590	1416	2235	2418	2121	1715	2123	2173	2146	2126	2097	2119	2349	2438	1834	1846	1701	1946	2110	1973	2561	2500	2189	2600	2617	2467	2243	2431	282					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	68700	2150	2600	2500	2400	2500	1400	1300	2100	2300	2100	1550	2050	2050	2100	2050	2050	1850	2150	2200	1700	1700	1550	1800	1950	1900	2500	2600	1900	2350	2550	2200	2050	2200	350					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	61733	1915	2311	2083	2186	1939	1318	1260	2052	2107	1804	1461	1611	1855	1859	1920	1785	1728	1966	2023	1536	1567	1437	1680	1866	1676	2197	2096	1820	2106	2353	2028	1840	2066	282					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	1231	45	37	33	19	23	10	27	33	38	50	24	15	27	41	38	40	26	43	50	28	29	28	17	26	92	26	108	38	73	17	27	50	53	0					
6	Число погашенных избирательных бюллетеней	5736	190	252	384	195	538	72	13	15	155	246	65	424	168	200	92	225	96	141	127	136	104	85	103	58	132	277	396	42	171	180	145	160	81	68					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1230	45	37	33	19	23	10	27	32	38	50	24	15	27	41	38	40	26	43	50	28	29	28	17	26	92	26	108	38	73	17	27	50	53	0					
