Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																				
Дата голосования: 04.12.2011																																				
																																				
Наименование Избирательной комиссии:    Чурапчинская																																				
																																				
Сводная таблица результатов выборов																																				
																																				
		Сумма	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697					
1	"Число избирателей, внесенных в список избирателей"	13616	479	283	395	34	465	736	359	50	253	307	538	267	718	61	532	79	79	36	370	42	39	805	392	401	934	1248	1152	1094	1468					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13117	476	270	393	33	499	752	360	47	270	316	555	279	704	59	529	84	76	32	351	47	39	811	376	401	821	1175	1062	981	1319					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	9720	344	214	324	32	346	496	268	47	194	230	460	253	546	52	432	73	74	32	294	39	32	548	316	292	587	764	706	711	1014					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	860	41	9	35	1	49	66	27	0	12	21	35	9	47	6	35	3	0	0	16	3	3	56	29	52	39	49	61	83	73					
6	Число погашенных избирательных бюллетеней	2537	91	47	34	0	104	190	65	0	64	65	60	17	111	1	62	8	2	0	41	5	4	207	31	57	195	362	295	187	232					
7	Число избирательных бюллетеней в переносных ящиках для голосования	860	41	9	35	1	49	66	27	0	12	21	35	9	47	6	35	3	0	0	16	3	3	56	29	52	39	49	61	83	73					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9720	344	214	324	32	346	496	268	47	194	230	460	253	546	52	432	73	74	32	294	39	32	548	316	292	587	764	706	711	1014					
9	Число недействительных избирательных бюллетеней	51	0	0	5	0	1	4	0	0	1	0	1	2	4	0	1	0	1	0	1	0	0	4	2	4	3	1	7	6	3					
10	Число действительных избирательных бюллетеней	10529	385	223	354	33	394	558	295	47	205	251	494	260	589	58	466	76	73	32	309	42	35	600	343	340	623	812	760	788	1084					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	328	21	6	14	3	10	15	10	3	5	4	10	5	15	3	20	6	3	3	10	3	3	15	10	10	20	25	25	25	26					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	305	21	6	14	0	8	15	10	0	5	4	10	5	15	0	20	6	1	0	10	0	1	15	10	10	18	25	25	25	26					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	133	7	1	4	0	2	0	1	1	3	1	7	1	9	0	4	1	2	4	3	0	2	3	3	10	10	12	8	11	23					
14	Число погашенных неиспользованных открепительных удостоверений	23	0	0	0	3	2	0	0	3	0	0	0	0	0	3	0	0	2	3	0	3	2	0	0	0	2	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	22	0	0	2	0	0	1	0	0	0	1	1	0	2	0	0	0	0	0	1	0	0	0	0	0	1	3	2	2	6					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																				
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1523	55	20	24	3	65	108	41	3	50	50	54	11	121	5	51	0	6	1	19	2	6	104	70	35	87	134	128	138	132					
		14.40%	14.29%	8.97%	6.69%	9.09%	16.46%	19.22%	13.90%	6.38%	24.27%	19.92%	10.91%	4.20%	20.40%	8.62%	10.92%	0.00%	8.11%	3.13%	6.13%	4.76%	17.14%	17.22%	20.29%	10.17%	13.90%	16.48%	16.69%	17.38%	12.14%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	95	6	4	2	0	5	5	3	1	6	8	2	4	4	0	6	0	0	0	1	0	0	6	4	3	2	7	5	8	3					
		0.90%	1.56%	1.79%	0.56%	0.00%	1.27%	0.89%	1.02%	2.13%	2.91%	3.19%	0.40%	1.53%	0.67%	0.00%	1.28%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.99%	1.16%	0.87%	0.32%	0.86%	0.65%	1.01%	0.28%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	25	0	1	0	0	0	2	2	0	0	2	2	2	0	0	1	0	0	0	0	0	0	1	1	0	4	2	3	1	1					
